"plb0050","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Not Employed","(Married) couple without C. ","24","","","","2"
"No","2001","Employed","Single parent ","327","0.497842944927307","0.459106115889448","0.536579773965166","2"
"No","2001","Not Employed","1-pers.-HH","15","","","","2"
"No","2001","Not Employed","Single parent ","17","","","","2"
"No","2001","Not Employed","Couple + C. LE 16 ","49","0.654520282596912","0.546900950658364","0.76213961453546","2"
"No","2001","Employed","Couple + C. LE 16 ","1659","0.487890827598974","0.471104009935699","0.504677645262249","2"
"No","2001","Not Employed","Couple + C. GT 16 ","28","","","","2"
"No","2001","Not Employed","Couple + C. LE and GT 16","20","","","","2"
"No","2001","Employed","1-pers.-HH","663","0.476034121804632","0.44986375688359","0.502204486725673","2"
"No","2001","Employed","(Married) couple without C. ","1401","0.466522409284456","0.448814645324215","0.484230173244696","2"
"No","2001","Employed","Couple + C. GT 16 ","1100","0.484212377563931","0.463644950433088","0.504779804694773","2"
"No","2001","Employed","Couple + C. LE and GT 16","602","0.521072685707191","0.49218770817243","0.549957663241952","2"
"Yes","2001","Not Employed","1-pers.-HH","5","","","","1"
"Yes","2001","Not Employed","(Married) couple without C. ","5","","","","1"
"Yes","2001","Not Employed","Single parent ","3","","","","1"
"Yes","2001","Not Employed","Couple + C. LE 16 ","26","","","","1"
"Yes","2001","Not Employed","Couple + C. GT 16 ","9","","","","1"
"Yes","2001","Not Employed","Couple + C. LE and GT 16","6","","","","1"
"Yes","2001","Employed","1-pers.-HH","736","0.523965878195368","0.497795513274327","0.55013624311641","1"
"Yes","2001","Employed","(Married) couple without C. ","1648","0.533477590715544","0.515769826755304","0.551185354675785","1"
"Yes","2001","Employed","Single parent ","313","0.502157055072693","0.463420226034834","0.540893884110552","1"
"Yes","2001","Employed","Couple + C. LE 16 ","1747","0.512109172401026","0.495322354737751","0.528895990064301","1"
"Yes","2001","Employed","Couple + C. GT 16 ","1168","0.51578762243607","0.495220195305227","0.536355049566912","1"
"Yes","2001","Employed","Couple + C. LE and GT 16","547","0.478927314292809","0.450042336758048","0.50781229182757","1"
"No","2002","Employed","Single parent ","","","","","2"
"No","2002","Not Employed","1-pers.-HH","","","","","2"
"No","2002","Not Employed","(Married) couple without C. ","","","","","2"
"No","2002","Not Employed","Single parent ","","","","","2"
"No","2002","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2002","Employed","Couple + C. LE 16 ","","","","","2"
"No","2002","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2002","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2002","Employed","1-pers.-HH","","","","","2"
"No","2002","Employed","(Married) couple without C. ","","","","","2"
"No","2002","Employed","Couple + C. GT 16 ","","","","","2"
"No","2002","Employed","Couple + C. LE and GT 16","","","","","2"
"Yes","2002","Not Employed","1-pers.-HH","","","","","1"
"Yes","2002","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2002","Not Employed","Single parent ","","","","","1"
"Yes","2002","Not Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2002","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2002","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2002","Employed","1-pers.-HH","","","","","1"
"Yes","2002","Employed","(Married) couple without C. ","","","","","1"
"Yes","2002","Employed","Single parent ","","","","","1"
"Yes","2002","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2002","Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2002","Employed","Couple + C. LE and GT 16","","","","","1"
"No","2003","Employed","Single parent ","","","","","2"
"No","2003","Not Employed","1-pers.-HH","","","","","2"
"No","2003","Not Employed","(Married) couple without C. ","","","","","2"
"No","2003","Not Employed","Single parent ","","","","","2"
"No","2003","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2003","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2003","Employed","1-pers.-HH","","","","","2"
"No","2003","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2003","Employed","Couple + C. LE 16 ","","","","","2"
"No","2003","Employed","(Married) couple without C. ","","","","","2"
"No","2003","Employed","Couple + C. GT 16 ","","","","","2"
"No","2003","Employed","Couple + C. LE and GT 16","","","","","2"
"Yes","2003","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2003","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2003","Employed","1-pers.-HH","","","","","1"
"Yes","2003","Employed","(Married) couple without C. ","","","","","1"
"Yes","2003","Employed","Single parent ","","","","","1"
"Yes","2003","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2003","Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2003","Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2003","Not Employed","1-pers.-HH","","","","","1"
"Yes","2003","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2003","Not Employed","Single parent ","","","","","1"
"Yes","2003","Not Employed","Couple + C. LE 16 ","","","","","1"
"No","2004","Employed","Single parent ","","","","","2"
"No","2004","Employed","Couple + C. LE 16 ","","","","","2"
"No","2004","Not Employed","1-pers.-HH","","","","","2"
"No","2004","Not Employed","(Married) couple without C. ","","","","","2"
"No","2004","Not Employed","Single parent ","","","","","2"
"No","2004","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2004","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2004","Employed","1-pers.-HH","","","","","2"
"No","2004","Employed","Couple + C. GT 16 ","","","","","2"
"No","2004","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2004","Employed","(Married) couple without C. ","","","","","2"
"No","2004","Employed","Couple + C. LE and GT 16","","","","","2"
"Yes","2004","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2004","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2004","Employed","1-pers.-HH","","","","","1"
"Yes","2004","Employed","(Married) couple without C. ","","","","","1"
"Yes","2004","Employed","Single parent ","","","","","1"
"Yes","2004","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2004","Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2004","Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2004","Not Employed","1-pers.-HH","","","","","1"
"Yes","2004","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2004","Not Employed","Single parent ","","","","","1"
"Yes","2004","Not Employed","Couple + C. LE 16 ","","","","","1"
"No","2005","Not Employed","(Married) couple without C. ","","","","","2"
"No","2005","Not Employed","1-pers.-HH","","","","","2"
"No","2005","Not Employed","Single parent ","","","","","2"
"No","2005","Employed","Single parent ","","","","","2"
"No","2005","Employed","Couple + C. LE 16 ","","","","","2"
"No","2005","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2005","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2005","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2005","Employed","1-pers.-HH","","","","","2"
"No","2005","Employed","Couple + C. GT 16 ","","","","","2"
"No","2005","Employed","(Married) couple without C. ","","","","","2"
"No","2005","Employed","Couple + C. LE and GT 16","","","","","2"
"Yes","2005","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2005","Not Employed","1-pers.-HH","","","","","1"
"Yes","2005","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2005","Not Employed","Single parent ","","","","","1"
"Yes","2005","Not Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2005","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2005","Employed","1-pers.-HH","","","","","1"
"Yes","2005","Employed","(Married) couple without C. ","","","","","1"
"Yes","2005","Employed","Single parent ","","","","","1"
"Yes","2005","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2005","Employed","Couple + C. GT 16 ","","","","","1"
