"plb0050","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","West Germany","1732","0.495103948379437","0.478570699694506","0.511637197064368"
"Yes","2001","lower secondary degree","East Germany","135","0.315192154926936","0.270385231153942","0.35999907869993"
"Yes","2001","secondary school degree","West Germany","1461","0.547828072780527","0.529019930967751","0.566636214593303"
"Yes","2001","secondary school degree","East Germany","812","0.44395807998075","0.42106872507901","0.466847434882489"
"Yes","2001","college entrance qualification","West Germany","1397","0.563479403214121","0.543756278233952","0.583202528194291"
"Yes","2001","college entrance qualification","East Germany","378","0.560177493417226","0.522479995225577","0.597874991608875"
"Yes","2001","Other degree","West Germany","397","0.516793138128107","0.480617098607652","0.552969177648563"
"Yes","2001","Other degree","East Germany","4","","",""
"Yes","2001","no degree/no degree yet","West Germany","70","0.407745020365141","0.332535146487267","0.482954894243014"
"Yes","2001","no degree/no degree yet","East Germany","2","","",""
"No","2001","lower secondary degree","West Germany","1781","0.504896051620563","0.488362802935632","0.521429300305494"
"No","2001","lower secondary degree","East Germany","278","0.684807845073064","0.640000921300069","0.729614768846058"
"No","2001","secondary school degree","West Germany","1229","0.452171927219473","0.433363785406697","0.470980069032249"
"No","2001","secondary school degree","East Germany","998","0.55604192001925","0.533152565117511","0.57893127492099"
"No","2001","college entrance qualification","West Germany","1032","0.436520596785879","0.416797471805709","0.456243721766048"
"No","2001","college entrance qualification","East Germany","288","0.439822506582774","0.402125008391124","0.477520004774423"
"No","2001","Other degree","West Germany","336","0.483206861871893","0.447030822351437","0.519382901392348"
"No","2001","Other degree","East Germany","8","","",""
"No","2001","no degree/no degree yet","West Germany","94","0.592254979634859","0.517045105756986","0.667464853512733"
"No","2001","no degree/no degree yet","East Germany","16","","",""
"Yes","2002","lower secondary degree","West Germany","","","",""
"Yes","2002","lower secondary degree","East Germany","","","",""
"Yes","2002","secondary school degree","West Germany","","","",""
"Yes","2002","secondary school degree","East Germany","","","",""
"Yes","2002","college entrance qualification","West Germany","","","",""
"Yes","2002","college entrance qualification","East Germany","","","",""
"Yes","2002","Other degree","West Germany","","","",""
"Yes","2002","Other degree","East Germany","","","",""
"Yes","2002","no degree/no degree yet","West Germany","","","",""
"Yes","2002","no degree/no degree yet","East Germany","","","",""
"No","2002","lower secondary degree","West Germany","","","",""
"No","2002","lower secondary degree","East Germany","","","",""
"No","2002","secondary school degree","West Germany","","","",""
"No","2002","secondary school degree","East Germany","","","",""
"No","2002","college entrance qualification","West Germany","","","",""
"No","2002","college entrance qualification","East Germany","","","",""
"No","2002","Other degree","West Germany","","","",""
"No","2002","Other degree","East Germany","","","",""
"No","2002","no degree/no degree yet","West Germany","","","",""
"No","2002","no degree/no degree yet","East Germany","","","",""
"Yes","2003","lower secondary degree","West Germany","","","",""
"Yes","2003","lower secondary degree","East Germany","","","",""
"Yes","2003","secondary school degree","West Germany","","","",""
"Yes","2003","secondary school degree","East Germany","","","",""
"Yes","2003","college entrance qualification","West Germany","","","",""
"Yes","2003","college entrance qualification","East Germany","","","",""
"Yes","2003","Other degree","West Germany","","","",""
"Yes","2003","Other degree","East Germany","","","",""
"Yes","2003","no degree/no degree yet","West Germany","","","",""
"Yes","2003","no degree/no degree yet","East Germany","","","",""
"No","2003","lower secondary degree","West Germany","","","",""
"No","2003","lower secondary degree","East Germany","","","",""
"No","2003","secondary school degree","West Germany","","","",""
"No","2003","secondary school degree","East Germany","","","",""
"No","2003","college entrance qualification","West Germany","","","",""
"No","2003","college entrance qualification","East Germany","","","",""
"No","2003","Other degree","West Germany","","","",""
"No","2003","Other degree","East Germany","","","",""
"No","2003","no degree/no degree yet","West Germany","","","",""
"No","2003","no degree/no degree yet","East Germany","","","",""
"Yes","2004","lower secondary degree","West Germany","","","",""
"Yes","2004","lower secondary degree","East Germany","","","",""
"Yes","2004","secondary school degree","West Germany","","","",""
"Yes","2004","secondary school degree","East Germany","","","",""
"Yes","2004","college entrance qualification","West Germany","","","",""
"Yes","2004","college entrance qualification","East Germany","","","",""
"Yes","2004","Other degree","West Germany","","","",""
"Yes","2004","Other degree","East Germany","","","",""
"Yes","2004","no degree/no degree yet","West Germany","","","",""
"Yes","2004","no degree/no degree yet","East Germany","","","",""
"No","2004","lower secondary degree","West Germany","","","",""
"No","2004","lower secondary degree","East Germany","","","",""
"No","2004","secondary school degree","West Germany","","","",""
"No","2004","secondary school degree","East Germany","","","",""
"No","2004","college entrance qualification","West Germany","","","",""
"No","2004","college entrance qualification","East Germany","","","",""
"No","2004","Other degree","West Germany","","","",""
"No","2004","Other degree","East Germany","","","",""
"No","2004","no degree/no degree yet","West Germany","","","",""
"No","2004","no degree/no degree yet","East Germany","","","",""
"Yes","2005","lower secondary degree","West Germany","","","",""
"Yes","2005","lower secondary degree","East Germany","","","",""
"Yes","2005","secondary school degree","West Germany","","","",""
"Yes","2005","secondary school degree","East Germany","","","",""
"Yes","2005","college entrance qualification","West Germany","","","",""
"Yes","2005","college entrance qualification","East Germany","","","",""
"Yes","2005","Other degree","West Germany","","","",""
"Yes","2005","Other degree","East Germany","","","",""
"Yes","2005","no degree/no degree yet","West Germany","","","",""
"Yes","2005","no degree/no degree yet","East Germany","","","",""
"No","2005","lower secondary degree","West Germany","","","",""
"No","2005","lower secondary degree","East Germany","","","",""
"No","2005","secondary school degree","West Germany","","","",""
"No","2005","secondary school degree","East Germany","","","",""
"No","2005","college entrance qualification","West Germany","","","",""
"No","2005","college entrance qualification","East Germany","","","",""
"No","2005","Other degree","West Germany","","","",""
"No","2005","Other degree","East Germany","","","",""
"No","2005","no degree/no degree yet","West Germany","","","",""
"No","2005","no degree/no degree yet","East Germany","","","",""
"Yes","2006","lower secondary degree","West Germany","1318","0.474554468995579","0.455978766569582","0.493130171421576"
"Yes","2006","lower secondary degree","East Germany","83","0.323667001462503","0.2656697266192","0.381664276305805"
"Yes","2006","secondary school degree","West Germany","1437","0.543657772380838","0.524876995710389","0.562438549051287"
"Yes","2006","secondary school degree","East Germany","712","0.4335768507299","0.409511561296496","0.457642140163305"
"Yes","2006","college entrance qualification","West Germany","1767","0.5626473915414","0.545119956818914","0.580174826263885"
