"plb0050","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","16-34 y.","Male","1109","0.502100259809644","0.481173839300945","0.523026680318344","2"
"No","2001","66 and older","Male","57","0.842571697559112","0.754705675949159","0.930437719169065","2"
"No","2001","16-34 y.","Female","1072","0.583379584221949","0.561076658294125","0.605682510149773","2"
"No","2001","66 and older","Female","22","","","","2"
"No","2001","35-65 y.","Male","1963","0.426991972968029","0.412713300334829","0.441270645601229","2"
"No","2001","35-65 y.","Female","1875","0.496045885058311","0.48000480165107","0.512086968465552","2"
"Yes","2001","16-34 y.","Male","1084","0.497899740190356","0.476973319681657","0.518826160699055","1"
"Yes","2001","16-34 y.","Female","805","0.416620415778051","0.394317489850227","0.438923341705875","1"
"Yes","2001","35-65 y.","Male","2647","0.573008027031971","0.558729354398771","0.587286699665171","1"
"Yes","2001","35-65 y.","Female","1857","0.503954114941689","0.487913031534448","0.51999519834893","1"
"Yes","2001","66 and older","Male","9","","","","1"
"Yes","2001","66 and older","Female","3","","","","1"
"No","2002","16-34 y.","Male","","","","","2"
"No","2002","16-34 y.","Female","","","","","2"
"No","2002","66 and older","Male","","","","","2"
"No","2002","66 and older","Female","","","","","2"
"No","2002","35-65 y.","Male","","","","","2"
"No","2002","35-65 y.","Female","","","","","2"
"Yes","2002","16-34 y.","Male","","","","","1"
"Yes","2002","16-34 y.","Female","","","","","1"
"Yes","2002","35-65 y.","Male","","","","","1"
"Yes","2002","35-65 y.","Female","","","","","1"
"Yes","2002","66 and older","Male","","","","","1"
"Yes","2002","66 and older","Female","","","","","1"
"No","2003","16-34 y.","Male","","","","","2"
"No","2003","16-34 y.","Female","","","","","2"
"No","2003","66 and older","Male","","","","","2"
"No","2003","66 and older","Female","","","","","2"
"No","2003","35-65 y.","Male","","","","","2"
"No","2003","35-65 y.","Female","","","","","2"
"Yes","2003","16-34 y.","Male","","","","","1"
"Yes","2003","16-34 y.","Female","","","","","1"
"Yes","2003","35-65 y.","Male","","","","","1"
"Yes","2003","35-65 y.","Female","","","","","1"
"Yes","2003","66 and older","Male","","","","","1"
"Yes","2003","66 and older","Female","","","","","1"
"No","2004","16-34 y.","Male","","","","","2"
"No","2004","16-34 y.","Female","","","","","2"
"No","2004","66 and older","Male","","","","","2"
"No","2004","66 and older","Female","","","","","2"
"No","2004","35-65 y.","Male","","","","","2"
"No","2004","35-65 y.","Female","","","","","2"
"Yes","2004","16-34 y.","Male","","","","","1"
"Yes","2004","16-34 y.","Female","","","","","1"
"Yes","2004","35-65 y.","Male","","","","","1"
"Yes","2004","35-65 y.","Female","","","","","1"
"Yes","2004","66 and older","Male","","","","","1"
"Yes","2004","66 and older","Female","","","","","1"
"No","2005","16-34 y.","Male","","","","","2"
"No","2005","16-34 y.","Female","","","","","2"
"No","2005","66 and older","Male","","","","","2"
"No","2005","66 and older","Female","","","","","2"
"No","2005","35-65 y.","Male","","","","","2"
"No","2005","35-65 y.","Female","","","","","2"
"Yes","2005","16-34 y.","Male","","","","","1"
"Yes","2005","16-34 y.","Female","","","","","1"
"Yes","2005","35-65 y.","Male","","","","","1"
"Yes","2005","35-65 y.","Female","","","","","1"
"Yes","2005","66 and older","Male","","","","","1"
"Yes","2005","66 and older","Female","","","","","1"
"No","2006","66 and older","Male","107","0.877223884615991","0.819226594304129","0.935221174927853","2"
"No","2006","16-34 y.","Male","883","0.561285717486184","0.537039000056647","0.58553243491572","2"
"No","2006","16-34 y.","Female","838","0.523763218674975","0.49867211699599","0.54885432035396","2"
"No","2006","66 and older","Female","52","0.860413093657685","0.772723448578908","0.948102738736461","2"
"No","2006","35-65 y.","Male","2028","0.443510625439233","0.429239155697659","0.457782095180807","2"
"No","2006","35-65 y.","Female","2031","0.502887911486236","0.48769236263783","0.518083460334643","2"
"Yes","2006","16-34 y.","Male","726","0.438714282513816","0.41446756508428","0.462960999943353","1"
"Yes","2006","16-34 y.","Female","684","0.476236781325025","0.45114567964604","0.50132788300401","1"
