"plb0050","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Full Time","lower secondary degree","1401","0.529972327031084","0.511111520443931","0.548833133618237"
"Yes","2001","Full Time","secondary school degree","1757","0.558430320441607","0.541323832363011","0.575536808520203"
"Yes","2001","Full Time","college entrance qualification","1353","0.603001548104259","0.58264411295032","0.623358983258199"
"Yes","2001","Full Time","Other degree","271","0.520233700686863","0.475493858841062","0.564973542532664"
"Yes","2001","Full Time","no degree/no degree yet","40","0.504606071990586","0.392199197951716","0.617012946029457"
"Yes","2001","Part Time","lower secondary degree","450","0.38260311216644","0.354789617995112","0.410416606337767"
"Yes","2001","Part Time","secondary school degree","499","0.407768366794977","0.379824118146054","0.4357126154439"
"Yes","2001","Part Time","college entrance qualification","407","0.47095755351476","0.43699931243128","0.50491579459824"
"Yes","2001","Part Time","Other degree","127","0.515976354818459","0.454274813965603","0.577677895671316"
"Yes","2001","Part Time","no degree/no degree yet","30","0.294129807040895","0.202017829796717","0.386241784285073"
"Yes","2001","Not Working","lower secondary degree","16","","",""
"Yes","2001","Not Working","secondary school degree","17","","",""
"Yes","2001","Not Working","college entrance qualification","15","","",""
"Yes","2001","Not Working","Other degree","3","","",""
"Yes","2001","Not Working","no degree/no degree yet","2","","",""
"No","2001","Full Time","lower secondary degree","1289","0.470027672968916","0.451166866381763","0.488888479556069"
"No","2001","Full Time","secondary school degree","1480","0.441569679558393","0.424463191479797","0.458676167636989"
"No","2001","Full Time","college entrance qualification","866","0.396998451895741","0.376641016741801","0.41735588704968"
"No","2001","Full Time","Other degree","208","0.479766299313137","0.435026457467336","0.524506141158938"
"No","2001","Full Time","no degree/no degree yet","36","0.495393928009414","0.382987053970543","0.607800802048284"
"No","2001","Part Time","lower secondary degree","723","0.617396887833561","0.589583393662233","0.645210382004888"
"No","2001","Part Time","secondary school degree","689","0.592231633205023","0.5642873845561","0.620175881853946"
"No","2001","Part Time","college entrance qualification","423","0.52904244648524","0.49508420540176","0.56300068756872"
"No","2001","Part Time","Other degree","125","0.484023645181541","0.422322104328684","0.545725186034397"
"No","2001","Part Time","no degree/no degree yet","64","0.705870192959105","0.613758215714927","0.797982170203283"
"No","2001","Not Working","lower secondary degree","47","0.754593581352912","0.648331742162361","0.860855420543463"
"No","2001","Not Working","secondary school degree","58","0.76431880915885","0.668264424337716","0.860373193979983"
"No","2001","Not Working","college entrance qualification","31","0.633192151172234","0.493922577354534","0.772461724989934"
"No","2001","Not Working","Other degree","11","","",""
"No","2001","Not Working","no degree/no degree yet","10","","",""
"Yes","2002","Full Time","lower secondary degree","","","",""
"Yes","2002","Full Time","secondary school degree","","","",""
"Yes","2002","Full Time","college entrance qualification","","","",""
"Yes","2002","Full Time","Other degree","","","",""
"Yes","2002","Full Time","no degree/no degree yet","","","",""
"Yes","2002","Part Time","lower secondary degree","","","",""
"Yes","2002","Part Time","secondary school degree","","","",""
"Yes","2002","Part Time","college entrance qualification","","","",""
"Yes","2002","Part Time","Other degree","","","",""
"Yes","2002","Part Time","no degree/no degree yet","","","",""
"Yes","2002","Not Working","lower secondary degree","","","",""
"Yes","2002","Not Working","secondary school degree","","","",""
"Yes","2002","Not Working","college entrance qualification","","","",""
"Yes","2002","Not Working","Other degree","","","",""
"Yes","2002","Not Working","no degree/no degree yet","","","",""
"No","2002","Full Time","lower secondary degree","","","",""
"No","2002","Full Time","secondary school degree","","","",""
"No","2002","Full Time","college entrance qualification","","","",""
"No","2002","Full Time","Other degree","","","",""
"No","2002","Full Time","no degree/no degree yet","","","",""
"No","2002","Part Time","lower secondary degree","","","",""
"No","2002","Part Time","secondary school degree","","","",""
"No","2002","Part Time","college entrance qualification","","","",""
"No","2002","Part Time","Other degree","","","",""
"No","2002","Part Time","no degree/no degree yet","","","",""
"No","2002","Not Working","lower secondary degree","","","",""
"No","2002","Not Working","secondary school degree","","","",""
"No","2002","Not Working","college entrance qualification","","","",""
"No","2002","Not Working","Other degree","","","",""
"No","2002","Not Working","no degree/no degree yet","","","",""
"Yes","2003","Full Time","lower secondary degree","","","",""
"Yes","2003","Full Time","secondary school degree","","","",""
"Yes","2003","Full Time","college entrance qualification","","","",""
"Yes","2003","Full Time","Other degree","","","",""
"Yes","2003","Full Time","no degree/no degree yet","","","",""
"Yes","2003","Part Time","lower secondary degree","","","",""
"Yes","2003","Part Time","secondary school degree","","","",""
"Yes","2003","Part Time","college entrance qualification","","","",""
"Yes","2003","Part Time","Other degree","","","",""
"Yes","2003","Part Time","no degree/no degree yet","","","",""
"Yes","2003","Not Working","lower secondary degree","","","",""
"Yes","2003","Not Working","secondary school degree","","","",""
"Yes","2003","Not Working","college entrance qualification","","","",""
"Yes","2003","Not Working","Other degree","","","",""
"Yes","2003","Not Working","no degree/no degree yet","","","",""
"No","2003","Full Time","lower secondary degree","","","",""
"No","2003","Full Time","secondary school degree","","","",""
"No","2003","Full Time","college entrance qualification","","","",""
"No","2003","Full Time","Other degree","","","",""
"No","2003","Full Time","no degree/no degree yet","","","",""
"No","2003","Part Time","lower secondary degree","","","",""
"No","2003","Part Time","secondary school degree","","","",""
"No","2003","Part Time","college entrance qualification","","","",""
"No","2003","Part Time","Other degree","","","",""
"No","2003","Part Time","no degree/no degree yet","","","",""
"No","2003","Not Working","lower secondary degree","","","",""
"No","2003","Not Working","secondary school degree","","","",""
"No","2003","Not Working","college entrance qualification","","","",""
"No","2003","Not Working","Other degree","","","",""
"No","2003","Not Working","no degree/no degree yet","","","",""
"Yes","2004","Full Time","lower secondary degree","","","",""
"Yes","2004","Full Time","secondary school degree","","","",""
"Yes","2004","Full Time","college entrance qualification","","","",""
"Yes","2004","Full Time","Other degree","","","",""
"Yes","2004","Full Time","no degree/no degree yet","","","",""
"Yes","2004","Part Time","lower secondary degree","","","",""
"Yes","2004","Part Time","secondary school degree","","","",""
"Yes","2004","Part Time","college entrance qualification","","","",""
"Yes","2004","Part Time","Other degree","","","",""
"Yes","2004","Part Time","no degree/no degree yet","","","",""
"Yes","2004","Not Working","lower secondary degree","","","",""
"Yes","2004","Not Working","secondary school degree","","","",""
"Yes","2004","Not Working","college entrance qualification","","","",""
"Yes","2004","Not Working","Other degree","","","",""
"Yes","2004","Not Working","no degree/no degree yet","","","",""
"No","2004","Full Time","lower secondary degree","","","",""
"No","2004","Full Time","secondary school degree","","","",""
"No","2004","Full Time","college entrance qualification","","","",""
"No","2004","Full Time","Other degree","","","",""
"No","2004","Full Time","no degree/no degree yet","","","",""
"No","2004","Part Time","lower secondary degree","","","",""
"No","2004","Part Time","secondary school degree","","","",""
"No","2004","Part Time","college entrance qualification","","","",""
"No","2004","Part Time","Other degree","","","",""
"No","2004","Part Time","no degree/no degree yet","","","",""
"No","2004","Not Working","lower secondary degree","","","",""
"No","2004","Not Working","secondary school degree","","","",""
"No","2004","Not Working","college entrance qualification","","","",""
"No","2004","Not Working","Other degree","","","",""
"No","2004","Not Working","no degree/no degree yet","","","",""
"Yes","2005","Full Time","lower secondary degree","","","",""
"Yes","2005","Full Time","secondary school degree","","","",""
"Yes","2005","Full Time","college entrance qualification","","","",""
"Yes","2005","Full Time","Other degree","","","",""
"Yes","2005","Full Time","no degree/no degree yet","","","",""
"Yes","2005","Part Time","lower secondary degree","","","",""
"Yes","2005","Part Time","secondary school degree","","","",""
"Yes","2005","Part Time","college entrance qualification","","","",""
"Yes","2005","Part Time","Other degree","","","",""
"Yes","2005","Part Time","no degree/no degree yet","","","",""
"Yes","2005","Not Working","lower secondary degree","","","",""
"Yes","2005","Not Working","secondary school degree","","","",""
"Yes","2005","Not Working","college entrance qualification","","","",""
"Yes","2005","Not Working","Other degree","","","",""
"Yes","2005","Not Working","no degree/no degree yet","","","",""
"No","2005","Full Time","lower secondary degree","","","",""
"No","2005","Full Time","secondary school degree","","","",""
"No","2005","Full Time","college entrance qualification","","","",""
"No","2005","Full Time","Other degree","","","",""
"No","2005","Full Time","no degree/no degree yet","","","",""
"No","2005","Part Time","lower secondary degree","","","",""
"No","2005","Part Time","secondary school degree","","","",""
"No","2005","Part Time","college entrance qualification","","","",""
"No","2005","Part Time","Other degree","","","",""
"No","2005","Part Time","no degree/no degree yet","","","",""
"No","2005","Not Working","lower secondary degree","","","",""
"No","2005","Not Working","secondary school degree","","","",""
"No","2005","Not Working","college entrance qualification","","","",""
"No","2005","Not Working","Other degree","","","",""
"No","2005","Not Working","no degree/no degree yet","","","",""
"Yes","2006","Full Time","lower secondary degree","1023","0.522529016445386","0.500455343211004","0.544602689679768"
"Yes","2006","Full Time","secondary school degree","1560","0.558520864171142","0.540432528884293","0.576609199457991"
"Yes","2006","Full Time","college entrance qualification","1671","0.602358344091293","0.583911666827104","0.620805021355482"
"Yes","2006","Full Time","Other degree","198","0.504924566606212","0.453060935231735","0.556788197980689"
"Yes","2006","Full Time","no degree/no degree yet","26","","",""
"Yes","2006","Part Time","lower secondary degree","367","0.354150208573331","0.324669899932488","0.383630517214175"
"Yes","2006","Part Time","secondary school degree","572","0.41019741388319","0.384132587433107","0.436262240333273"
"Yes","2006","Part Time","college entrance qualification","524","0.464706806940054","0.435057216657519","0.494356397222589"
"Yes","2006","Part Time","Other degree","91","0.423611166566638","0.357866624724155","0.489355708409121"
"Yes","2006","Part Time","no degree/no degree yet","12","","",""
"Yes","2006","Not Working","lower secondary degree","11","","",""
"Yes","2006","Not Working","secondary school degree","17","","",""
"Yes","2006","Not Working","college entrance qualification","19","","",""
"Yes","2006","Not Working","Other degree","4","","",""
"Yes","2006","Not Working","no degree/no degree yet","","","",""
"No","2006","Full Time","lower secondary degree","944","0.477470983554613","0.455397310320232","0.499544656788995"
"No","2006","Full Time","secondary school degree","1335","0.441479135828858","0.423390800542009","0.459567471115707"
"No","2006","Full Time","college entrance qualification","1033","0.397641655908707","0.379194978644518","0.416088333172896"
"No","2006","Full Time","Other degree","159","0.495075433393788","0.443211802019311","0.546939064768265"
"No","2006","Full Time","no degree/no degree yet","25","","",""
"No","2006","Part Time","lower secondary degree","644","0.645849791426669","0.616369482785825","0.675330100067512"
"No","2006","Part Time","secondary school degree","796","0.58980258611681","0.563737759666727","0.615867412566893"
"No","2006","Part Time","college entrance qualification","563","0.535293193059946","0.505643602777411","0.564942783342481"
"No","2006","Part Time","Other degree","126","0.576388833433362","0.510644291590879","0.642133375275844"
"No","2006","Part Time","no degree/no degree yet","42","0.798293052092488","0.691266184522397","0.905319919662579"
"No","2006","Not Working","lower secondary degree","37","0.655463332793797","0.521026151720283","0.789900513867312"
"No","2006","Not Working","secondary school degree","51","0.731501566815547","0.626166701843529","0.836836431787565"
"No","2006","Not Working","college entrance qualification","26","","",""
"No","2006","Not Working","Other degree","13","","",""
"No","2006","Not Working","no degree/no degree yet","7","","",""
"Yes","2007","Full Time","lower secondary degree","","","",""
"Yes","2007","Full Time","secondary school degree","","","",""
"Yes","2007","Full Time","college entrance qualification","","","",""
"Yes","2007","Full Time","Other degree","","","",""
"Yes","2007","Full Time","no degree/no degree yet","","","",""
"Yes","2007","Part Time","lower secondary degree","","","",""
"Yes","2007","Part Time","secondary school degree","","","",""
"Yes","2007","Part Time","college entrance qualification","","","",""
"Yes","2007","Part Time","Other degree","","","",""
"Yes","2007","Part Time","no degree/no degree yet","","","",""
"Yes","2007","Not Working","lower secondary degree","","","",""
"Yes","2007","Not Working","secondary school degree","","","",""
"Yes","2007","Not Working","college entrance qualification","","","",""
"Yes","2007","Not Working","Other degree","","","",""
"Yes","2007","Not Working","no degree/no degree yet","","","",""
"No","2007","Full Time","lower secondary degree","","","",""
"No","2007","Full Time","secondary school degree","","","",""
"No","2007","Full Time","college entrance qualification","","","",""
"No","2007","Full Time","Other degree","","","",""
"No","2007","Full Time","no degree/no degree yet","","","",""
"No","2007","Part Time","lower secondary degree","","","",""
"No","2007","Part Time","secondary school degree","","","",""
"No","2007","Part Time","college entrance qualification","","","",""
"No","2007","Part Time","Other degree","","","",""
"No","2007","Part Time","no degree/no degree yet","","","",""
"No","2007","Not Working","lower secondary degree","","","",""
"No","2007","Not Working","secondary school degree","","","",""
"No","2007","Not Working","college entrance qualification","","","",""
"No","2007","Not Working","Other degree","","","",""
"No","2007","Not Working","no degree/no degree yet","","","",""
"Yes","2008","Full Time","lower secondary degree","","","",""
"Yes","2008","Full Time","secondary school degree","","","",""
"Yes","2008","Full Time","college entrance qualification","","","",""
"Yes","2008","Full Time","Other degree","","","",""
"Yes","2008","Full Time","no degree/no degree yet","","","",""
"Yes","2008","Part Time","lower secondary degree","","","",""
"Yes","2008","Part Time","secondary school degree","","","",""
"Yes","2008","Part Time","college entrance qualification","","","",""
"Yes","2008","Part Time","Other degree","","","",""
"Yes","2008","Part Time","no degree/no degree yet","","","",""
"Yes","2008","Not Working","lower secondary degree","","","",""
"Yes","2008","Not Working","secondary school degree","","","",""
"Yes","2008","Not Working","college entrance qualification","","","",""
"Yes","2008","Not Working","Other degree","","","",""
"Yes","2008","Not Working","no degree/no degree yet","","","",""
"No","2008","Full Time","lower secondary degree","","","",""
"No","2008","Full Time","secondary school degree","","","",""
"No","2008","Full Time","college entrance qualification","","","",""
"No","2008","Full Time","Other degree","","","",""
"No","2008","Full Time","no degree/no degree yet","","","",""
"No","2008","Part Time","lower secondary degree","","","",""
"No","2008","Part Time","secondary school degree","","","",""
"No","2008","Part Time","college entrance qualification","","","",""
"No","2008","Part Time","Other degree","","","",""
"No","2008","Part Time","no degree/no degree yet","","","",""
"No","2008","Not Working","lower secondary degree","","","",""
"No","2008","Not Working","secondary school degree","","","",""
"No","2008","Not Working","college entrance qualification","","","",""
"No","2008","Not Working","Other degree","","","",""
"No","2008","Not Working","no degree/no degree yet","","","",""
"Yes","2009","Full Time","lower secondary degree","","","",""
"Yes","2009","Full Time","secondary school degree","","","",""
"Yes","2009","Full Time","college entrance qualification","","","",""
"Yes","2009","Full Time","Other degree","","","",""
"Yes","2009","Full Time","no degree/no degree yet","","","",""
"Yes","2009","Part Time","lower secondary degree","","","",""
"Yes","2009","Part Time","secondary school degree","","","",""
"Yes","2009","Part Time","college entrance qualification","","","",""
"Yes","2009","Part Time","Other degree","","","",""
"Yes","2009","Part Time","no degree/no degree yet","","","",""
"Yes","2009","Not Working","lower secondary degree","","","",""
"Yes","2009","Not Working","secondary school degree","","","",""
"Yes","2009","Not Working","college entrance qualification","","","",""
"Yes","2009","Not Working","Other degree","","","",""
"Yes","2009","Not Working","no degree/no degree yet","","","",""
"No","2009","Full Time","lower secondary degree","","","",""
"No","2009","Full Time","secondary school degree","","","",""
"No","2009","Full Time","college entrance qualification","","","",""
"No","2009","Full Time","Other degree","","","",""
"No","2009","Full Time","no degree/no degree yet","","","",""
"No","2009","Part Time","lower secondary degree","","","",""
"No","2009","Part Time","secondary school degree","","","",""
"No","2009","Part Time","college entrance qualification","","","",""
"No","2009","Part Time","Other degree","","","",""
"No","2009","Part Time","no degree/no degree yet","","","",""
"No","2009","Not Working","lower secondary degree","","","",""
"No","2009","Not Working","secondary school degree","","","",""
"No","2009","Not Working","college entrance qualification","","","",""
"No","2009","Not Working","Other degree","","","",""
"No","2009","Not Working","no degree/no degree yet","","","",""
"Yes","2010","Full Time","lower secondary degree","","","",""
"Yes","2010","Full Time","secondary school degree","","","",""
"Yes","2010","Full Time","college entrance qualification","","","",""
"Yes","2010","Full Time","Other degree","","","",""
"Yes","2010","Full Time","no degree/no degree yet","","","",""
"Yes","2010","Part Time","lower secondary degree","","","",""
"Yes","2010","Part Time","secondary school degree","","","",""
"Yes","2010","Part Time","college entrance qualification","","","",""
"Yes","2010","Part Time","Other degree","","","",""
"Yes","2010","Part Time","no degree/no degree yet","","","",""
"Yes","2010","Not Working","lower secondary degree","","","",""
"Yes","2010","Not Working","secondary school degree","","","",""
"Yes","2010","Not Working","college entrance qualification","","","",""
"Yes","2010","Not Working","Other degree","","","",""
"Yes","2010","Not Working","no degree/no degree yet","","","",""
"No","2010","Full Time","lower secondary degree","","","",""
"No","2010","Full Time","secondary school degree","","","",""
"No","2010","Full Time","college entrance qualification","","","",""
"No","2010","Full Time","Other degree","","","",""
"No","2010","Full Time","no degree/no degree yet","","","",""
"No","2010","Part Time","lower secondary degree","","","",""
"No","2010","Part Time","secondary school degree","","","",""
"No","2010","Part Time","college entrance qualification","","","",""
"No","2010","Part Time","Other degree","","","",""
"No","2010","Part Time","no degree/no degree yet","","","",""
"No","2010","Not Working","lower secondary degree","","","",""
"No","2010","Not Working","secondary school degree","","","",""
"No","2010","Not Working","college entrance qualification","","","",""
"No","2010","Not Working","Other degree","","","",""
"No","2010","Not Working","no degree/no degree yet","","","",""
"Yes","2011","Full Time","lower secondary degree","833","0.530815322363144","0.506308678542981","0.555321966183306"
"Yes","2011","Full Time","secondary school degree","1453","0.548773061679178","0.52982699524242","0.567719128115937"
"Yes","2011","Full Time","college entrance qualification","1646","0.651102066433041","0.632522597691738","0.669681535174343"
"Yes","2011","Full Time","Other degree","173","0.617050890372922","0.561859544757132","0.672242235988711"
"Yes","2011","Full Time","no degree/no degree yet","16","","",""
"Yes","2011","Part Time","lower secondary degree","324","0.391343184698766","0.358629447104601","0.424056922292932"
"Yes","2011","Part Time","secondary school degree","595","0.468901613282742","0.441990910678564","0.49581231588692"
"Yes","2011","Part Time","college entrance qualification","575","0.496023748313562","0.466287275779066","0.525760220848059"
"Yes","2011","Part Time","Other degree","74","0.344116856086867","0.279708656997203","0.408525055176531"
"Yes","2011","Part Time","no degree/no degree yet","26","","",""
"Yes","2011","Not Working","lower secondary degree","12","","",""
"Yes","2011","Not Working","secondary school degree","17","","",""
"Yes","2011","Not Working","college entrance qualification","29","","",""
"Yes","2011","Not Working","Other degree","1","","",""
"Yes","2011","Not Working","no degree/no degree yet","1","","",""
"No","2011","Full Time","lower secondary degree","760","0.469184677636856","0.444678033816694","0.493691321457019"
"No","2011","Full Time","secondary school degree","1197","0.451226938320822","0.432280871884063","0.47017300475758"
"No","2011","Full Time","college entrance qualification","882","0.34889793356696","0.330318464825657","0.367477402308262"
"No","2011","Full Time","Other degree","125","0.382949109627078","0.327757764011289","0.438140455242868"
"No","2011","Full Time","no degree/no degree yet","30","0.775476589869493","0.654894075353613","0.896059104385372"
"No","2011","Part Time","lower secondary degree","531","0.608656815301234","0.575943077707068","0.641370552895399"
"No","2011","Part Time","secondary school degree","726","0.531098386717258","0.50418768411308","0.558009089321436"
"No","2011","Part Time","college entrance qualification","511","0.503976251686438","0.474239779151941","0.533712724220934"
"No","2011","Part Time","Other degree","135","0.655883143913133","0.591474944823469","0.720291343002796"
"No","2011","Part Time","no degree/no degree yet","37","0.545040268607015","0.422076096336631","0.668004440877399"
"No","2011","Not Working","lower secondary degree","24","","",""
"No","2011","Not Working","secondary school degree","31","0.628509918445629","0.491813495032483","0.765206341858774"
"No","2011","Not Working","college entrance qualification","25","","",""
"No","2011","Not Working","Other degree","3","","",""
"No","2011","Not Working","no degree/no degree yet","6","","",""
"Yes","2012","Full Time","lower secondary degree","","","",""
"Yes","2012","Full Time","secondary school degree","","","",""
"Yes","2012","Full Time","college entrance qualification","","","",""
"Yes","2012","Full Time","Other degree","","","",""
"Yes","2012","Full Time","no degree/no degree yet","","","",""
"Yes","2012","Part Time","lower secondary degree","","","",""
"Yes","2012","Part Time","secondary school degree","","","",""
"Yes","2012","Part Time","college entrance qualification","","","",""
"Yes","2012","Part Time","Other degree","","","",""
"Yes","2012","Part Time","no degree/no degree yet","","","",""
"Yes","2012","Not Working","lower secondary degree","","","",""
"Yes","2012","Not Working","secondary school degree","","","",""
"Yes","2012","Not Working","college entrance qualification","","","",""
"Yes","2012","Not Working","Other degree","","","",""
"Yes","2012","Not Working","no degree/no degree yet","","","",""
"No","2012","Full Time","lower secondary degree","","","",""
"No","2012","Full Time","secondary school degree","","","",""
"No","2012","Full Time","college entrance qualification","","","",""
"No","2012","Full Time","Other degree","","","",""
"No","2012","Full Time","no degree/no degree yet","","","",""
"No","2012","Part Time","lower secondary degree","","","",""
"No","2012","Part Time","secondary school degree","","","",""
"No","2012","Part Time","college entrance qualification","","","",""
"No","2012","Part Time","Other degree","","","",""
"No","2012","Part Time","no degree/no degree yet","","","",""
"No","2012","Not Working","lower secondary degree","","","",""
"No","2012","Not Working","secondary school degree","","","",""
"No","2012","Not Working","college entrance qualification","","","",""
"No","2012","Not Working","Other degree","","","",""
"No","2012","Not Working","no degree/no degree yet","","","",""
"Yes","2013","Full Time","lower secondary degree","","","",""
"Yes","2013","Full Time","secondary school degree","","","",""
"Yes","2013","Full Time","college entrance qualification","","","",""
"Yes","2013","Full Time","Other degree","","","",""
"Yes","2013","Full Time","no degree/no degree yet","","","",""
"Yes","2013","Part Time","lower secondary degree","","","",""
"Yes","2013","Part Time","secondary school degree","","","",""
"Yes","2013","Part Time","college entrance qualification","","","",""
"Yes","2013","Part Time","Other degree","","","",""
"Yes","2013","Part Time","no degree/no degree yet","","","",""
"Yes","2013","Not Working","lower secondary degree","","","",""
"Yes","2013","Not Working","secondary school degree","","","",""
"Yes","2013","Not Working","college entrance qualification","","","",""
"Yes","2013","Not Working","Other degree","","","",""
"Yes","2013","Not Working","no degree/no degree yet","","","",""
"No","2013","Full Time","lower secondary degree","","","",""
"No","2013","Full Time","secondary school degree","","","",""
"No","2013","Full Time","college entrance qualification","","","",""
"No","2013","Full Time","Other degree","","","",""
"No","2013","Full Time","no degree/no degree yet","","","",""
"No","2013","Part Time","lower secondary degree","","","",""
"No","2013","Part Time","secondary school degree","","","",""
"No","2013","Part Time","college entrance qualification","","","",""
"No","2013","Part Time","Other degree","","","",""
"No","2013","Part Time","no degree/no degree yet","","","",""
"No","2013","Not Working","lower secondary degree","","","",""
"No","2013","Not Working","secondary school degree","","","",""
"No","2013","Not Working","college entrance qualification","","","",""
"No","2013","Not Working","Other degree","","","",""
"No","2013","Not Working","no degree/no degree yet","","","",""
