"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","5.82","6","5317","4","5","7","7","7","5.79","5.85","1","7","6","6"
"2005","35-65 y.","5.94","6","11588","4","5","7","7","7","5.92","5.96","1","7","6","6"
"2005","66 and older","5.87","6","3777","4","5","7","7","7","5.83","5.91","1","7","6","6"
"2006","16-34 y.","","","","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","","","","",""
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","5.74","6","3577","4","5","7","7","7","5.7","5.78","1","7","6","6"
"2010","35-65 y.","5.84","6","9056","4","5","7","7","7","5.82","5.86","1","7","6","6"
"2010","66 and older","5.89","6","4027","4","5","7","7","7","5.85","5.93","1","7","6","6"
"2011","16-34 y.","","","","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","","","","",""
"2012","16-34 y.","","","","","","","","","","","","","",""
"2012","35-65 y.","","","","","","","","","","","","","",""
"2012","66 and older","","","","","","","","","","","","","",""
"2013","16-34 y.","","","","","","","","","","","","","",""
"2013","35-65 y.","","","","","","","","","","","","","",""
"2013","66 and older","","","","","","","","","","","","","",""
"2014","16-34 y.","","","","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","","","","",""
"2015","16-34 y.","5.86","6","6650","4","5","7","7","7","5.83","5.89","1","7","6","6"
"2015","35-65 y.","5.89","6","15155","4","5","7","7","7","5.87","5.91","1","7","6","6"
"2015","66 and older","5.87","6","4938","4","5","7","7","7","5.84","5.9","1","7","6","6"
"2016","16-34 y.","6.42","7","2510","5","6","7","7","7","6.39","6.45","1","7","7","7"
"2016","35-65 y.","6.69","7","1855","6","7","7","7","7","6.66","6.72","1","7","7","7"
"2016","66 and older","","","","","","","","","","","","","",""
"2017","16-34 y.","6.72","7","1862","6","7","7","7","7","6.69","6.75","1","7","7","7"
"2017","35-65 y.","6.75","7","971","6","7","7","7","7","6.7","6.8","1","7","7","7"
"2017","66 and older","6.81","7","36","6","7","7","7","7","6.56","7.06","4","7","7","7"
"2018","16-34 y.","6.83","7","254","7","7","7","7","7","6.75","6.91","1","7","7","7"
"2018","35-65 y.","6.5","7","161","6","7","7","7","7","6.33","6.67","1","7","7","7"
"2018","66 and older","","","","","","","","","","","","","",""
"2019","16-34 y.","6.72","7","145","6","7","7","7","7","6.58","6.86","2","7","7","7"
"2019","35-65 y.","6.11","7","125","2.25","6","7","7","7","5.86","6.36","1","7","7","7"
"2019","66 and older","","","","","","","","","","","","","",""
