"plh0188","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Full Time","1-pers.-HH","72","0.179019806737809","0.143480315106844","0.214559298368775"
"True entirely","1992","Full Time","(Married) couple without C. ","201","0.151932017707058","0.132259823410473","0.171604212003642"
"True entirely","1992","Full Time","Single parent ","41","0.153585434974228","0.107970290973509","0.199200578974947"
"True entirely","1992","Full Time","Couple + C. LE 16 ","252","0.155785112079425","0.138037685508746","0.173532538650103"
"True entirely","1992","Full Time","Couple + C. GT 16 ","168","0.147875393349896","0.126936049721293","0.168814736978498"
"True entirely","1992","Full Time","Couple + C. LE and GT 16","60","0.16116056198425","0.123996517140738","0.198324606827762"
"True entirely","1992","Part Time","1-pers.-HH","23","","",""
"True entirely","1992","Part Time","(Married) couple without C. ","57","0.134315725886553","0.101065040298775","0.167566411474331"
"True entirely","1992","Part Time","Single parent ","14","","",""
"True entirely","1992","Part Time","Couple + C. LE 16 ","86","0.139637769946432","0.113643366228102","0.165632173664761"
"True entirely","1992","Part Time","Couple + C. GT 16 ","51","0.121621207191269","0.0921347450787286","0.151107669303809"
"True entirely","1992","Part Time","Couple + C. LE and GT 16","18","","",""
"True entirely","1992","Not Working","1-pers.-HH","81","0.117312304402642","0.0925551308083748","0.14206947799691"
"True entirely","1992","Not Working","(Married) couple without C. ","152","0.115157322102872","0.0976289256952912","0.132685718510453"
"True entirely","1992","Not Working","Single parent ","23","","",""
"True entirely","1992","Not Working","Couple + C. LE 16 ","44","0.0922969301450355","0.0651281351565007","0.11946572513357"
"True entirely","1992","Not Working","Couple + C. GT 16 ","91","0.149370919350603","0.120990754165279","0.177751084535927"
"True entirely","1992","Not Working","Couple + C. LE and GT 16","30","0.179033724270278","0.120887711807158","0.237179736733397"
"Tends to agree","1992","Full Time","1-pers.-HH","203","0.45503678795442","0.408873027687402","0.501200548221438"
"Tends to agree","1992","Full Time","(Married) couple without C. ","647","0.493882266286475","0.466482282092366","0.521282250480585"
"Tends to agree","1992","Full Time","Single parent ","117","0.526275248935492","0.463105088344343","0.589445409526641"
"Tends to agree","1992","Full Time","Couple + C. LE 16 ","807","0.512845728908766","0.4883848229591","0.537306634858431"
"Tends to agree","1992","Full Time","Couple + C. GT 16 ","536","0.493815346607775","0.464323610943764","0.523307082271787"
"Tends to agree","1992","Full Time","Couple + C. LE and GT 16","193","0.510494705694676","0.459967127083241","0.56102228430611"
"Tends to agree","1992","Part Time","1-pers.-HH","49","0.430502663388562","0.340005922115117","0.520999404662006"
"Tends to agree","1992","Part Time","(Married) couple without C. ","188","0.47530782270528","0.426611385925826","0.524004259484733"
"Tends to agree","1992","Part Time","Single parent ","65","0.463092896572007","0.38107897975162","0.545106813392393"
"Tends to agree","1992","Part Time","Couple + C. LE 16 ","336","0.491690658161937","0.454197867814918","0.529183448508956"
