"pli0081","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","no migration background","148","0.0467581744455156","0.0391958986618412","0.05432045022919"
"Daily","1990","Full Time","direct migration background","112","0.0624662650287994","0.0494750659524175","0.0754574641051812"
"Daily","1990","Full Time","indirect migration background","11","","",""
"Daily","1990","Part Time","no migration background","90","0.0672517030190439","0.0533058105101381","0.0811975955279497"
"Daily","1990","Part Time","direct migration background","50","0.098856610986362","0.0697523069969462","0.127960914975778"
"Daily","1990","Part Time","indirect migration background","4","","",""
"Daily","1990","Not Working","no migration background","194","0.0842547864937388","0.0731695730661719","0.0953399999213056"
"Daily","1990","Not Working","direct migration background","92","0.103338550312503","0.0822318602451525","0.124445240379854"
"Daily","1990","Not Working","indirect migration background","13","","",""
"Min 1x per week","1990","Full Time","no migration background","1094","0.359463198093377","0.342275352106867","0.376651044079888"
"Min 1x per week","1990","Full Time","direct migration background","547","0.367005406741185","0.341131068703304","0.392879744779066"
"Min 1x per week","1990","Full Time","indirect migration background","44","0.419112831741328","0.319893189056371","0.518332474426284"
"Min 1x per week","1990","Part Time","no migration background","451","0.361669551875819","0.334915399750271","0.388423704001367"
"Min 1x per week","1990","Part Time","direct migration background","161","0.333367677804132","0.287398965650811","0.379336389957452"
"Min 1x per week","1990","Part Time","indirect migration background","35","0.396243625839671","0.289063291745685","0.503423959933657"
"Min 1x per week","1990","Not Working","no migration background","824","0.345726266741422","0.326745866324703","0.364706667158141"
"Min 1x per week","1990","Not Working","direct migration background","330","0.382135616454908","0.348443364424657","0.41582786848516"
"Min 1x per week","1990","Not Working","indirect migration background","49","0.288188021779111","0.206812231500583","0.369563812057638"
"Min 1x per month","1990","Full Time","no migration background","1002","0.339698940966915","0.322734471344755","0.356663410589075"
"Min 1x per month","1990","Full Time","direct migration background","257","0.224325108499992","0.201932131895562","0.246718085104423"
"Min 1x per month","1990","Full Time","indirect migration background","18","","",""
"Min 1x per month","1990","Part Time","no migration background","393","0.315774811451724","0.289892640044026","0.341656982859422"
"Min 1x per month","1990","Part Time","direct migration background","89","0.278735973850964","0.235013869573808","0.32245807812812"
"Min 1x per month","1990","Part Time","indirect migration background","14","","",""
"Min 1x per month","1990","Not Working","no migration background","795","0.315084611014826","0.296545389329822","0.33362383269983"
"Min 1x per month","1990","Not Working","direct migration background","147","0.228151011628186","0.199053753258221","0.25724826999815"
"Min 1x per month","1990","Not Working","indirect migration background","28","","",""
"Rarely","1990","Full Time","no migration background","714","0.241452817981535","0.226123260019634","0.256782375943436"
"Rarely","1990","Full Time","direct migration background","289","0.250518398143061","0.227257133755037","0.273779662531084"
"Rarely","1990","Full Time","indirect migration background","15","","",""
"Rarely","1990","Part Time","no migration background","282","0.236120880603083","0.212473014683091","0.259768746523075"
"Rarely","1990","Part Time","direct migration background","68","0.193879260021211","0.155329370953814","0.232429149088608"
"Rarely","1990","Part Time","indirect migration background","24","","",""
"Rarely","1990","Not Working","no migration background","528","0.222392067245626","0.205796220090333","0.238987914400919"
"Rarely","1990","Not Working","direct migration background","162","0.238914373764209","0.209347010244873","0.268481737283544"
"Rarely","1990","Not Working","indirect migration background","20","","",""
"Never","1990","Full Time","no migration background","36","0.0126268685126575","0.00862732271136854","0.0166264143139465"
"Never","1990","Full Time","direct migration background","128","0.0956848215869628","0.0798936463799628","0.111475996793963"
"Never","1990","Full Time","indirect migration background","7","","",""
"Never","1990","Part Time","no migration background","23","","",""
"Never","1990","Part Time","direct migration background","36","0.0951604773373312","0.0665469436393293","0.123774011035333"
"Never","1990","Part Time","indirect migration background","3","","",""
"Never","1990","Not Working","no migration background","71","0.0325422685043873","0.0254611909466258","0.0396233460621488"
"Never","1990","Not Working","direct migration background","68","0.0474604478401939","0.0327175747767585","0.0622033209036292"
"Never","1990","Not Working","indirect migration background","9","","",""
"Daily","1991","Full Time","no migration background","","","",""
"Daily","1991","Full Time","direct migration background","","","",""
"Daily","1991","Full Time","indirect migration background","","","",""
"Daily","1991","Part Time","no migration background","","","",""
"Daily","1991","Part Time","direct migration background","","","",""
"Daily","1991","Part Time","indirect migration background","","","",""
"Daily","1991","Not Working","no migration background","","","",""
"Daily","1991","Not Working","direct migration background","","","",""
"Daily","1991","Not Working","indirect migration background","","","",""
