"pli0081","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","(0) in school","","","",""
"Daily","1990","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Daily","1990","Schleswig-Holstein","(1b) general elementary school","13","","",""
"Daily","1990","Schleswig-Holstein","(1c) basic vocational qualification","4","","",""
"Daily","1990","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Daily","1990","Schleswig-Holstein","(2a) intermediate vocational","4","","",""
"Daily","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Daily","1990","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Daily","1990","Hamburg","(0) in school","","","",""
"Daily","1990","Hamburg","(1a) inadequately completed","1","","",""
"Daily","1990","Hamburg","(1b) general elementary school","2","","",""
"Daily","1990","Hamburg","(1c) basic vocational qualification","","","",""
"Daily","1990","Hamburg","(2b) intermediate general qualification","","","",""
"Daily","1990","Hamburg","(2a) intermediate vocational","1","","",""
"Daily","1990","Hamburg","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Hamburg","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Hamburg","(3a) lower tertiary education","","","",""
"Daily","1990","Hamburg","(3b) higher tertiary education","","","",""
"Daily","1990","Lower Saxony","(0) in school","","","",""
"Daily","1990","Lower Saxony","(1a) inadequately completed","5","","",""
"Daily","1990","Lower Saxony","(1b) general elementary school","20","","",""
"Daily","1990","Lower Saxony","(1c) basic vocational qualification","20","","",""
"Daily","1990","Lower Saxony","(2b) intermediate general qualification","3","","",""
"Daily","1990","Lower Saxony","(2a) intermediate vocational","4","","",""
"Daily","1990","Lower Saxony","(2c_gen) general maturity certificate","2","","",""
"Daily","1990","Lower Saxony","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Lower Saxony","(3a) lower tertiary education","2","","",""
"Daily","1990","Lower Saxony","(3b) higher tertiary education","2","","",""
"Daily","1990","Bremen","(0) in school","","","",""
"Daily","1990","Bremen","(1a) inadequately completed","","","",""
"Daily","1990","Bremen","(1b) general elementary school","1","","",""
"Daily","1990","Bremen","(1c) basic vocational qualification","","","",""
"Daily","1990","Bremen","(2b) intermediate general qualification","","","",""
"Daily","1990","Bremen","(2a) intermediate vocational","3","","",""
"Daily","1990","Bremen","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Bremen","(3a) lower tertiary education","","","",""
"Daily","1990","Bremen","(3b) higher tertiary education","","","",""
"Daily","1990","North Rhine-Westphalia","(0) in school","4","","",""
"Daily","1990","North Rhine-Westphalia","(1a) inadequately completed","17","","",""
"Daily","1990","North Rhine-Westphalia","(1b) general elementary school","51","0.101951993311354","0.0762397533727264","0.127664233249981"
"Daily","1990","North Rhine-Westphalia","(1c) basic vocational qualification","54","0.0613999011752851","0.0450681340495622","0.0777316683010081"
"Daily","1990","North Rhine-Westphalia","(2b) intermediate general qualification","6","","",""
"Daily","1990","North Rhine-Westphalia","(2a) intermediate vocational","18","","",""
"Daily","1990","North Rhine-Westphalia","(2c_gen) general maturity certificate","3","","",""
"Daily","1990","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","3","","",""
"Daily","1990","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Daily","1990","North Rhine-Westphalia","(3b) higher tertiary education","6","","",""
"Daily","1990","Hesse","(0) in school","2","","",""
"Daily","1990","Hesse","(1a) inadequately completed","13","","",""
"Daily","1990","Hesse","(1b) general elementary school","23","","",""
"Daily","1990","Hesse","(1c) basic vocational qualification","23","","",""
"Daily","1990","Hesse","(2b) intermediate general qualification","3","","",""
"Daily","1990","Hesse","(2a) intermediate vocational","13","","",""
"Daily","1990","Hesse","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Hesse","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Hesse","(3a) lower tertiary education","4","","",""
"Daily","1990","Hesse","(3b) higher tertiary education","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(1a) inadequately completed","5","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(1b) general elementary school","25","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","29","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","4","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","6","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","3","","",""
"Daily","1990","Baden-Württemberg","(0) in school","","","",""
"Daily","1990","Baden-Württemberg","(1a) inadequately completed","26","","",""
"Daily","1990","Baden-Württemberg","(1b) general elementary school","56","0.145143665122745","0.112777741670985","0.177509588574504"
"Daily","1990","Baden-Württemberg","(1c) basic vocational qualification","61","0.0904818375826115","0.0676228602108059","0.113340814954417"
"Daily","1990","Baden-Württemberg","(2b) intermediate general qualification","5","","",""
"Daily","1990","Baden-Württemberg","(2a) intermediate vocational","12","","",""
"Daily","1990","Baden-Württemberg","(2c_gen) general maturity certificate","5","","",""
"Daily","1990","Baden-Württemberg","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Daily","1990","Baden-Württemberg","(3b) higher tertiary education","1","","",""
"Daily","1990","Bavaria","(0) in school","2","","",""
"Daily","1990","Bavaria","(1a) inadequately completed","6","","",""
"Daily","1990","Bavaria","(1b) general elementary school","27","","",""
"Daily","1990","Bavaria","(1c) basic vocational qualification","39","0.0688906624177261","0.0486084558676127","0.0891728689678395"
"Daily","1990","Bavaria","(2b) intermediate general qualification","2","","",""
"Daily","1990","Bavaria","(2a) intermediate vocational","8","","",""
"Daily","1990","Bavaria","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Bavaria","(2c_voc) vocational maturity certificate","5","","",""
"Daily","1990","Bavaria","(3a) lower tertiary education","1","","",""
"Daily","1990","Bavaria","(3b) higher tertiary education","1","","",""
"Daily","1990","Berlin","(0) in school","3","","",""
"Daily","1990","Berlin","(1a) inadequately completed","9","","",""
"Daily","1990","Berlin","(1b) general elementary school","6","","",""
"Daily","1990","Berlin","(1c) basic vocational qualification","7","","",""
"Daily","1990","Berlin","(2b) intermediate general qualification","","","",""
"Daily","1990","Berlin","(2a) intermediate vocational","4","","",""
"Daily","1990","Berlin","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Berlin","(3a) lower tertiary education","","","",""
"Daily","1990","Berlin","(3b) higher tertiary education","","","",""
"Daily","1990","Brandenburg","(0) in school","","","",""
"Daily","1990","Brandenburg","(1a) inadequately completed","","","",""
"Daily","1990","Brandenburg","(1b) general elementary school","","","",""
"Daily","1990","Brandenburg","(1c) basic vocational qualification","","","",""
"Daily","1990","Brandenburg","(2b) intermediate general qualification","","","",""
"Daily","1990","Brandenburg","(2a) intermediate vocational","","","",""
"Daily","1990","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Brandenburg","(3a) lower tertiary education","","","",""
"Daily","1990","Brandenburg","(3b) higher tertiary education","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Daily","1990","Saxony","(0) in school","","","",""
"Daily","1990","Saxony","(1a) inadequately completed","","","",""
"Daily","1990","Saxony","(1b) general elementary school","","","",""
"Daily","1990","Saxony","(1c) basic vocational qualification","","","",""
"Daily","1990","Saxony","(2b) intermediate general qualification","","","",""
"Daily","1990","Saxony","(2a) intermediate vocational","","","",""
"Daily","1990","Saxony","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Saxony","(3a) lower tertiary education","","","",""
"Daily","1990","Saxony","(3b) higher tertiary education","","","",""
"Daily","1990","Saxony-Anhalt","(0) in school","","","",""
"Daily","1990","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Daily","1990","Saxony-Anhalt","(1b) general elementary school","","","",""
"Daily","1990","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Daily","1990","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Daily","1990","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Daily","1990","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Daily","1990","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Daily","1990","Thuringia","(0) in school","","","",""
"Daily","1990","Thuringia","(1a) inadequately completed","","","",""
"Daily","1990","Thuringia","(1b) general elementary school","","","",""
"Daily","1990","Thuringia","(1c) basic vocational qualification","","","",""
"Daily","1990","Thuringia","(2b) intermediate general qualification","","","",""
"Daily","1990","Thuringia","(2a) intermediate vocational","","","",""
"Daily","1990","Thuringia","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Thuringia","(3a) lower tertiary education","","","",""
"Daily","1990","Thuringia","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","Schleswig-Holstein","(0) in school","","","",""
"Min 1x per week","1990","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","Schleswig-Holstein","(1b) general elementary school","18","","",""
"Min 1x per week","1990","Schleswig-Holstein","(1c) basic vocational qualification","38","0.360128045113008","0.27042095733622","0.449835132889796"
"Min 1x per week","1990","Schleswig-Holstein","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1990","Schleswig-Holstein","(2a) intermediate vocational","12","","",""
"Min 1x per week","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","Schleswig-Holstein","(3a) lower tertiary education","3","","",""
"Min 1x per week","1990","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","Hamburg","(0) in school","1","","",""
"Min 1x per week","1990","Hamburg","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","Hamburg","(1b) general elementary school","16","","",""
"Min 1x per week","1990","Hamburg","(1c) basic vocational qualification","19","","",""
"Min 1x per week","1990","Hamburg","(2b) intermediate general qualification","2","","",""
