"pli0081","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","(0) in school","1","","",""
"Daily","1990","1-pers.-HH","(1a) inadequately completed","4","","",""
"Daily","1990","1-pers.-HH","(1b) general elementary school","41","0.150064270939234","0.106653938524771","0.193474603353697"
"Daily","1990","1-pers.-HH","(1c) basic vocational qualification","28","","",""
"Daily","1990","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"Daily","1990","1-pers.-HH","(2a) intermediate vocational","9","","",""
"Daily","1990","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Daily","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Daily","1990","1-pers.-HH","(3b) higher tertiary education","2","","",""
"Daily","1990","(Married) couple without C. ","(0) in school","","","",""
"Daily","1990","(Married) couple without C. ","(1a) inadequately completed","8","","",""
"Daily","1990","(Married) couple without C. ","(1b) general elementary school","47","0.0946732170715749","0.0685371146289721","0.120809319514178"
"Daily","1990","(Married) couple without C. ","(1c) basic vocational qualification","84","0.0842596866057524","0.0664453054852098","0.102074067726295"
"Daily","1990","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Daily","1990","(Married) couple without C. ","(2a) intermediate vocational","24","","",""
"Daily","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Daily","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","7","","",""
"Daily","1990","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Daily","1990","(Married) couple without C. ","(3b) higher tertiary education","4","","",""
"Daily","1990","Single parent ","(0) in school","2","","",""
"Daily","1990","Single parent ","(1a) inadequately completed","6","","",""
"Daily","1990","Single parent ","(1b) general elementary school","12","","",""
"Daily","1990","Single parent ","(1c) basic vocational qualification","16","","",""
"Daily","1990","Single parent ","(2b) intermediate general qualification","4","","",""
"Daily","1990","Single parent ","(2a) intermediate vocational","2","","",""
"Daily","1990","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Single parent ","(3a) lower tertiary education","","","",""
"Daily","1990","Single parent ","(3b) higher tertiary education","1","","",""
