"pli0081","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","Urban Area","76","0.0841652391683661","0.0655663866234984","0.102764091713234","1"
"Daily","1990","1-pers.-HH","Rural Area","18","","","","1"
"Daily","1990","(Married) couple without C. ","Urban Area","153","0.0764919043595479","0.0643773421181919","0.0886064666009039","1"
"Daily","1990","(Married) couple without C. ","Rural Area","31","0.0752795306165863","0.0510896526280868","0.0994694086050858","1"
"Daily","1990","Single parent ","Urban Area","40","0.10231608542179","0.0713520282112539","0.133280142632326","1"
"Daily","1990","Single parent ","Rural Area","5","","","","1"
"Daily","1990","Couple + C. LE 16 ","Urban Area","139","0.0685147600208839","0.0563766382714802","0.0806528817702875","1"
"Daily","1990","Couple + C. LE 16 ","Rural Area","34","0.0704215967735549","0.0460393426104281","0.0948038509366818","1"
"Daily","1990","Couple + C. GT 16 ","Urban Area","105","0.0406996707190279","0.0310177651109788","0.0503815763270771","1"
"Daily","1990","Couple + C. GT 16 ","Rural Area","19","","","","1"
"Daily","1990","Couple + C. LE and GT 16","Urban Area","41","0.033443311560257","0.0204277051748213","0.0464589179456927","1"
"Daily","1990","Couple + C. LE and GT 16","Rural Area","8","","","","1"
"Min 1x per month","1990","1-pers.-HH","Rural Area","45","0.276961998819018","0.211036699248007","0.342887298390028","3"
"Min 1x per month","1990","(Married) couple without C. ","Rural Area","163","0.360212412194549","0.316198777661915","0.404226046727183","3"
"Min 1x per month","1990","(Married) couple without C. ","Urban Area","559","0.318207067275847","0.296976539356435","0.33943759519526","3"
"Min 1x per month","1990","1-pers.-HH","Urban Area","220","0.270601443086383","0.240839676061333","0.300363210111433","3"
"Min 1x per month","1990","Single parent ","Rural Area","28","","","","3"
"Min 1x per month","1990","Single parent ","Urban Area","98","0.308492011149432","0.261302579851054","0.355681442447809","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Urban Area","473","0.329998913796997","0.306958933239204","0.353038894354789","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Urban Area","438","0.302602391083903","0.280530078660764","0.324674703507042","3"
"Min 1x per month","1990","Couple + C. LE 16 ","Rural Area","133","0.349080923341975","0.303654926622403","0.394506920061548","3"
"Min 1x per month","1990","Couple + C. GT 16 ","Rural Area","163","0.386513983931546","0.341622515358937","0.431405452504155","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","Rural Area","40","0.308848054901515","0.236113389636134","0.381582720166896","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","Urban Area","206","0.353204451960451","0.318603129392001","0.387805774528902","3"
"Min 1x per week","1990","(Married) couple without C. ","Rural Area","167","0.341874541787264","0.298385712444583","0.385363371129945","2"
"Min 1x per week","1990","1-pers.-HH","Rural Area","50","0.285998433539622","0.219426239961777","0.352570627117466","2"
"Min 1x per week","1990","1-pers.-HH","Urban Area","300","0.360049223831608","0.327892971104837","0.392205476558379","2"
"Min 1x per week","1990","(Married) couple without C. ","Urban Area","733","0.398009613778796","0.375698502902031","0.420320724655562","2"
"Min 1x per week","1990","Single parent ","Urban Area","116","0.299400295417519","0.252606823575157","0.34619376725988","2"
"Min 1x per week","1990","Single parent ","Rural Area","26","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","Urban Area","742","0.427776483431892","0.404004646961676","0.451548319902109","2"
"Min 1x per week","1990","Couple + C. LE 16 ","Rural Area","169","0.367748444216461","0.321797093399618","0.413699795033305","2"
"Min 1x per week","1990","Couple + C. GT 16 ","Rural Area","125","0.273567035585091","0.232470186310682","0.314663884859499","2"
"Min 1x per week","1990","Couple + C. GT 16 ","Urban Area","548","0.314750923497866","0.291994928183747","0.337506918811985","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","Urban Area","261","0.296551514098992","0.263486986198477","0.329616041999508","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","Rural Area","39","0.290520983444374","0.219048187364175","0.361993779524572","2"
"Never","1990","1-pers.-HH","Urban Area","52","0.0475100910132651","0.0332594522450193","0.061760729781511","5"
"Never","1990","1-pers.-HH","Rural Area","8","","","","5"
"Never","1990","(Married) couple without C. ","Urban Area","56","0.0217277415819344","0.0150824078215185","0.0283730753423504","5"
"Never","1990","Couple + C. LE 16 ","Rural Area","10","","","","5"
"Never","1990","(Married) couple without C. ","Rural Area","4","","","","5"
"Never","1990","Single parent ","Urban Area","22","","","","5"
"Never","1990","Single parent ","Rural Area","5","","","","5"
"Never","1990","Couple + C. GT 16 ","Urban Area","63","0.0264840828219539","0.0186163048307955","0.0343518608131122","5"
"Never","1990","Couple + C. GT 16 ","Rural Area","17","","","","5"
"Never","1990","Couple + C. LE 16 ","Urban Area","60","0.0181280819600972","0.0117178347599362","0.0245383291602583","5"
"Never","1990","Couple + C. LE and GT 16","Urban Area","39","0.0398077974697307","0.0256544468452964","0.0539611480941649","5"
"Never","1990","Couple + C. LE and GT 16","Rural Area","13","","","","5"
"Rarely","1990","(Married) couple without C. ","Urban Area","348","0.185563673003874","0.167844041590008","0.20328330441774","4"
"Rarely","1990","1-pers.-HH","Rural Area","56","0.308672526404499","0.240618730509466","0.376726322299532","4"
"Rarely","1990","Single parent ","Urban Area","92","0.246775070557276","0.202725957643986","0.290824183470566","4"
"Rarely","1990","1-pers.-HH","Urban Area","208","0.237674002900378","0.209159066043251","0.266188939757505","4"
"Rarely","1990","(Married) couple without C. ","Rural Area","92","0.221072660998932","0.183026925532165","0.2591183964657","4"
"Rarely","1990","Single parent ","Rural Area","27","","","","4"
"Rarely","1990","Couple + C. LE 16 ","Urban Area","285","0.182978283503224","0.164400752070975","0.201555814935473","4"
"Rarely","1990","Couple + C. LE 16 ","Rural Area","77","0.204363307172205","0.165936281529696","0.242790332814714","4"
"Rarely","1990","Couple + C. GT 16 ","Urban Area","411","0.288066409164156","0.26587657014919","0.310256248179122","4"
"Rarely","1990","Couple + C. GT 16 ","Rural Area","128","0.271531735561038","0.230530731735298","0.312532739386778","4"
"Rarely","1990","Couple + C. LE and GT 16","Urban Area","186","0.276992924910569","0.244596154704495","0.309389695116642","4"
"Rarely","1990","Couple + C. LE and GT 16","Rural Area","55","0.315150618246032","0.242013329332527","0.388287907159537","4"
"Daily","1991","1-pers.-HH","Urban Area","","","","","1"
"Daily","1991","1-pers.-HH","Rural Area","","","","","1"
"Daily","1991","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1991","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1991","Single parent ","Urban Area","","","","","1"
"Daily","1991","Single parent ","Rural Area","","","","","1"
"Daily","1991","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1991","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1991","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1991","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1991","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1991","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1991","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1991","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per week","1991","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1991","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1991","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1991","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1991","Single parent ","Rural Area","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1991","1-pers.-HH","Rural Area","","","","","5"
"Never","1991","1-pers.-HH","Urban Area","","","","","5"
"Never","1991","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1991","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1991","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1991","Single parent ","Urban Area","","","","","5"
"Never","1991","Single parent ","Rural Area","","","","","5"
"Never","1991","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1991","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1991","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1991","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1991","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1991","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1991","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1991","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1991","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1991","Single parent ","Urban Area","","","","","4"
"Rarely","1991","Single parent ","Rural Area","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","Rural Area","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Daily","1992","1-pers.-HH","Urban Area","","","","","1"
"Daily","1992","1-pers.-HH","Rural Area","","","","","1"
"Daily","1992","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1992","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1992","Single parent ","Urban Area","","","","","1"
"Daily","1992","Single parent ","Rural Area","","","","","1"
"Daily","1992","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1992","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1992","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1992","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1992","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1992","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1992","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1992","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1992","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1992","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per week","1992","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1992","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1992","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1992","Single parent ","Rural Area","","","","","2"
