"pli0081","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","Full Time","","","",""
"Daily","1990","Not Employed","Part Time","","","",""
"Daily","1990","Not Employed","Not Working","299","0.0859702072803534","0.0764492605109078","0.095491154049799"
"Daily","1990","Employed","Full Time","271","0.0492285750904259","0.0428520302953102","0.0556051198855415"
"Daily","1990","Employed","Part Time","144","0.07066674150276","0.058566369412148","0.082767113593372"
"Daily","1990","Employed","Not Working","","","",""
"Min 1x per week","1990","Not Employed","Full Time","","","",""
"Min 1x per week","1990","Not Employed","Part Time","","","",""
"Min 1x per week","1990","Not Employed","Not Working","1203","0.348938995275583","0.332750310395101","0.365127680156065"
"Min 1x per week","1990","Employed","Full Time","1685","0.360759263124592","0.346605246896048","0.374913279353136"
"Min 1x per week","1990","Employed","Part Time","647","0.359298043934471","0.336643208923793","0.381952878945149"
"Min 1x per week","1990","Employed","Not Working","","","",""
"Min 1x per month","1990","Not Employed","Full Time","","","",""
"Min 1x per month","1990","Not Employed","Part Time","","","",""
"Min 1x per month","1990","Not Employed","Not Working","970","0.306301888887571","0.290645699444164","0.321958078330977"
"Min 1x per month","1990","Employed","Full Time","1277","0.324348837823911","0.310551154945625","0.338146520702197"
"Min 1x per month","1990","Employed","Part Time","496","0.311783430182357","0.289911126355699","0.333655734009014"
"Min 1x per month","1990","Employed","Not Working","","","",""
"Rarely","1990","Not Employed","Full Time","","","",""
"Rarely","1990","Not Employed","Part Time","","","",""
"Rarely","1990","Not Employed","Not Working","710","0.22399865890982","0.20983811551371","0.238159202305929"
"Rarely","1990","Employed","Full Time","1018","0.242372821238985","0.229742672823691","0.255002969654279"
"Rarely","1990","Employed","Part Time","374","0.23110299270546","0.21119890290934","0.251007082501579"
"Rarely","1990","Employed","Not Working","","","",""
"Never","1990","Not Employed","Full Time","","","",""
"Never","1990","Not Employed","Part Time","","","",""
"Never","1990","Not Employed","Not Working","148","0.0347902496466734","0.0285663067842697","0.041014192509077"
"Never","1990","Employed","Full Time","171","0.0232905027220859","0.0188451025839327","0.0277359028602392"
"Never","1990","Employed","Part Time","62","0.0271487916749524","0.0194751075865917","0.0348224757633131"
"Never","1990","Employed","Not Working","","","",""
"Daily","1991","Not Employed","Full Time","","","",""
"Daily","1991","Not Employed","Part Time","","","",""
"Daily","1991","Not Employed","Not Working","","","",""
