"pli0081","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","1-pers.-HH","60","0.112901278928287","0.0851617873925883","0.140640770463986","1"
"Daily","1990","Not Employed","(Married) couple without C. ","79","0.082728081470505","0.0652202096634061","0.100235953277604","1"
"Daily","1990","Not Employed","Single parent ","18","","","","1"
"Daily","1990","Not Employed","Couple + C. LE 16 ","59","0.0995270365387873","0.0737715186264699","0.125282554451105","1"
"Daily","1990","Not Employed","Couple + C. GT 16 ","41","0.0291871487014125","0.01633520017545","0.0420390972273751","1"
"Daily","1990","Not Employed","Couple + C. LE and GT 16","16","","","","1"
"Daily","1990","Employed","1-pers.-HH","34","0.0501740088218958","0.031641000865827","0.0687070167779647","1"
"Daily","1990","Employed","(Married) couple without C. ","105","0.0703342646125606","0.0567190236726213","0.0839495055524999","1"
"Daily","1990","Employed","Single parent ","27","","","","1"
"Daily","1990","Employed","Couple + C. LE 16 ","114","0.0590428610430638","0.0473762779223001","0.0707094441638275","1"
"Daily","1990","Employed","Couple + C. GT 16 ","83","0.0422876692597044","0.0317195684618291","0.0528557700575796","1"
"Daily","1990","Employed","Couple + C. LE and GT 16","33","0.0433323053985938","0.0270000043163211","0.0596646064808665","1"
"Min 1x per month","1990","Not Employed","(Married) couple without C. ","316","0.330273813831309","0.30038260055164","0.360165027110977","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE 16 ","132","0.285721711365934","0.246855719256677","0.324587703475191","3"
"Min 1x per month","1990","Not Employed","Single parent ","29","","","","3"
"Min 1x per month","1990","Not Employed","1-pers.-HH","132","0.266516686036859","0.227762340215487","0.305271031858231","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE and GT 16","83","0.353624577212787","0.298693864418809","0.408555290006766","3"
"Min 1x per month","1990","Not Employed","Couple + C. GT 16 ","202","0.352982511244919","0.316495357400659","0.38946966508918","3"
"Min 1x per month","1990","Employed","Single parent ","97","0.34830442268066","0.294923108771565","0.401685736589755","3"
"Min 1x per month","1990","Employed","1-pers.-HH","133","0.278182916857085","0.24014092109069","0.316224912623481","3"
"Min 1x per month","1990","Employed","(Married) couple without C. ","406","0.324311880405489","0.299387003966574","0.349236756844404","3"
"Min 1x per month","1990","Employed","Couple + C. LE 16 ","439","0.321721351810573","0.298599688266167","0.34484301535498","3"
