"pli0081","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","West Germany","271","0.0492285750904259","0.0428520302953102","0.0556051198855415","1"
"Daily","1990","Full Time","East Germany","","","","","1"
"Daily","1990","Part Time","West Germany","144","0.07066674150276","0.058566369412148","0.082767113593372","1"
"Daily","1990","Part Time","East Germany","","","","","1"
"Daily","1990","Not Working","West Germany","299","0.0859702072803534","0.0764492605109078","0.095491154049799","1"
"Daily","1990","Not Working","East Germany","","","","","1"
"Min 1x per month","1990","Full Time","East Germany","","","","","3"
"Min 1x per month","1990","Full Time","West Germany","1277","0.324348837823911","0.310551154945625","0.338146520702197","3"
"Min 1x per month","1990","Part Time","West Germany","496","0.311783430182357","0.289911126355699","0.333655734009014","3"
"Min 1x per month","1990","Part Time","East Germany","","","","","3"
"Min 1x per month","1990","Not Working","West Germany","970","0.306301888887571","0.290645699444164","0.321958078330977","3"
"Min 1x per month","1990","Not Working","East Germany","","","","","3"
"Min 1x per week","1990","Full Time","East Germany","","","","","2"
"Min 1x per week","1990","Full Time","West Germany","1685","0.360759263124592","0.346605246896048","0.374913279353136","2"
"Min 1x per week","1990","Part Time","West Germany","647","0.359298043934471","0.336643208923793","0.381952878945149","2"
"Min 1x per week","1990","Part Time","East Germany","","","","","2"
"Min 1x per week","1990","Not Working","West Germany","1203","0.348938995275583","0.332750310395101","0.365127680156065","2"
"Min 1x per week","1990","Not Working","East Germany","","","","","2"
"Never","1990","Full Time","West Germany","171","0.0232905027220859","0.0188451025839327","0.0277359028602392","5"
"Never","1990","Full Time","East Germany","","","","","5"
"Never","1990","Part Time","West Germany","62","0.0271487916749524","0.0194751075865917","0.0348224757633131","5"
"Never","1990","Part Time","East Germany","","","","","5"
"Never","1990","Not Working","West Germany","148","0.0347902496466734","0.0285663067842697","0.041014192509077","5"
"Never","1990","Not Working","East Germany","","","","","5"
"Rarely","1990","Full Time","East Germany","","","","","4"
"Rarely","1990","Part Time","West Germany","374","0.23110299270546","0.21119890290934","0.251007082501579","4"
"Rarely","1990","Full Time","West Germany","1018","0.242372821238985","0.229742672823691","0.255002969654279","4"
"Rarely","1990","Not Working","West Germany","710","0.22399865890982","0.20983811551371","0.238159202305929","4"
"Rarely","1990","Part Time","East Germany","","","","","4"
"Rarely","1990","Not Working","East Germany","","","","","4"
"Daily","1991","Full Time","West Germany","","","","","1"
"Daily","1991","Full Time","East Germany","","","","","1"
"Daily","1991","Part Time","West Germany","","","","","1"
"Daily","1991","Part Time","East Germany","","","","","1"
"Daily","1991","Not Working","West Germany","","","","","1"
"Daily","1991","Not Working","East Germany","","","","","1"
"Min 1x per month","1991","Full Time","East Germany","","","","","3"
"Min 1x per month","1991","Full Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","East Germany","","","","","3"
"Min 1x per month","1991","Not Working","West Germany","","","","","3"
"Min 1x per month","1991","Not Working","East Germany","","","","","3"
"Min 1x per week","1991","Full Time","West Germany","","","","","2"
"Min 1x per week","1991","Full Time","East Germany","","","","","2"
"Min 1x per week","1991","Part Time","West Germany","","","","","2"
"Min 1x per week","1991","Part Time","East Germany","","","","","2"
"Min 1x per week","1991","Not Working","West Germany","","","","","2"
"Min 1x per week","1991","Not Working","East Germany","","","","","2"
"Never","1991","Full Time","West Germany","","","","","5"
"Never","1991","Full Time","East Germany","","","","","5"
"Never","1991","Part Time","West Germany","","","","","5"
"Never","1991","Part Time","East Germany","","","","","5"
"Never","1991","Not Working","West Germany","","","","","5"
"Never","1991","Not Working","East Germany","","","","","5"
"Rarely","1991","Full Time","East Germany","","","","","4"
"Rarely","1991","Full Time","West Germany","","","","","4"
"Rarely","1991","Part Time","West Germany","","","","","4"
"Rarely","1991","Part Time","East Germany","","","","","4"
"Rarely","1991","Not Working","West Germany","","","","","4"
"Rarely","1991","Not Working","East Germany","","","","","4"
"Daily","1992","Full Time","West Germany","","","","","1"
"Daily","1992","Full Time","East Germany","","","","","1"
"Daily","1992","Part Time","West Germany","","","","","1"
"Daily","1992","Part Time","East Germany","","","","","1"
"Daily","1992","Not Working","West Germany","","","","","1"
"Daily","1992","Not Working","East Germany","","","","","1"
"Min 1x per month","1992","Full Time","East Germany","","","","","3"
"Min 1x per month","1992","Full Time","West Germany","","","","","3"
"Min 1x per month","1992","Part Time","West Germany","","","","","3"
"Min 1x per month","1992","Part Time","East Germany","","","","","3"
"Min 1x per month","1992","Not Working","West Germany","","","","","3"
"Min 1x per month","1992","Not Working","East Germany","","","","","3"
"Min 1x per week","1992","Full Time","West Germany","","","","","2"
"Min 1x per week","1992","Part Time","West Germany","","","","","2"
"Min 1x per week","1992","Full Time","East Germany","","","","","2"
"Min 1x per week","1992","Not Working","West Germany","","","","","2"
"Min 1x per week","1992","Part Time","East Germany","","","","","2"
"Min 1x per week","1992","Not Working","East Germany","","","","","2"
"Never","1992","Full Time","West Germany","","","","","5"
"Never","1992","Full Time","East Germany","","","","","5"
"Never","1992","Part Time","West Germany","","","","","5"
"Never","1992","Part Time","East Germany","","","","","5"
"Never","1992","Not Working","West Germany","","","","","5"
"Never","1992","Not Working","East Germany","","","","","5"
"Rarely","1992","Full Time","West Germany","","","","","4"
"Rarely","1992","Full Time","East Germany","","","","","4"
"Rarely","1992","Part Time","West Germany","","","","","4"
"Rarely","1992","Part Time","East Germany","","","","","4"
"Rarely","1992","Not Working","West Germany","","","","","4"
"Rarely","1992","Not Working","East Germany","","","","","4"
"Daily","1993","Full Time","West Germany","","","","","1"
"Daily","1993","Full Time","East Germany","","","","","1"
"Daily","1993","Part Time","West Germany","","","","","1"
"Daily","1993","Part Time","East Germany","","","","","1"
"Daily","1993","Not Working","West Germany","","","","","1"
"Daily","1993","Not Working","East Germany","","","","","1"
"Min 1x per month","1993","Full Time","West Germany","","","","","3"
"Min 1x per month","1993","Full Time","East Germany","","","","","3"
"Min 1x per month","1993","Part Time","West Germany","","","","","3"
