"pli0081","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Urban Area","13","","",""
"Daily","1990","Schleswig-Holstein","Rural Area","13","","",""
"Daily","1990","Hamburg","Urban Area","5","","",""
"Daily","1990","Hamburg","Rural Area","","","",""
"Daily","1990","Lower Saxony","Urban Area","40","0.0755081793579857","0.0530569146277594","0.097959444088212"
"Daily","1990","Lower Saxony","Rural Area","21","","",""
"Daily","1990","Bremen","Urban Area","4","","",""
"Daily","1990","Bremen","Rural Area","","","",""
"Daily","1990","North Rhine-Westphalia","Urban Area","160","0.0593398521223389","0.0500712251690289","0.0686084790756489"
"Daily","1990","North Rhine-Westphalia","Rural Area","6","","",""
"Daily","1990","Hesse","Urban Area","72","0.0616680193322694","0.0455061507844549","0.0778298878800839"
"Daily","1990","Hesse","Rural Area","14","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Urban Area","70","0.128813994446413","0.101043784945088","0.156584203947737"
"Daily","1990","Rhineland-Palatinate,Saarland","Rural Area","4","","",""
"Daily","1990","Baden-Württemberg","Urban Area","148","0.0912435693215821","0.076954278562663","0.105532860080501"
"Daily","1990","Baden-Württemberg","Rural Area","21","","",""
"Daily","1990","Bavaria","Urban Area","49","0.0523074513844077","0.0371696399141028","0.0674452628547127"
"Daily","1990","Bavaria","Rural Area","42","0.0608241315912423","0.0438984905048579","0.0777497726776266"
"Daily","1990","Berlin","Urban Area","32","0.0518373741319424","0.027917767441543","0.0757569808223419"
"Daily","1990","Berlin","Rural Area","","","",""
"Daily","1990","Brandenburg","Urban Area","","","",""
"Daily","1990","Brandenburg","Rural Area","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Daily","1990","Saxony","Urban Area","","","",""
"Daily","1990","Saxony","Rural Area","","","",""
"Daily","1990","Saxony-Anhalt","Urban Area","","","",""
"Daily","1990","Saxony-Anhalt","Rural Area","","","",""
"Daily","1990","Thuringia","Urban Area","","","",""
"Daily","1990","Thuringia","Rural Area","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Urban Area","40","0.2848691085148","0.209564076865967","0.360174140163633"
"Min 1x per week","1990","Schleswig-Holstein","Rural Area","43","0.321886991411281","0.245842660924179","0.397931321898384"
"Min 1x per week","1990","Hamburg","Urban Area","63","0.349727282120636","0.277399961202553","0.422054603038718"
"Min 1x per week","1990","Hamburg","Rural Area","","","",""
"Min 1x per week","1990","Lower Saxony","Urban Area","207","0.369812379087828","0.328790275106798","0.410834483068858"
"Min 1x per week","1990","Lower Saxony","Rural Area","126","0.262862187472175","0.221963771372231","0.30376060357212"
"Min 1x per week","1990","Bremen","Urban Area","30","0.33077894840846","0.239916757022873","0.421641139794046"
"Min 1x per week","1990","Bremen","Rural Area","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Urban Area","981","0.385313549662666","0.366221183222697","0.404405916102634"
"Min 1x per week","1990","North Rhine-Westphalia","Rural Area","27","","",""
"Min 1x per week","1990","Hesse","Urban Area","298","0.343883680292635","0.311969807174662","0.375797553410608"
"Min 1x per week","1990","Hesse","Rural Area","38","0.266909582583067","0.192013940866888","0.341805224299247"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Urban Area","239","0.395883077729741","0.355342852549842","0.43642330290964"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Rural Area","38","0.356402544660617","0.267305323548175","0.445499765773059"
"Min 1x per week","1990","Baden-Württemberg","Urban Area","642","0.373106927504868","0.349107593855393","0.397106261154344"
"Min 1x per week","1990","Baden-Württemberg","Rural Area","83","0.346089932769532","0.285395957333224","0.406783908205839"
"Min 1x per week","1990","Bavaria","Urban Area","299","0.350717880423077","0.318273218390962","0.383162542455193"
"Min 1x per week","1990","Bavaria","Rural Area","273","0.334928971816337","0.30150607570132","0.368351867931355"
"Min 1x per week","1990","Berlin","Urban Area","108","0.319024480888133","0.268735958377865","0.369313003398401"
"Min 1x per week","1990","Berlin","Rural Area","","","",""
"Min 1x per week","1990","Brandenburg","Urban Area","","","",""
"Min 1x per week","1990","Brandenburg","Rural Area","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per week","1990","Saxony","Urban Area","","","",""
"Min 1x per week","1990","Saxony","Rural Area","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per week","1990","Thuringia","Urban Area","","","",""
"Min 1x per week","1990","Thuringia","Rural Area","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Urban Area","57","0.439565995892036","0.356755987011289","0.522376004772784"
"Min 1x per month","1990","Schleswig-Holstein","Rural Area","51","0.367945425382472","0.289452035866918","0.446438814898027"
"Min 1x per month","1990","Hamburg","Urban Area","41","0.286255305255732","0.217700472735567","0.354810137775898"
"Min 1x per month","1990","Hamburg","Rural Area","","","",""
"Min 1x per month","1990","Lower Saxony","Urban Area","163","0.322867258216526","0.283135188877428","0.362599327555625"
"Min 1x per month","1990","Lower Saxony","Rural Area","162","0.36263406756957","0.317966036510066","0.407302098629073"
"Min 1x per month","1990","Bremen","Urban Area","33","0.339497211547362","0.248046958367088","0.430947464727637"
"Min 1x per month","1990","Bremen","Rural Area","","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Urban Area","722","0.31992463479963","0.301625600817371","0.338223668781889"
"Min 1x per month","1990","North Rhine-Westphalia","Rural Area","26","","",""
"Min 1x per month","1990","Hesse","Urban Area","231","0.302778906539887","0.271909279824261","0.333648533255512"
"Min 1x per month","1990","Hesse","Rural Area","38","0.301587467634511","0.223880788563401","0.379294146705622"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Urban Area","136","0.250849923168123","0.214913604358641","0.286786241977606"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Rural Area","34","0.327996054313967","0.240657334311835","0.4153347743161"
"Min 1x per month","1990","Baden-Württemberg","Urban Area","390","0.288668428385208","0.266181948324742","0.311154908445675"
"Min 1x per month","1990","Baden-Württemberg","Rural Area","72","0.320400869157549","0.260866831246248","0.379934907068849"
"Min 1x per month","1990","Bavaria","Urban Area","247","0.296130104757306","0.265089151159253","0.32717105835536"
"Min 1x per month","1990","Bavaria","Rural Area","245","0.340047808328506","0.306500325908351","0.373595290748662"
"Min 1x per month","1990","Berlin","Urban Area","95","0.324520620059987","0.274005857303362","0.375035382816612"
"Min 1x per month","1990","Berlin","Rural Area","","","",""
"Min 1x per month","1990","Brandenburg","Urban Area","","","",""
"Min 1x per month","1990","Brandenburg","Rural Area","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Min 1x per month","1990","Saxony","Urban Area","","","",""
"Min 1x per month","1990","Saxony","Rural Area","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Urban Area","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Rural Area","","","",""
"Min 1x per month","1990","Thuringia","Urban Area","","","",""
"Min 1x per month","1990","Thuringia","Rural Area","","","",""
"Rarely","1990","Schleswig-Holstein","Urban Area","27","","",""
"Rarely","1990","Schleswig-Holstein","Rural Area","35","0.226047350376451","0.15796712324364","0.294127577509262"
"Rarely","1990","Hamburg","Urban Area","45","0.285146906124566","0.216671819880726","0.353621992368405"
