"pli0081","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","West Germany","Male","271","0.048517661281171","0.0423586985202858","0.0546766240420563"
"Daily","1990","West Germany","Female","443","0.0850823357971341","0.0771894070778615","0.0929752645164066"
"Daily","1990","East Germany","Male","","","",""
"Daily","1990","East Germany","Female","","","",""
"Min 1x per week","1990","West Germany","Male","1680","0.337885635870295","0.324327229291968","0.351444042448621"
"Min 1x per week","1990","West Germany","Female","1855","0.372215379101545","0.358540296283665","0.385890461919424"
"Min 1x per week","1990","East Germany","Male","","","",""
"Min 1x per week","1990","East Germany","Female","","","",""
"Min 1x per month","1990","West Germany","Male","1378","0.324291105998905","0.310872585930606","0.337709626067203"
"Min 1x per month","1990","West Germany","Female","1365","0.306434391706753","0.293392517712954","0.319476265700551"
"Min 1x per month","1990","East Germany","Male","","","",""
"Min 1x per month","1990","East Germany","Female","","","",""
"Rarely","1990","West Germany","Male","1137","0.259227992753434","0.246666521372027","0.27178946413484"
"Rarely","1990","West Germany","Female","965","0.20913106607539","0.197626002941613","0.220636129209168"
"Rarely","1990","East Germany","Male","","","",""
"Rarely","1990","East Germany","Female","","","",""
"Never","1990","West Germany","Male","209","0.0300776040961962","0.0251815365983462","0.0349736715940462"
"Never","1990","West Germany","Female","172","0.0271368273191782","0.0225402677819566","0.0317333868563997"
"Never","1990","East Germany","Male","","","",""
"Never","1990","East Germany","Female","","","",""
"Daily","1991","West Germany","Male","","","",""
"Daily","1991","West Germany","Female","","","",""
"Daily","1991","East Germany","Male","","","",""
"Daily","1991","East Germany","Female","","","",""
"Min 1x per week","1991","West Germany","Male","","","",""
"Min 1x per week","1991","West Germany","Female","","","",""
"Min 1x per week","1991","East Germany","Male","","","",""
"Min 1x per week","1991","East Germany","Female","","","",""
"Min 1x per month","1991","West Germany","Male","","","",""
"Min 1x per month","1991","West Germany","Female","","","",""
"Min 1x per month","1991","East Germany","Male","","","",""
"Min 1x per month","1991","East Germany","Female","","","",""
"Rarely","1991","West Germany","Male","","","",""
"Rarely","1991","West Germany","Female","","","",""
"Rarely","1991","East Germany","Male","","","",""
"Rarely","1991","East Germany","Female","","","",""
"Never","1991","West Germany","Male","","","",""
"Never","1991","West Germany","Female","","","",""
"Never","1991","East Germany","Male","","","",""
"Never","1991","East Germany","Female","","","",""
"Daily","1992","West Germany","Male","","","",""
"Daily","1992","West Germany","Female","","","",""
"Daily","1992","East Germany","Male","","","",""
"Daily","1992","East Germany","Female","","","",""
"Min 1x per week","1992","West Germany","Male","","","",""
"Min 1x per week","1992","West Germany","Female","","","",""
"Min 1x per week","1992","East Germany","Male","","","",""
"Min 1x per week","1992","East Germany","Female","","","",""
"Min 1x per month","1992","West Germany","Male","","","",""
"Min 1x per month","1992","West Germany","Female","","","",""
"Min 1x per month","1992","East Germany","Male","","","",""
"Min 1x per month","1992","East Germany","Female","","","",""
"Rarely","1992","West Germany","Male","","","",""
"Rarely","1992","West Germany","Female","","","",""
"Rarely","1992","East Germany","Male","","","",""
"Rarely","1992","East Germany","Female","","","",""
"Never","1992","West Germany","Male","","","",""
"Never","1992","West Germany","Female","","","",""
"Never","1992","East Germany","Male","","","",""
"Never","1992","East Germany","Female","","","",""
"Daily","1993","West Germany","Male","","","",""
"Daily","1993","West Germany","Female","","","",""
"Daily","1993","East Germany","Male","","","",""
"Daily","1993","East Germany","Female","","","",""
"Min 1x per week","1993","West Germany","Male","","","",""
"Min 1x per week","1993","West Germany","Female","","","",""
"Min 1x per week","1993","East Germany","Male","","","",""
"Min 1x per week","1993","East Germany","Female","","","",""
"Min 1x per month","1993","West Germany","Male","","","",""
"Min 1x per month","1993","West Germany","Female","","","",""
"Min 1x per month","1993","East Germany","Male","","","",""
"Min 1x per month","1993","East Germany","Female","","","",""
"Rarely","1993","West Germany","Male","","","",""
"Rarely","1993","West Germany","Female","","","",""
"Rarely","1993","East Germany","Male","","","",""
"Rarely","1993","East Germany","Female","","","",""
"Never","1993","West Germany","Male","","","",""
"Never","1993","West Germany","Female","","","",""
"Never","1993","East Germany","Male","","","",""
"Never","1993","East Germany","Female","","","",""
"Daily","1994","West Germany","Male","","","",""
"Daily","1994","West Germany","Female","","","",""
"Daily","1994","East Germany","Male","","","",""
"Daily","1994","East Germany","Female","","","",""
"Min 1x per week","1994","West Germany","Male","","","",""
"Min 1x per week","1994","West Germany","Female","","","",""
"Min 1x per week","1994","East Germany","Male","","","",""
"Min 1x per week","1994","East Germany","Female","","","",""
"Min 1x per month","1994","West Germany","Male","","","",""
"Min 1x per month","1994","West Germany","Female","","","",""
"Min 1x per month","1994","East Germany","Male","","","",""
"Min 1x per month","1994","East Germany","Female","","","",""
"Rarely","1994","West Germany","Male","","","",""
"Rarely","1994","West Germany","Female","","","",""
"Rarely","1994","East Germany","Male","","","",""
"Rarely","1994","East Germany","Female","","","",""
"Never","1994","West Germany","Male","","","",""
"Never","1994","West Germany","Female","","","",""
"Never","1994","East Germany","Male","","","",""
"Never","1994","East Germany","Female","","","",""
"Daily","1995","West Germany","Male","349","0.0615875025628719","0.0546821669127015","0.0684928382130423"
"Daily","1995","West Germany","Female","485","0.0894535953250968","0.0815062875534512","0.0974009030967424"
"Daily","1995","East Germany","Male","101","0.0611779462058956","0.0499366844789057","0.0724192079328855"
"Daily","1995","East Germany","Female","154","0.08646681585253","0.0739539121674197","0.0989797195376404"
"Min 1x per week","1995","West Germany","Male","1787","0.345850728776721","0.332188410962317","0.359513046591125"
"Min 1x per week","1995","West Germany","Female","2092","0.397927366861624","0.384297348606926","0.411557385116321"
"Min 1x per week","1995","East Germany","Male","691","0.410614745948686","0.387539684026521","0.433689807870852"
"Min 1x per week","1995","East Germany","Female","795","0.432573872580567","0.410516386616032","0.454631358545101"
"Min 1x per month","1995","West Germany","Male","1347","0.316196792190954","0.302840500290386","0.329553084091522"
"Min 1x per month","1995","West Germany","Female","1301","0.275621841315032","0.263179286052591","0.288064396577472"
"Min 1x per month","1995","East Germany","Male","579","0.315614297631981","0.293814384159322","0.337414211104641"
"Min 1x per month","1995","East Germany","Female","621","0.289269864249034","0.269082707011268","0.309457021486799"
"Rarely","1995","West Germany","Male","1000","0.239577463370638","0.227317418034816","0.25183750870646"
"Rarely","1995","West Germany","Female","912","0.208066807749798","0.196763234190035","0.219370381309561"
"Rarely","1995","East Germany","Male","347","0.193775074617663","0.175235360283772","0.212314788951553"
"Rarely","1995","East Germany","Female","326","0.164015752531887","0.147529838449722","0.180501666614052"
"Never","1995","West Germany","Male","173","0.0367875130988152","0.0313805566424561","0.0421944695551743"
"Never","1995","West Germany","Female","164","0.0289303887484498","0.0242630168574211","0.0335977606394786"
"Never","1995","East Germany","Male","28","","",""
"Never","1995","East Germany","Female","42","0.0276736947859826","0.0203705351176316","0.0349768544543336"
"Daily","1996","West Germany","Male","","","",""
"Daily","1996","West Germany","Female","","","",""
"Daily","1996","East Germany","Male","","","",""
"Daily","1996","East Germany","Female","","","",""
"Min 1x per week","1996","West Germany","Male","","","",""
"Min 1x per week","1996","West Germany","Female","","","",""
"Min 1x per week","1996","East Germany","Male","","","",""
"Min 1x per week","1996","East Germany","Female","","","",""
"Min 1x per month","1996","West Germany","Male","","","",""
"Min 1x per month","1996","West Germany","Female","","","",""
"Min 1x per month","1996","East Germany","Male","","","",""
"Min 1x per month","1996","East Germany","Female","","","",""
"Rarely","1996","West Germany","Male","","","",""
"Rarely","1996","West Germany","Female","","","",""
"Rarely","1996","East Germany","Male","","","",""
"Rarely","1996","East Germany","Female","","","",""
"Never","1996","West Germany","Male","","","",""
"Never","1996","West Germany","Female","","","",""
"Never","1996","East Germany","Male","","","",""
"Never","1996","East Germany","Female","","","",""
"Daily","1997","West Germany","Male","","","",""
"Daily","1997","West Germany","Female","","","",""
"Daily","1997","East Germany","Male","","","",""
"Daily","1997","East Germany","Female","","","",""
"Min 1x per week","1997","West Germany","Male","","","",""
"Min 1x per week","1997","West Germany","Female","","","",""
"Min 1x per week","1997","East Germany","Male","","","",""
"Min 1x per week","1997","East Germany","Female","","","",""
"Min 1x per month","1997","West Germany","Male","","","",""
"Min 1x per month","1997","West Germany","Female","","","",""
"Min 1x per month","1997","East Germany","Male","","","",""
"Min 1x per month","1997","East Germany","Female","","","",""
"Rarely","1997","West Germany","Male","","","",""
"Rarely","1997","West Germany","Female","","","",""
"Rarely","1997","East Germany","Male","","","",""
"Rarely","1997","East Germany","Female","","","",""
"Never","1997","West Germany","Male","","","",""
"Never","1997","West Germany","Female","","","",""
"Never","1997","East Germany","Male","","","",""
"Never","1997","East Germany","Female","","","",""
"Daily","1998","West Germany","Male","417","0.0697222524809592","0.062671514418441","0.0767729905434774"
"Daily","1998","West Germany","Female","580","0.0962373359130131","0.0883376849730074","0.104136986853019"
"Daily","1998","East Germany","Male","114","0.0567832705065611","0.0462996541995523","0.06726688681357"
"Daily","1998","East Germany","Female","167","0.0865532563849573","0.0742425618772536","0.098863950892661"
"Min 1x per week","1998","West Germany","Male","2019","0.370372059535972","0.357002913595118","0.383741205476827"
"Min 1x per week","1998","West Germany","Female","2345","0.416600601607252","0.403395193043264","0.429806010171241"
"Min 1x per week","1998","East Germany","Male","692","0.382642627818742","0.360625525365413","0.404659730272071"
"Min 1x per week","1998","East Germany","Female","813","0.411762894035616","0.390215287114271","0.43331050095696"
"Min 1x per month","1998","West Germany","Male","1440","0.306396446327386","0.293633819331563","0.319159073323209"
"Min 1x per month","1998","West Germany","Female","1344","0.261124741911048","0.249359022652339","0.272890461169757"
"Min 1x per month","1998","East Germany","Male","716","0.375643262940259","0.353705144738756","0.397581381141761"
"Min 1x per month","1998","East Germany","Female","687","0.322536457092997","0.302070521526629","0.343002392659365"
"Rarely","1998","West Germany","Male","1022","0.22817431114321","0.216556199419171","0.23979242286725"
"Rarely","1998","West Germany","Female","989","0.205593579840613","0.194768401632975","0.216418758048251"
"Rarely","1998","East Germany","Male","333","0.168066420508337","0.1511277246101","0.185005116406573"
