"pli0081","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","12","","",""
"Daily","1990","(1a) inadequately completed","84","0.117426883737582","0.0933188427940681","0.141534924681096"
"Daily","1990","(1b) general elementary school","224","0.104783503212293","0.0918011106881553","0.11776589573643"
"Daily","1990","(1c) basic vocational qualification","237","0.0678687473653114","0.0591812715890786","0.0765562231415442"
"Daily","1990","(2b) intermediate general qualification","24","","",""
"Daily","1990","(2a) intermediate vocational","73","0.0523824449742504","0.0401048794726112","0.0646600104758895"
"Daily","1990","(2c_gen) general maturity certificate","11","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","14","","",""
"Daily","1990","(3a) lower tertiary education","7","","",""
"Daily","1990","(3b) higher tertiary education","14","","",""
"Min 1x per week","1990","(0) in school","39","0.198485097620034","0.136874573070969","0.260095622169098"
"Min 1x per week","1990","(1a) inadequately completed","286","0.363450714426006","0.327430890442818","0.399470538409194"
"Min 1x per week","1990","(1b) general elementary school","839","0.364236485239964","0.343838664803793","0.384634305676136"
"Min 1x per week","1990","(1c) basic vocational qualification","1213","0.366408708521273","0.349766626872135","0.383050790170411"
"Min 1x per week","1990","(2b) intermediate general qualification","122","0.32570881403367","0.277231409058084","0.374186219009255"
"Min 1x per week","1990","(2a) intermediate vocational","476","0.366388657100346","0.339837386434608","0.392939927766085"
"Min 1x per week","1990","(2c_gen) general maturity certificate","116","0.334735137928315","0.284722129136107","0.384748146720523"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","143","0.337101991680578","0.291455910393829","0.382748072967327"
"Min 1x per week","1990","(3a) lower tertiary education","82","0.385951587163761","0.323841832790953","0.44806134153657"
"Min 1x per week","1990","(3b) higher tertiary education","134","0.289169404422349","0.247827894944129","0.330510913900569"
"Min 1x per month","1990","(0) in school","55","0.394317348033024","0.318828871193462","0.469805824872587"
"Min 1x per month","1990","(1a) inadequately completed","126","0.196990880939848","0.167206669585616","0.22677509229408"
"Min 1x per month","1990","(1b) general elementary school","542","0.288481386866436","0.269277184577202","0.30768558915567"
"Min 1x per month","1990","(1c) basic vocational qualification","991","0.319543236587657","0.303437327711834","0.33564914546348"
"Min 1x per month","1990","(2b) intermediate general qualification","115","0.35595964109834","0.306430843078882","0.405488439117798"
"Min 1x per month","1990","(2a) intermediate vocational","424","0.333289178838974","0.307312586015804","0.359265771662144"
"Min 1x per month","1990","(2c_gen) general maturity certificate","93","0.277397238007963","0.229947271208109","0.324847204807818"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","133","0.353788935436034","0.307619049550153","0.399958821321915"
"Min 1x per month","1990","(3a) lower tertiary education","78","0.307680275612571","0.248796551399437","0.366563999825704"
"Min 1x per month","1990","(3b) higher tertiary education","150","0.338266606278162","0.295124813137345","0.381408399418979"
"Rarely","1990","(0) in school","43","0.315284023549484","0.243514284727103","0.387053762371866"
"Rarely","1990","(1a) inadequately completed","121","0.208900191107607","0.178457161944423","0.239343220270792"
"Rarely","1990","(1b) general elementary school","412","0.205405964732806","0.188281247213936","0.222530682251675"
"Rarely","1990","(1c) basic vocational qualification","689","0.224479873482898","0.21006849924299","0.238891247722805"
"Rarely","1990","(2b) intermediate general qualification","83","0.199447470328015","0.158113221457233","0.240781719198797"
"Rarely","1990","(2a) intermediate vocational","276","0.234634695298117","0.211282198054851","0.257987192541383"
"Rarely","1990","(2c_gen) general maturity certificate","101","0.300795038975779","0.252190970606963","0.349399107344596"
"Rarely","1990","(2c_voc) vocational maturity certificate","107","0.25380943623333","0.211787288854035","0.295831583612624"
"Rarely","1990","(3a) lower tertiary education","66","0.26097590409802","0.20494577871384","0.3170060294822"
"Rarely","1990","(3b) higher tertiary education","156","0.322639188047057","0.280011115624472","0.365267260469642"
"Never","1990","(0) in school","12","","",""
"Never","1990","(1a) inadequately completed","68","0.113231329788957","0.0895016826870347","0.136960976890879"
"Never","1990","(1b) general elementary school","121","0.037092659948501","0.0290817752993041","0.0451035445976979"
"Never","1990","(1c) basic vocational qualification","90","0.0216994340428614","0.0166669719644126","0.0267318961213101"
"Never","1990","(2b) intermediate general qualification","15","","",""
"Never","1990","(2a) intermediate vocational","16","","",""
"Never","1990","(2c_gen) general maturity certificate","21","","",""
"Never","1990","(2c_voc) vocational maturity certificate","15","","",""
"Never","1990","(3a) lower tertiary education","3","","",""
"Never","1990","(3b) higher tertiary education","8","","",""
"Daily","1991","(0) in school","","","",""
"Daily","1991","(1a) inadequately completed","","","",""
"Daily","1991","(1b) general elementary school","","","",""
"Daily","1991","(1c) basic vocational qualification","","","",""
"Daily","1991","(2b) intermediate general qualification","","","",""
"Daily","1991","(2a) intermediate vocational","","","",""
"Daily","1991","(2c_gen) general maturity certificate","","","",""
"Daily","1991","(2c_voc) vocational maturity certificate","","","",""
"Daily","1991","(3a) lower tertiary education","","","",""
"Daily","1991","(3b) higher tertiary education","","","",""
"Min 1x per week","1991","(0) in school","","","",""
"Min 1x per week","1991","(1a) inadequately completed","","","",""
"Min 1x per week","1991","(1b) general elementary school","","","",""
"Min 1x per week","1991","(1c) basic vocational qualification","","","",""
"Min 1x per week","1991","(2b) intermediate general qualification","","","",""
"Min 1x per week","1991","(2a) intermediate vocational","","","",""
"Min 1x per week","1991","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1991","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1991","(3a) lower tertiary education","","","",""
