"pli0081","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","20","","",""
"Daily","1990","16-34 y.","(Married) couple without C. ","59","0.0806416979866094","0.059396751360857","0.101886644612362"
"Daily","1990","16-34 y.","Single parent ","27","","",""
"Daily","1990","16-34 y.","Couple + C. LE 16 ","128","0.101806185697034","0.0834632030684604","0.120149168325608"
"Daily","1990","16-34 y.","Couple + C. GT 16 ","48","0.0351051819663039","0.0226959375734792","0.0475144263591286"
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","26","","",""
"Daily","1990","35-65 y.","1-pers.-HH","24","","",""
"Daily","1990","35-65 y.","(Married) couple without C. ","89","0.0750277583402958","0.0599650005365527","0.0900905161440389"
"Daily","1990","35-65 y.","Single parent ","16","","",""
"Daily","1990","35-65 y.","Couple + C. LE 16 ","45","0.0387375190864245","0.0270265500083214","0.0504484881645275"
"Daily","1990","35-65 y.","Couple + C. GT 16 ","71","0.0385837253677084","0.0274034248051769","0.0497640259302398"
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","23","","",""
"Daily","1990","66 and older","1-pers.-HH","50","0.126615725950332","0.0929134835011482","0.160317968399516"
"Daily","1990","66 and older","(Married) couple without C. ","36","0.0751381410336201","0.05203176979071","0.0982445122765302"
"Daily","1990","66 and older","Single parent ","2","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","5","","",""
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","108","0.430262171498932","0.370650779341654","0.489873563656209"
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","308","0.464291266121139","0.425378416840449","0.503204115401829"
"Min 1x per week","1990","16-34 y.","Single parent ","63","0.270164926350923","0.211753413785126","0.32857643891672"
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","539","0.498359226167751","0.468029708227945","0.528688744107557"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","256","0.27709367785644","0.246916817267818","0.307270538445061"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","106","0.242566525920198","0.198103228782118","0.287029823058279"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","119","0.310593938908111","0.264902586064431","0.356285291751791"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","411","0.366480253266495","0.338929433522177","0.394031073010814"
"Min 1x per week","1990","35-65 y.","Single parent ","68","0.292672981052304","0.231281472839768","0.354064489264841"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","372","0.337347067054901","0.308653306595857","0.366040827513946"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","392","0.321019590717731","0.293918294969459","0.348120886466002"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","194","0.327509127871122","0.287554687000091","0.367463568742152"
"Min 1x per week","1990","66 and older","1-pers.-HH","123","0.331162483996027","0.28346525289322","0.378859715098834"
"Min 1x per week","1990","66 and older","(Married) couple without C. ","181","0.363121386287869","0.320969468792167","0.405273303783571"
"Min 1x per week","1990","66 and older","Single parent ","11","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","25","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","16-34 y.","1-pers.-HH","72","0.302240512377329","0.246949522185743","0.357531502568915"
"Min 1x per month","1990","16-34 y.","(Married) couple without C. ","174","0.302475779278494","0.266636574902808","0.33831498365418"
"Min 1x per month","1990","16-34 y.","Single parent ","57","0.299975029254743","0.23969535149377","0.360254707015716"
"Min 1x per month","1990","16-34 y.","Couple + C. LE 16 ","236","0.265783604161151","0.238987357049552","0.29257985127275"
"Min 1x per month","1990","16-34 y.","Couple + C. GT 16 ","256","0.336381723148827","0.304525440115042","0.368238006182612"
"Min 1x per month","1990","16-34 y.","Couple + C. LE and GT 16","94","0.336821179352425","0.287794892370268","0.385847466334581"
"Min 1x per month","1990","35-65 y.","1-pers.-HH","94","0.264024674445393","0.220498162561638","0.307551186329148"
"Min 1x per month","1990","35-65 y.","(Married) couple without C. ","385","0.345667765484947","0.318474725792292","0.372860805177602"
"Min 1x per month","1990","35-65 y.","Single parent ","62","0.321951267500119","0.25890891845272","0.384993616547517"
"Min 1x per month","1990","35-65 y.","Couple + C. LE 16 ","335","0.356235235120644","0.327172400218733","0.385298070022554"
"Min 1x per month","1990","35-65 y.","Couple + C. GT 16 ","355","0.345404332639112","0.317801978788738","0.373006686489486"
"Min 1x per month","1990","35-65 y.","Couple + C. LE and GT 16","152","0.347206871382474","0.306675425269187","0.387738317495762"
"Min 1x per month","1990","66 and older","1-pers.-HH","99","0.262183738524373","0.217608951453604","0.306758525595142"
