"pli0081","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","no migration background","77","0.0844269045315934","0.0658559828011442","0.102997826262043","1"
"Daily","1990","1-pers.-HH","direct migration background","13","","","","1"
"Daily","1990","1-pers.-HH","indirect migration background","4","","","","1"
"Daily","1990","(Married) couple without C. ","no migration background","139","0.0744950402114094","0.062574987065853","0.0864150933569659","1"
"Daily","1990","(Married) couple without C. ","direct migration background","43","0.0913583526587415","0.0636716093016139","0.119045096015869","1"
"Daily","1990","(Married) couple without C. ","indirect migration background","2","","","","1"
"Daily","1990","Single parent ","no migration background","33","0.0912644034333872","0.0616797232360836","0.120849083630691","1"
"Daily","1990","Single parent ","direct migration background","11","","","","1"
"Daily","1990","Single parent ","indirect migration background","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","no migration background","95","0.0643526238223237","0.0513827433596913","0.0773225042849561","1"
"Daily","1990","Couple + C. LE 16 ","direct migration background","75","0.0974283043617446","0.0752052643971088","0.11965134432638","1"
"Daily","1990","Couple + C. LE 16 ","indirect migration background","3","","","","1"
"Daily","1990","Couple + C. GT 16 ","no migration background","53","0.0345996142180986","0.0251104050210039","0.0440888234151933","1"
"Daily","1990","Couple + C. GT 16 ","direct migration background","61","0.0683727951478284","0.0462728102733564","0.0904727800223004","1"
"Daily","1990","Couple + C. GT 16 ","indirect migration background","10","","","","1"
"Daily","1990","Couple + C. LE and GT 16","no migration background","12","","","","1"
"Daily","1990","Couple + C. LE and GT 16","direct migration background","32","0.0610403897415335","0.0381446040990577","0.0839361753840092","1"
"Daily","1990","Couple + C. LE and GT 16","indirect migration background","5","","","","1"
"Min 1x per month","1990","Couple + C. GT 16 ","direct migration background","95","0.257307841498692","0.219028879009251","0.295586803988133","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","direct migration background","74","0.170787733824316","0.134797502116126","0.206777965532506","3"
"Min 1x per month","1990","1-pers.-HH","indirect migration background","2","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","indirect migration background","12","","","","3"
"Min 1x per month","1990","1-pers.-HH","direct migration background","31","0.230081559747041","0.164865978876132","0.295297140617949","3"
"Min 1x per month","1990","1-pers.-HH","no migration background","232","0.274132750498294","0.244336914305356","0.303928586691232","3"
"Min 1x per month","1990","(Married) couple without C. ","no migration background","625","0.333691314411132","0.312285324047819","0.355097304774445","3"
"Min 1x per month","1990","(Married) couple without C. ","direct migration background","91","0.272265421039354","0.229490996543525","0.315039845535183","3"
"Min 1x per month","1990","(Married) couple without C. ","indirect migration background","6","","","","3"
"Min 1x per month","1990","Single parent ","direct migration background","13","","","","3"
"Min 1x per month","1990","Single parent ","indirect migration background","3","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","direct migration background","130","0.237307337002203","0.205424980963991","0.269189693040416","3"
"Min 1x per month","1990","Couple + C. LE 16 ","indirect migration background","6","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","no migration background","512","0.354554370724585","0.329716640097926","0.379392101351243","3"
"Min 1x per month","1990","Couple + C. GT 16 ","indirect migration background","29","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","no migration background","160","0.407861718513637","0.359520134207409","0.456203302819865","3"
"Min 1x per month","1990","Single parent ","no migration background","110","0.328572659220245","0.280320958943787","0.376824359496703","3"
"Min 1x per month","1990","Couple + C. LE 16 ","no migration background","435","0.325295463135323","0.300533073079583","0.350057853191064","3"
"Min 1x per week","1990","Couple + C. GT 16 ","direct migration background","202","0.341820342717551","0.300286663119172","0.383354022315931","2"
"Min 1x per week","1990","(Married) couple without C. ","indirect migration background","16","","","","2"
"Min 1x per week","1990","(Married) couple without C. ","no migration background","738","0.389946603027816","0.367804868848119","0.412088337207513","2"
"Min 1x per week","1990","Couple + C. LE 16 ","no migration background","581","0.416587647101091","0.390529847122977","0.442645447079204","2"
"Min 1x per week","1990","(Married) couple without C. ","direct migration background","146","0.342211864554856","0.296619514874613","0.387804214235098","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","direct migration background","166","0.38431400658441","0.337793312137278","0.430834701031542","2"
"Min 1x per week","1990","Couple + C. GT 16 ","no migration background","422","0.300134664500723","0.276338553865603","0.323930775135843","2"
"Min 1x per week","1990","Single parent ","indirect migration background","3","","","","2"
"Min 1x per week","1990","1-pers.-HH","no migration background","298","0.349221418748125","0.317378448074577","0.381064389421673","2"
"Min 1x per week","1990","1-pers.-HH","direct migration background","49","0.336638369474068","0.263415780411111","0.409860958537025","2"
"Min 1x per week","1990","1-pers.-HH","indirect migration background","3","","","","2"
"Min 1x per week","1990","Single parent ","direct migration background","26","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","direct migration background","311","0.394410158476412","0.357784674101876","0.431035642850948","2"
"Min 1x per week","1990","Couple + C. LE 16 ","indirect migration background","19","","","","2"
"Min 1x per week","1990","Couple + C. GT 16 ","indirect migration background","49","0.326974884499826","0.24506512484476","0.408884644154891","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","no migration background","104","0.262311021039029","0.219039939113693","0.305582102964365","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","indirect migration background","30","0.341209690543844","0.230928055536556","0.451491325551132","2"
"Min 1x per week","1990","Single parent ","no migration background","113","0.291655190204009","0.244961885514935","0.338348494893084","2"
"Never","1990","Couple + C. LE 16 ","no migration background","8","","","","5"
"Never","1990","Single parent ","indirect migration background","3","","","","5"
"Never","1990","1-pers.-HH","no migration background","32","0.0399209800514143","0.026844206527072","0.0529977535757566","5"
"Never","1990","1-pers.-HH","direct migration background","28","","","","5"
"Never","1990","1-pers.-HH","indirect migration background","","","","","5"
"Never","1990","(Married) couple without C. ","no migration background","25","","","","5"
"Never","1990","(Married) couple without C. ","direct migration background","35","0.0447979584797367","0.0249197080256471","0.0646762089338263","5"
"Never","1990","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","1990","Single parent ","no migration background","14","","","","5"
"Never","1990","Single parent ","direct migration background","10","","","","5"
"Never","1990","Couple + C. LE 16 ","direct migration background","62","0.0765384705136511","0.0566148007903761","0.0964621402369262","5"
"Never","1990","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","1990","Couple + C. GT 16 ","no migration background","35","0.0242721016800602","0.0162818821516105","0.0322623212085098","5"
"Never","1990","Couple + C. GT 16 ","direct migration background","34","0.0661715247116222","0.0444045358357718","0.0879385135874725","5"
"Never","1990","Couple + C. GT 16 ","indirect migration background","11","","","","5"
"Never","1990","Couple + C. LE and GT 16","no migration background","8","","","","5"
"Never","1990","Couple + C. LE and GT 16","direct migration background","39","0.0880185808835538","0.0609226783198572","0.11511448344725","5"
"Never","1990","Couple + C. LE and GT 16","indirect migration background","5","","","","5"
"Rarely","1990","1-pers.-HH","no migration background","222","0.252297946170573","0.223286614798067","0.28130927754308","4"
"Rarely","1990","(Married) couple without C. ","direct migration background","101","0.249366403267313","0.207791198619485","0.29094160791514","4"
"Rarely","1990","1-pers.-HH","direct migration background","39","0.235567445023294","0.169814482855711","0.301320407190876","4"
"Rarely","1990","(Married) couple without C. ","indirect migration background","2","","","","4"
"Rarely","1990","(Married) couple without C. ","no migration background","337","0.187547222808399","0.169826578046565","0.205267867570234","4"
"Rarely","1990","Couple + C. LE and GT 16","no migration background","113","0.279882545191678","0.235721187799708","0.324043902583649","4"
"Rarely","1990","Couple + C. LE and GT 16","indirect migration background","19","","","","4"
"Rarely","1990","Couple + C. GT 16 ","indirect migration background","27","","","","4"
"Rarely","1990","Couple + C. LE and GT 16","direct migration background","109","0.295839288966187","0.252188985666409","0.339489592265964","4"
"Rarely","1990","1-pers.-HH","indirect migration background","3","","","","4"
