"pli0081","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","(0) in school","12","","",""
"Daily","1990","16-34 y.","(1a) inadequately completed","27","","",""
"Daily","1990","16-34 y.","(1b) general elementary school","83","0.114132379619771","0.0903898313203285","0.137874927919213"
"Daily","1990","16-34 y.","(1c) basic vocational qualification","103","0.0937097546729936","0.0748988932633441","0.112520616082643"
"Daily","1990","16-34 y.","(2b) intermediate general qualification","18","","",""
"Daily","1990","16-34 y.","(2a) intermediate vocational","45","0.0675575115515408","0.047640185957426","0.0874748371456556"
"Daily","1990","16-34 y.","(2c_gen) general maturity certificate","9","","",""
"Daily","1990","16-34 y.","(2c_voc) vocational maturity certificate","6","","",""
"Daily","1990","16-34 y.","(3a) lower tertiary education","3","","",""
"Daily","1990","16-34 y.","(3b) higher tertiary education","7","","",""
"Daily","1990","35-65 y.","(0) in school","","","",""
"Daily","1990","35-65 y.","(1a) inadequately completed","55","0.116710960513446","0.0887904421362201","0.144631478890673"
"Daily","1990","35-65 y.","(1b) general elementary school","91","0.0761896399873891","0.0604686893194028","0.0919105906553754"
"Daily","1990","35-65 y.","(1c) basic vocational qualification","98","0.052478670795095","0.0424228384784242","0.0625345031117659"
"Daily","1990","35-65 y.","(2b) intermediate general qualification","3","","",""
"Daily","1990","35-65 y.","(2a) intermediate vocational","22","","",""
"Daily","1990","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Daily","1990","35-65 y.","(2c_voc) vocational maturity certificate","5","","",""
"Daily","1990","35-65 y.","(3a) lower tertiary education","3","","",""
"Daily","1990","35-65 y.","(3b) higher tertiary education","4","","",""
"Daily","1990","66 and older","(0) in school","","","",""
"Daily","1990","66 and older","(1a) inadequately completed","2","","",""
"Daily","1990","66 and older","(1b) general elementary school","50","0.147973559885652","0.111037334510319","0.184909785260985"
"Daily","1990","66 and older","(1c) basic vocational qualification","36","0.0852330252711371","0.058171913977377","0.112294136564897"
"Daily","1990","66 and older","(2b) intermediate general qualification","3","","",""
"Daily","1990","66 and older","(2a) intermediate vocational","6","","",""
"Daily","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1990","66 and older","(2c_voc) vocational maturity certificate","3","","",""
"Daily","1990","66 and older","(3a) lower tertiary education","1","","",""
"Daily","1990","66 and older","(3b) higher tertiary education","3","","",""
"Min 1x per week","1990","16-34 y.","(0) in school","39","0.198485097620034","0.136874573070969","0.260095622169098"
"Min 1x per week","1990","16-34 y.","(1a) inadequately completed","65","0.342630275196936","0.268156476119407","0.417104074274465"
"Min 1x per week","1990","16-34 y.","(1b) general elementary school","296","0.379222284917799","0.342993525359679","0.415451044475918"
"Min 1x per week","1990","16-34 y.","(1c) basic vocational qualification","439","0.457539156129486","0.425381753630656","0.489696558628315"
"Min 1x per week","1990","16-34 y.","(2b) intermediate general qualification","85","0.291782261983071","0.23745913084642","0.346105393119722"
"Min 1x per week","1990","16-34 y.","(2a) intermediate vocational","276","0.458927011851285","0.419382801249502","0.498471222453069"
"Min 1x per week","1990","16-34 y.","(2c_gen) general maturity certificate","103","0.349205538438478","0.294338492563438","0.404072584313517"
"Min 1x per week","1990","16-34 y.","(2c_voc) vocational maturity certificate","82","0.375707226956202","0.310514508821735","0.440899945090669"
"Min 1x per week","1990","16-34 y.","(3a) lower tertiary education","26","","",""
"Min 1x per week","1990","16-34 y.","(3b) higher tertiary education","39","0.361621611809606","0.278709206827492","0.44453401679172"
"Min 1x per week","1990","35-65 y.","(0) in school","","","",""
"Min 1x per week","1990","35-65 y.","(1a) inadequately completed","210","0.364051128214521","0.322209504826154","0.405892751602889"
"Min 1x per week","1990","35-65 y.","(1b) general elementary school","414","0.368258285356314","0.339676755523629","0.396839815188999"
"Min 1x per week","1990","35-65 y.","(1c) basic vocational qualification","632","0.33656832638162","0.315259141640332","0.357877511122908"
"Min 1x per week","1990","35-65 y.","(2b) intermediate general qualification","29","","",""
"Min 1x per week","1990","35-65 y.","(2a) intermediate vocational","156","0.288286157822943","0.249465593180136","0.32710672246575"
"Min 1x per week","1990","35-65 y.","(2c_gen) general maturity certificate","11","","",""
"Min 1x per week","1990","35-65 y.","(2c_voc) vocational maturity certificate","49","0.296535804622971","0.225766053546443","0.367305555699499"
"Min 1x per week","1990","35-65 y.","(3a) lower tertiary education","47","0.368501269573944","0.288593352858585","0.448409186289302"
"Min 1x per week","1990","35-65 y.","(3b) higher tertiary education","81","0.247466952778305","0.198470870805","0.29646303475161"
"Min 1x per week","1990","66 and older","(0) in school","","","",""
"Min 1x per week","1990","66 and older","(1a) inadequately completed","11","","",""
"Min 1x per week","1990","66 and older","(1b) general elementary school","129","0.346352060487609","0.296856670495624","0.395847450479594"
"Min 1x per week","1990","66 and older","(1c) basic vocational qualification","142","0.350456101093872","0.304217200075871","0.396695002111873"
"Min 1x per week","1990","66 and older","(2b) intermediate general qualification","8","","",""
"Min 1x per week","1990","66 and older","(2a) intermediate vocational","44","0.347413270567466","0.266185703338922","0.42864083779601"
"Min 1x per week","1990","66 and older","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1990","66 and older","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","66 and older","(3a) lower tertiary education","9","","",""
"Min 1x per week","1990","66 and older","(3b) higher tertiary education","14","","",""
"Min 1x per month","1990","16-34 y.","(0) in school","55","0.394317348033024","0.318828871193462","0.469805824872587"
"Min 1x per month","1990","16-34 y.","(1a) inadequately completed","27","","",""
"Min 1x per month","1990","16-34 y.","(1b) general elementary school","131","0.225902030274273","0.194677457038756","0.25712660350979"
"Min 1x per month","1990","16-34 y.","(1c) basic vocational qualification","228","0.276327119121239","0.247462519742997","0.30519171849948"
"Min 1x per month","1990","16-34 y.","(2b) intermediate general qualification","84","0.365500347638831","0.307952174381447","0.423048520896214"
"Min 1x per month","1990","16-34 y.","(2a) intermediate vocational","182","0.300669672116554","0.264280752060276","0.337058592172832"
