"pli0081","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","lower secondary degree","132","0.0575287300112251","0.0471858480397525","0.0678716119826978"
"Daily","1990","Full Time","secondary school degree","45","0.044686360021954","0.0310352730260189","0.0583374470178891"
"Daily","1990","Full Time","college entrance qualification","13","","",""
"Daily","1990","Full Time","Other degree","45","0.0601144854704416","0.0413435991203259","0.0788853718205574"
"Daily","1990","Full Time","no degree/no degree yet","28","","",""
"Daily","1990","Part Time","lower secondary degree","78","0.0894840369536007","0.0695289610371512","0.10943911287005"
"Daily","1990","Part Time","secondary school degree","23","","",""
"Daily","1990","Part Time","college entrance qualification","8","","",""
"Daily","1990","Part Time","Other degree","13","","",""
"Daily","1990","Part Time","no degree/no degree yet","17","","",""
"Daily","1990","Not Working","lower secondary degree","180","0.0987536451423634","0.0849831817260245","0.112524108558702"
"Daily","1990","Not Working","secondary school degree","30","0.0681855227301184","0.045175955931109","0.0911950895291278"
"Daily","1990","Not Working","college entrance qualification","13","","",""
"Daily","1990","Not Working","Other degree","24","","",""
"Daily","1990","Not Working","no degree/no degree yet","47","0.0816835305631713","0.0557666407740494","0.107600420352293"
"Min 1x per week","1990","Full Time","lower secondary degree","748","0.361519848607027","0.340179333948567","0.382860363265488"
"Min 1x per week","1990","Full Time","secondary school degree","344","0.377966658634767","0.345930507598674","0.410002809670859"
"Min 1x per week","1990","Full Time","college entrance qualification","193","0.342021261194426","0.303871892911662","0.38017062947719"
"Min 1x per week","1990","Full Time","Other degree","234","0.327509208929398","0.290448590359756","0.364569827499041"
"Min 1x per week","1990","Full Time","no degree/no degree yet","129","0.412215690564828","0.355267701058095","0.469163680071561"
"Min 1x per week","1990","Part Time","lower secondary degree","307","0.364959982714734","0.331304177277822","0.398615788151645"
"Min 1x per week","1990","Part Time","secondary school degree","124","0.374087623413169","0.322728885708203","0.425446361118136"
"Min 1x per week","1990","Part Time","college entrance qualification","99","0.337241227625331","0.283015581133371","0.39146687411729"
"Min 1x per week","1990","Part Time","Other degree","55","0.305816264353645","0.228379688033266","0.383252840674024"
"Min 1x per week","1990","Part Time","no degree/no degree yet","39","0.296546808520085","0.215830783796576","0.377262833243593"
"Min 1x per week","1990","Not Working","lower secondary degree","677","0.370913795476844","0.348617033297971","0.393210557655717"
"Min 1x per week","1990","Not Working","secondary school degree","151","0.319038646977992","0.2764905139737","0.361586779982284"
"Min 1x per week","1990","Not Working","college entrance qualification","92","0.30405987553218","0.253421011483545","0.354698739580816"
"Min 1x per week","1990","Not Working","Other degree","101","0.37948913507234","0.319812324938111","0.439165945206568"
"Min 1x per week","1990","Not Working","no degree/no degree yet","155","0.258920260207006","0.217469267824142","0.300371252589871"
"Min 1x per month","1990","Full Time","lower secondary degree","598","0.328828614426142","0.307961296498877","0.349695932353408"
"Min 1x per month","1990","Full Time","secondary school degree","288","0.340215101908459","0.308912190352338","0.37151801346458"
"Min 1x per month","1990","Full Time","college entrance qualification","202","0.333165880831057","0.295261096093521","0.371070665568592"
"Min 1x per month","1990","Full Time","Other degree","114","0.217646993187349","0.1850606633724","0.250233323002299"
"Min 1x per month","1990","Full Time","no degree/no degree yet","54","0.217181569710849","0.169478190191836","0.264884949229861"
"Min 1x per month","1990","Part Time","lower secondary degree","225","0.310010000692504","0.277676995790379","0.34234300559463"
"Min 1x per month","1990","Part Time","secondary school degree","113","0.324525484384619","0.274831961126171","0.374219007643067"
"Min 1x per month","1990","Part Time","college entrance qualification","91","0.327288372978203","0.273469274223392","0.381107471733014"
"Min 1x per month","1990","Part Time","Other degree","37","0.297437151302701","0.220609274075929","0.374265028529473"
"Min 1x per month","1990","Part Time","no degree/no degree yet","23","","",""
"Min 1x per month","1990","Not Working","lower secondary degree","559","0.300797761735406","0.279629317898612","0.3219662055722"
"Min 1x per month","1990","Not Working","secondary school degree","158","0.340738448881623","0.297473412492475","0.38400348527077"
"Min 1x per month","1990","Not Working","college entrance qualification","102","0.327740254924921","0.276068655264191","0.379411854585652"
"Min 1x per month","1990","Not Working","Other degree","35","0.128679097879384","0.0875002394604279","0.16985795629834"
"Min 1x per month","1990","Not Working","no degree/no degree yet","103","0.30577769206877","0.262179184142009","0.34937619999553"
"Rarely","1990","Full Time","lower secondary degree","426","0.236681828754794","0.217801899006836","0.255561758502752"
"Rarely","1990","Full Time","secondary school degree","191","0.224715226318467","0.197137806375459","0.252292646261475"
"Rarely","1990","Full Time","college entrance qualification","177","0.284652881677202","0.248364209543019","0.320941553811385"
"Rarely","1990","Full Time","Other degree","149","0.259886405962135","0.225252720604367","0.294520091319903"
"Rarely","1990","Full Time","no degree/no degree yet","49","0.16603044638979","0.122980153714965","0.209080739064614"
"Rarely","1990","Part Time","lower secondary degree","157","0.212582306478082","0.183979874593223","0.241184738362941"
"Rarely","1990","Part Time","secondary school degree","74","0.218580935007292","0.174715843198937","0.262446026815647"
"Rarely","1990","Part Time","college entrance qualification","88","0.289446483699696","0.237430214379598","0.341462753019795"
"Rarely","1990","Part Time","Other degree","19","","",""
"Rarely","1990","Part Time","no degree/no degree yet","26","","",""
"Rarely","1990","Not Working","lower secondary degree","339","0.20185657384483","0.183329273284412","0.220383874405248"
"Rarely","1990","Not Working","secondary school degree","110","0.24356438440604","0.204382032185639","0.28274673662644"
"Rarely","1990","Not Working","college entrance qualification","97","0.283029606295058","0.233440645772469","0.332618566817648"
"Rarely","1990","Not Working","Other degree","60","0.260895706187759","0.206892746660069","0.31489866571545"
"Rarely","1990","Not Working","no degree/no degree yet","89","0.29035261941555","0.247398618590328","0.333306620240772"
"Never","1990","Full Time","lower secondary degree","43","0.015440978200811","0.00996422213112875","0.0209177342704933"
"Never","1990","Full Time","secondary school degree","12","","",""
"Never","1990","Full Time","college entrance qualification","9","","",""
"Never","1990","Full Time","Other degree","74","0.134842906450675","0.107870526185596","0.161815286715754"
"Never","1990","Full Time","no degree/no degree yet","27","","",""
"Never","1990","Part Time","lower secondary degree","19","","",""
"Never","1990","Part Time","secondary school degree","7","","",""
"Never","1990","Part Time","college entrance qualification","6","","",""
"Never","1990","Part Time","Other degree","12","","",""
"Never","1990","Part Time","no degree/no degree yet","18","","",""
"Never","1990","Not Working","lower secondary degree","48","0.0276782238005565","0.0201059842922675","0.0352504633088455"
"Never","1990","Not Working","secondary school degree","12","","",""
"Never","1990","Not Working","college entrance qualification","13","","",""
"Never","1990","Not Working","Other degree","34","0.135089814108107","0.0930531697380359","0.177126458478179"
"Never","1990","Not Working","no degree/no degree yet","35","0.0632658977455024","0.0402296124705342","0.0863021830204705"
"Daily","1991","Full Time","lower secondary degree","","","",""
"Daily","1991","Full Time","secondary school degree","","","",""
"Daily","1991","Full Time","college entrance qualification","","","",""
"Daily","1991","Full Time","Other degree","","","",""
"Daily","1991","Full Time","no degree/no degree yet","","","",""
"Daily","1991","Part Time","lower secondary degree","","","",""
"Daily","1991","Part Time","secondary school degree","","","",""
"Daily","1991","Part Time","college entrance qualification","","","",""
"Daily","1991","Part Time","Other degree","","","",""
"Daily","1991","Part Time","no degree/no degree yet","","","",""
"Daily","1991","Not Working","lower secondary degree","","","",""
"Daily","1991","Not Working","secondary school degree","","","",""
"Daily","1991","Not Working","college entrance qualification","","","",""
"Daily","1991","Not Working","Other degree","","","",""
"Daily","1991","Not Working","no degree/no degree yet","","","",""
"Min 1x per week","1991","Full Time","lower secondary degree","","","",""
"Min 1x per week","1991","Full Time","secondary school degree","","","",""
"Min 1x per week","1991","Full Time","college entrance qualification","","","",""
"Min 1x per week","1991","Full Time","Other degree","","","",""
"Min 1x per week","1991","Full Time","no degree/no degree yet","","","",""
"Min 1x per week","1991","Part Time","lower secondary degree","","","",""
"Min 1x per week","1991","Part Time","secondary school degree","","","",""
"Min 1x per week","1991","Part Time","college entrance qualification","","","",""
"Min 1x per week","1991","Part Time","Other degree","","","",""
"Min 1x per week","1991","Part Time","no degree/no degree yet","","","",""
"Min 1x per week","1991","Not Working","lower secondary degree","","","",""
"Min 1x per week","1991","Not Working","secondary school degree","","","",""
"Min 1x per week","1991","Not Working","college entrance qualification","","","",""
"Min 1x per week","1991","Not Working","Other degree","","","",""
"Min 1x per week","1991","Not Working","no degree/no degree yet","","","",""
"Min 1x per month","1991","Full Time","lower secondary degree","","","",""
"Min 1x per month","1991","Full Time","secondary school degree","","","",""
"Min 1x per month","1991","Full Time","college entrance qualification","","","",""
"Min 1x per month","1991","Full Time","Other degree","","","",""
"Min 1x per month","1991","Full Time","no degree/no degree yet","","","",""
"Min 1x per month","1991","Part Time","lower secondary degree","","","",""
"Min 1x per month","1991","Part Time","secondary school degree","","","",""
"Min 1x per month","1991","Part Time","college entrance qualification","","","",""
"Min 1x per month","1991","Part Time","Other degree","","","",""
"Min 1x per month","1991","Part Time","no degree/no degree yet","","","",""
"Min 1x per month","1991","Not Working","lower secondary degree","","","",""
"Min 1x per month","1991","Not Working","secondary school degree","","","",""
"Min 1x per month","1991","Not Working","college entrance qualification","","","",""
"Min 1x per month","1991","Not Working","Other degree","","","",""
"Min 1x per month","1991","Not Working","no degree/no degree yet","","","",""
"Rarely","1991","Full Time","lower secondary degree","","","",""
"Rarely","1991","Full Time","secondary school degree","","","",""
"Rarely","1991","Full Time","college entrance qualification","","","",""
"Rarely","1991","Full Time","Other degree","","","",""
"Rarely","1991","Full Time","no degree/no degree yet","","","",""
"Rarely","1991","Part Time","lower secondary degree","","","",""
"Rarely","1991","Part Time","secondary school degree","","","",""
"Rarely","1991","Part Time","college entrance qualification","","","",""
"Rarely","1991","Part Time","Other degree","","","",""
"Rarely","1991","Part Time","no degree/no degree yet","","","",""
"Rarely","1991","Not Working","lower secondary degree","","","",""
"Rarely","1991","Not Working","secondary school degree","","","",""
"Rarely","1991","Not Working","college entrance qualification","","","",""
