"pli0081","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","1-pers.-HH","6","","","","1"
"Daily","1990","Schleswig-Holstein","(Married) couple without C. ","9","","","","1"
"Daily","1990","Schleswig-Holstein","Single parent ","","","","","1"
"Daily","1990","Schleswig-Holstein","Couple + C. LE 16 ","6","","","","1"
"Daily","1990","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Schleswig-Holstein","Couple + C. LE and GT 16","4","","","","1"
"Daily","1990","Hamburg","1-pers.-HH","","","","","1"
"Daily","1990","Hamburg","(Married) couple without C. ","","","","","1"
"Daily","1990","Hamburg","Single parent ","","","","","1"
"Daily","1990","Hamburg","Couple + C. LE 16 ","5","","","","1"
"Daily","1990","Hamburg","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Lower Saxony","1-pers.-HH","11","","","","1"
"Daily","1990","Lower Saxony","(Married) couple without C. ","21","","","","1"
"Daily","1990","Lower Saxony","Single parent ","6","","","","1"
"Daily","1990","Lower Saxony","Couple + C. LE 16 ","11","","","","1"
"Daily","1990","Lower Saxony","Couple + C. GT 16 ","7","","","","1"
"Daily","1990","Lower Saxony","Couple + C. LE and GT 16","1","","","","1"
"Daily","1990","Bremen","1-pers.-HH","1","","","","1"
"Daily","1990","Bremen","(Married) couple without C. ","2","","","","1"
"Daily","1990","Bremen","Single parent ","","","","","1"
"Daily","1990","Bremen","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Bremen","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Bremen","Couple + C. LE and GT 16","1","","","","1"
"Daily","1990","North Rhine-Westphalia","1-pers.-HH","20","","","","1"
"Daily","1990","North Rhine-Westphalia","(Married) couple without C. ","47","0.0756298561679112","0.0545784373772319","0.0966812749585906","1"
"Daily","1990","North Rhine-Westphalia","Single parent ","7","","","","1"
"Daily","1990","North Rhine-Westphalia","Couple + C. LE 16 ","37","0.0563194763409075","0.0374762194617647","0.0751627332200502","1"
"Daily","1990","North Rhine-Westphalia","Couple + C. GT 16 ","34","0.0391211315687828","0.0230916322060819","0.0551506309314837","1"
"Daily","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","11","","","","1"
"Daily","1990","Hesse","1-pers.-HH","10","","","","1"
"Daily","1990","Hesse","(Married) couple without C. ","28","","","","1"
"Daily","1990","Hesse","Single parent ","2","","","","1"
"Daily","1990","Hesse","Couple + C. LE 16 ","22","","","","1"
"Daily","1990","Hesse","Couple + C. GT 16 ","16","","","","1"
"Daily","1990","Hesse","Couple + C. LE and GT 16","7","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","7","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","24","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Single parent ","4","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","14","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","14","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Baden-Württemberg","1-pers.-HH","22","","","","1"
"Daily","1990","Baden-Württemberg","(Married) couple without C. ","27","","","","1"
"Daily","1990","Baden-Württemberg","Single parent ","13","","","","1"
"Daily","1990","Baden-Württemberg","Couple + C. LE 16 ","49","0.088981559530649","0.0624983756203795","0.115464743440919","1"
"Daily","1990","Baden-Württemberg","Couple + C. GT 16 ","37","0.0361724327205194","0.018666070779166","0.0536787946618728","1"
"Daily","1990","Baden-Württemberg","Couple + C. LE and GT 16","11","","","","1"
"Daily","1990","Bavaria","1-pers.-HH","16","","","","1"
"Daily","1990","Bavaria","(Married) couple without C. ","21","","","","1"
"Daily","1990","Bavaria","Single parent ","9","","","","1"
"Daily","1990","Bavaria","Couple + C. LE 16 ","21","","","","1"
"Daily","1990","Bavaria","Couple + C. GT 16 ","12","","","","1"
"Daily","1990","Bavaria","Couple + C. LE and GT 16","4","","","","1"
"Daily","1990","Berlin","1-pers.-HH","1","","","","1"
"Daily","1990","Berlin","(Married) couple without C. ","5","","","","1"
"Daily","1990","Berlin","Single parent ","4","","","","1"
"Daily","1990","Berlin","Couple + C. LE 16 ","8","","","","1"
"Daily","1990","Berlin","Couple + C. GT 16 ","4","","","","1"
"Daily","1990","Berlin","Couple + C. LE and GT 16","10","","","","1"
"Daily","1990","Brandenburg","1-pers.-HH","","","","","1"
"Daily","1990","Brandenburg","(Married) couple without C. ","","","","","1"
"Daily","1990","Brandenburg","Single parent ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Saxony","1-pers.-HH","","","","","1"
"Daily","1990","Saxony","(Married) couple without C. ","","","","","1"
"Daily","1990","Saxony","Single parent ","","","","","1"
"Daily","1990","Saxony","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Saxony","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Saxony","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Daily","1990","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Daily","1990","Saxony-Anhalt","Single parent ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Thuringia","1-pers.-HH","","","","","1"
"Daily","1990","Thuringia","(Married) couple without C. ","","","","","1"
"Daily","1990","Thuringia","Single parent ","","","","","1"
"Daily","1990","Thuringia","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Thuringia","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Thuringia","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Hamburg","1-pers.-HH","17","","","","3"
"Min 1x per month","1990","Hamburg","(Married) couple without C. ","9","","","","3"
"Min 1x per month","1990","Hamburg","Single parent ","6","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE and GT 16","8","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Saxony","1-pers.-HH","","","","","3"
"Min 1x per month","1990","Saxony","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. GT 16 ","20","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. LE 16 ","6","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","1-pers.-HH","14","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","(Married) couple without C. ","29","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Single parent ","5","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE 16 ","26","","","","3"
"Min 1x per month","1990","Brandenburg","1-pers.-HH","","","","","3"
"Min 1x per month","1990","Brandenburg","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Brandenburg","Single parent ","","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Saxony","Single parent ","","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Thuringia","1-pers.-HH","","","","","3"
"Min 1x per month","1990","Thuringia","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Thuringia","Single parent ","","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","1-pers.-HH","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Single parent ","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. GT 16 ","2","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Lower Saxony","1-pers.-HH","29","","","","3"
"Min 1x per month","1990","Lower Saxony","(Married) couple without C. ","98","0.338744592048679","0.284273021681651","0.393216162415707","3"
"Min 1x per month","1990","Lower Saxony","Single parent ","15","","","","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. LE 16 ","58","0.355162327620046","0.284460538353891","0.425864116886201","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. GT 16 ","74","0.350902250565296","0.288542415127456","0.413262086003136","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. LE and GT 16","24","","","","3"
"Min 1x per month","1990","Bremen","1-pers.-HH","7","","","","3"
"Min 1x per month","1990","Bremen","(Married) couple without C. ","16","","","","3"
"Min 1x per month","1990","Bremen","Single parent ","1","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. LE 16 ","3","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. GT 16 ","4","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. LE and GT 16","2","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","1-pers.-HH","64","0.2722998298674","0.218501333201484","0.326098326533316","3"
"Min 1x per month","1990","North Rhine-Westphalia","(Married) couple without C. ","193","0.343481631863145","0.305673346832907","0.381289916893382","3"
"Min 1x per month","1990","North Rhine-Westphalia","Single parent ","33","0.306427780081452","0.224956329734603","0.3878992304283","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE 16 ","147","0.281783038266926","0.245012547940351","0.318553528593501","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. GT 16 ","180","0.35317119453807","0.31365571592428","0.39268667315186","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","86","0.364057091034338","0.307291212728231","0.420822969340446","3"
"Min 1x per month","1990","Hesse","1-pers.-HH","26","","","","3"
"Min 1x per month","1990","Hesse","(Married) couple without C. ","74","0.329450119425528","0.269862021890999","0.389038216960057","3"
"Min 1x per month","1990","Hesse","Single parent ","11","","","","3"
"Min 1x per month","1990","Hesse","Couple + C. LE 16 ","60","0.322847589507258","0.262156818325566","0.38353836068895","3"
"Min 1x per month","1990","Hesse","Couple + C. GT 16 ","65","0.336145439760265","0.273293554718984","0.398997324801547","3"
"Min 1x per month","1990","Hesse","Couple + C. LE and GT 16","15","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","8","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","54","0.313529044575487","0.243790383772647","0.383267705378328","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Single parent ","10","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","33","0.2825433605099","0.206311578075131","0.358775142944668","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","33","0.258894720783825","0.189259677824484","0.328529763743165","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","17","","","","3"
"Min 1x per month","1990","Baden-Württemberg","1-pers.-HH","31","0.212827248988872","0.147106334407037","0.278548163570707","3"
"Min 1x per month","1990","Baden-Württemberg","(Married) couple without C. ","105","0.319781565058188","0.272065351940308","0.367497778176068","3"
"Min 1x per month","1990","Baden-Württemberg","Single parent ","17","","","","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE 16 ","113","0.305648856834054","0.262798191324713","0.348499522343394","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. GT 16 ","118","0.317405328688366","0.273764204831608","0.361046452545123","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE and GT 16","44","0.352560340623912","0.284265869781956","0.420854811465868","3"
"Min 1x per month","1990","Bavaria","1-pers.-HH","49","0.285339194729603","0.221794701009852","0.348883688449354","3"
"Min 1x per month","1990","Bavaria","(Married) couple without C. ","120","0.300373241596054","0.254281818313414","0.346464664878695","3"
"Min 1x per month","1990","Bavaria","Single parent ","22","","","","3"
"Min 1x per month","1990","Bavaria","Couple + C. LE 16 ","102","0.324818963285394","0.275757005456275","0.373880921114514","3"
"Min 1x per month","1990","Bavaria","Couple + C. GT 16 ","135","0.40931521200968","0.35757952869421","0.46105089532515","3"
"Min 1x per month","1990","Bavaria","Couple + C. LE and GT 16","38","0.263784022262565","0.191807027892929","0.335761016632202","3"
"Min 1x per month","1990","Berlin","1-pers.-HH","20","","","","3"
"Min 1x per month","1990","Berlin","(Married) couple without C. ","24","","","","3"
"Min 1x per month","1990","Berlin","Single parent ","6","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. LE 16 ","23","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. GT 16 ","5","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. LE and GT 16","12","","","","3"
"Min 1x per week","1990","Thuringia","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","Thuringia","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Saxony","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Saxony","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Saxony","Single parent ","","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Single parent ","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","Thuringia","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Thuringia","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Thuringia","Single parent ","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","1-pers.-HH","8","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","(Married) couple without C. ","30","0.333550655506896","0.232724566884314","0.434376744129478","2"
"Min 1x per week","1990","Schleswig-Holstein","Single parent ","4","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE 16 ","15","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. GT 16 ","12","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE and GT 16","8","","","","2"
"Min 1x per week","1990","Hamburg","1-pers.-HH","17","","","","2"
"Min 1x per week","1990","Hamburg","(Married) couple without C. ","18","","","","2"
"Min 1x per week","1990","Hamburg","Single parent ","","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. LE 16 ","19","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. GT 16 ","8","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Lower Saxony","1-pers.-HH","26","","","","2"
"Min 1x per week","1990","Lower Saxony","(Married) couple without C. ","112","0.381913738204565","0.325995139719906","0.437832336689224","2"
"Min 1x per week","1990","Lower Saxony","Single parent ","16","","","","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. LE 16 ","69","0.383917131651552","0.312066586202968","0.455767677100136","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. GT 16 ","70","0.293705545804816","0.23419337343567","0.353217718173963","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. LE and GT 16","23","","","","2"
"Min 1x per week","1990","Bremen","1-pers.-HH","7","","","","2"
"Min 1x per week","1990","Bremen","(Married) couple without C. ","13","","","","2"
"Min 1x per week","1990","Bremen","Single parent ","2","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. LE 16 ","7","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. GT 16 ","1","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","1-pers.-HH","97","0.386990224865259","0.32812566321363","0.445854786516887","2"
"Min 1x per week","1990","North Rhine-Westphalia","(Married) couple without C. ","244","0.412114334734594","0.372925073661125","0.451303595808063","2"
"Min 1x per week","1990","North Rhine-Westphalia","Single parent ","38","0.277624105903263","0.19848233859093","0.356765873215597","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE 16 ","280","0.480044440233114","0.439208928350277","0.52087995211595","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. GT 16 ","183","0.30365501434069","0.265637616454373","0.341672412227007","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","91","0.289773161088981","0.236252536974917","0.343293785203046","2"
"Min 1x per week","1990","Hesse","1-pers.-HH","27","","","","2"
"Min 1x per week","1990","Hesse","(Married) couple without C. ","77","0.325006403055859","0.265625755996193","0.384387050115524","2"
"Min 1x per week","1990","Hesse","Single parent ","16","","","","2"
"Min 1x per week","1990","Hesse","Couple + C. LE 16 ","86","0.366533191326682","0.303987232617077","0.429079150036287","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Brandenburg","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Brandenburg","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Brandenburg","Single parent ","","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE 16 ","202","0.407661993998123","0.361954067778052","0.453369920218193","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. GT 16 ","153","0.307153700523175","0.263901948996509","0.350405452049842","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE and GT 16","92","0.404177496824202","0.334029757054172","0.474325236594232","2"
"Min 1x per week","1990","Bavaria","1-pers.-HH","68","0.347715680372535","0.280699783635734","0.414731577109337","2"
"Min 1x per week","1990","Bavaria","(Married) couple without C. ","153","0.393377797879725","0.344262094742597","0.442493501016853","2"
"Min 1x per week","1990","Bavaria","Single parent ","22","","","","2"
"Min 1x per week","1990","Bavaria","Couple + C. LE 16 ","147","0.376055511080773","0.325308201316615","0.426802820844932","2"
"Min 1x per week","1990","Bavaria","Couple + C. GT 16 ","106","0.282919731345969","0.235528405559002","0.330311057132936","2"
"Min 1x per week","1990","Bavaria","Couple + C. LE and GT 16","40","0.338817890800955","0.261512361327232","0.416123420274679","2"
"Min 1x per week","1990","Berlin","1-pers.-HH","19","","","","2"
"Min 1x per week","1990","Hesse","Couple + C. GT 16 ","71","0.322165330081754","0.259989797472294","0.384340862691214","2"
"Min 1x per week","1990","Hesse","Couple + C. LE and GT 16","28","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","29","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","60","0.337953611199587","0.266849225854528","0.409057996544645","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Single parent ","15","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","69","0.475419262844825","0.390864076979453","0.559974448710198","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","58","0.334086640111431","0.259103311491432","0.409069968731429","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","16","","","","2"
"Min 1x per week","1990","Baden-Württemberg","1-pers.-HH","52","0.342586326641468","0.266385560864252","0.418787092418685","2"
"Min 1x per week","1990","Baden-Württemberg","(Married) couple without C. ","160","0.422486843671017","0.371950642255315","0.47302304508672","2"
"Min 1x per week","1990","Baden-Württemberg","Single parent ","23","","","","2"
"Min 1x per week","1990","Berlin","(Married) couple without C. ","33","0.397959191214838","0.294509046999048","0.501409335430627","2"
"Min 1x per week","1990","Berlin","Single parent ","6","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. LE 16 ","17","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. GT 16 ","11","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. LE and GT 16","2","","","","2"
"Never","1990","Schleswig-Holstein","1-pers.-HH","2","","","","5"
"Never","1990","Schleswig-Holstein","(Married) couple without C. ","","","","","5"
"Never","1990","Brandenburg","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","5"
"Never","1990","Thuringia","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Bremen","Single parent ","1","","","","5"
"Never","1990","Bremen","Couple + C. LE 16 ","","","","","5"
"Never","1990","Bremen","Couple + C. GT 16 ","2","","","","5"
"Never","1990","Bremen","Couple + C. LE and GT 16","1","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","5"
"Never","1990","Thuringia","Single parent ","","","","","5"
"Never","1990","Thuringia","Couple + C. LE 16 ","","","","","5"
"Never","1990","Thuringia","Couple + C. GT 16 ","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","5"
"Never","1990","Schleswig-Holstein","Single parent ","","","","","5"
"Never","1990","Schleswig-Holstein","Couple + C. LE 16 ","","","","","5"
"Never","1990","Schleswig-Holstein","Couple + C. GT 16 ","1","","","","5"
"Never","1990","Schleswig-Holstein","Couple + C. LE and GT 16","1","","","","5"
"Never","1990","Hamburg","1-pers.-HH","5","","","","5"
"Never","1990","Hamburg","(Married) couple without C. ","2","","","","5"
"Never","1990","Hamburg","Single parent ","","","","","5"
"Never","1990","Hamburg","Couple + C. LE 16 ","2","","","","5"
"Never","1990","Hamburg","Couple + C. GT 16 ","1","","","","5"
"Never","1990","Hamburg","Couple + C. LE and GT 16","3","","","","5"
"Never","1990","Lower Saxony","1-pers.-HH","6","","","","5"
"Never","1990","Lower Saxony","(Married) couple without C. ","7","","","","5"
"Never","1990","Lower Saxony","Single parent ","1","","","","5"
"Never","1990","Lower Saxony","Couple + C. LE 16 ","8","","","","5"
"Never","1990","Lower Saxony","Couple + C. GT 16 ","8","","","","5"
"Never","1990","Lower Saxony","Couple + C. LE and GT 16","3","","","","5"
"Never","1990","Bremen","1-pers.-HH","2","","","","5"
"Never","1990","Bremen","(Married) couple without C. ","2","","","","5"
"Never","1990","Brandenburg","1-pers.-HH","","","","","5"
"Never","1990","Brandenburg","(Married) couple without C. ","","","","","5"
"Never","1990","Brandenburg","Single parent ","","","","","5"
"Never","1990","Brandenburg","Couple + C. LE 16 ","","","","","5"
"Never","1990","Brandenburg","Couple + C. GT 16 ","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Saxony","1-pers.-HH","","","","","5"
"Never","1990","Saxony","(Married) couple without C. ","","","","","5"
"Never","1990","Saxony","Single parent ","","","","","5"
"Never","1990","Saxony","Couple + C. LE 16 ","","","","","5"
"Never","1990","Saxony","Couple + C. GT 16 ","","","","","5"
"Never","1990","Saxony","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Saxony-Anhalt","1-pers.-HH","","","","","5"
"Never","1990","Saxony-Anhalt","(Married) couple without C. ","","","","","5"
"Never","1990","Saxony-Anhalt","Single parent ","","","","","5"
