"pli0081","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Not Employed","8","","",""
"Daily","1990","Schleswig-Holstein","Employed","18","","",""
"Daily","1990","Hamburg","Not Employed","1","","",""
"Daily","1990","Hamburg","Employed","4","","",""
"Daily","1990","Lower Saxony","Not Employed","26","","",""
"Daily","1990","Lower Saxony","Employed","35","0.0513682738103096","0.0337782384618138","0.0689583091588054"
"Daily","1990","Bremen","Not Employed","1","","",""
"Daily","1990","Bremen","Employed","3","","",""
"Daily","1990","North Rhine-Westphalia","Not Employed","74","0.0766897747856677","0.060197117109107","0.0931824324622284"
"Daily","1990","North Rhine-Westphalia","Employed","92","0.0501748091707075","0.0393659888047217","0.0609836295366934"
"Daily","1990","Hesse","Not Employed","33","0.087614438826321","0.0574281179447963","0.117800759707846"
"Daily","1990","Hesse","Employed","53","0.056535808049111","0.0387536240058454","0.0743179920923767"
"Daily","1990","Rhineland-Palatinate,Saarland","Not Employed","32","0.108719327878943","0.0713811531142797","0.146057502643606"
"Daily","1990","Rhineland-Palatinate,Saarland","Employed","42","0.114699900227031","0.0835883003618696","0.145811500092193"
"Daily","1990","Baden-Württemberg","Not Employed","73","0.145550316409712","0.115695423357992","0.175405209461433"
"Daily","1990","Baden-Württemberg","Employed","96","0.0569026804947226","0.0441115939842935","0.0696937670051517"
"Daily","1990","Bavaria","Not Employed","38","0.0770095970810354","0.0534516979519346","0.100567496210136"
"Daily","1990","Bavaria","Employed","53","0.0446325549561517","0.0324573005326128","0.0568078093796906"
"Daily","1990","Berlin","Not Employed","13","","",""
"Daily","1990","Berlin","Employed","19","","",""
"Daily","1990","Brandenburg","Not Employed","","","",""
"Daily","1990","Brandenburg","Employed","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1990","Saxony","Not Employed","","","",""
"Daily","1990","Saxony","Employed","","","",""
"Daily","1990","Saxony-Anhalt","Not Employed","","","",""
"Daily","1990","Saxony-Anhalt","Employed","","","",""
"Daily","1990","Thuringia","Not Employed","","","",""
"Daily","1990","Thuringia","Employed","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Not Employed","34","0.339041838227896","0.248062022411461","0.430021654044331"
"Min 1x per week","1990","Schleswig-Holstein","Employed","49","0.283277059815775","0.217268093601205","0.349286026030345"
"Min 1x per week","1990","Hamburg","Not Employed","22","","",""
"Min 1x per week","1990","Hamburg","Employed","41","0.358153899133451","0.266446635126177","0.449861163140725"
"Min 1x per week","1990","Lower Saxony","Not Employed","112","0.295543285255457","0.249175716359855","0.341910854151058"
"Min 1x per week","1990","Lower Saxony","Employed","221","0.335520035733984","0.297895549475942","0.373144521992025"
"Min 1x per week","1990","Bremen","Not Employed","19","","",""
"Min 1x per week","1990","Bremen","Employed","11","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Not Employed","394","0.38533862572272","0.355174737385226","0.415502514060214"
"Min 1x per week","1990","North Rhine-Westphalia","Employed","614","0.383463958393823","0.359389578844705","0.407538337942941"
"Min 1x per week","1990","Hesse","Not Employed","119","0.344086877284821","0.293365579696167","0.394808174873474"
"Min 1x per week","1990","Hesse","Employed","217","0.321964223577311","0.285990060339228","0.357938386815393"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Not Employed","104","0.377559666721219","0.319411755237561","0.435707578204877"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Employed","173","0.397797887361041","0.350012188544822","0.44558358617726"
"Min 1x per week","1990","Baden-Württemberg","Not Employed","196","0.33094890374268","0.291112895559377","0.370784911925983"
"Min 1x per week","1990","Baden-Württemberg","Employed","529","0.389490826448155","0.362565713601354","0.416415939294955"
"Min 1x per week","1990","Bavaria","Not Employed","172","0.342305235390577","0.300379131825049","0.384231338956106"
"Min 1x per week","1990","Bavaria","Employed","400","0.34333331504186","0.315337222707122","0.371329407376597"
"Min 1x per week","1990","Berlin","Not Employed","31","0.280799840836329","0.195250144081342","0.366349537591316"
"Min 1x per week","1990","Berlin","Employed","77","0.34061167414491","0.278549859020191","0.402673489269629"
"Min 1x per week","1990","Brandenburg","Not Employed","","","",""
"Min 1x per week","1990","Brandenburg","Employed","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1990","Saxony","Not Employed","","","",""
"Min 1x per week","1990","Saxony","Employed","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1990","Thuringia","Not Employed","","","",""
"Min 1x per week","1990","Thuringia","Employed","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Not Employed","43","0.423866239579592","0.328891634302096","0.518840844857087"
"Min 1x per month","1990","Schleswig-Holstein","Employed","65","0.38127021832943","0.310117986453197","0.452422450205664"
"Min 1x per month","1990","Hamburg","Not Employed","17","","",""
"Min 1x per month","1990","Hamburg","Employed","24","","",""
"Min 1x per month","1990","Lower Saxony","Not Employed","141","0.384406933314501","0.334973692092384","0.433840174536617"
"Min 1x per month","1990","Lower Saxony","Employed","184","0.310747703837014","0.27387003342094","0.347625374253088"
"Min 1x per month","1990","Bremen","Not Employed","19","","",""
"Min 1x per month","1990","Bremen","Employed","14","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Not Employed","280","0.296849594673081","0.268533038301801","0.32516615104436"
"Min 1x per month","1990","North Rhine-Westphalia","Employed","468","0.336509025317656","0.313113679938774","0.359904370696539"
"Min 1x per month","1990","Hesse","Not Employed","87","0.265948764353296","0.218775566702391","0.3131219620042"
"Min 1x per month","1990","Hesse","Employed","182","0.329668665214416","0.293474031709072","0.365863298719759"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Not Employed","73","0.278705452559507","0.224925363438332","0.332485541680681"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Employed","97","0.253010185270259","0.210565637532193","0.295454733008325"
"Min 1x per month","1990","Baden-Württemberg","Not Employed","147","0.297977651787843","0.2592578601384","0.336697443437287"
"Min 1x per month","1990","Baden-Württemberg","Employed","315","0.290839906133448","0.265763692518357","0.315916119748539"
"Min 1x per month","1990","Bavaria","Not Employed","139","0.28574894015456","0.245829604918038","0.325668275391083"
"Min 1x per month","1990","Bavaria","Employed","353","0.336201743599512","0.30834790938309","0.364055577815935"
"Min 1x per month","1990","Berlin","Not Employed","24","","",""
"Min 1x per month","1990","Berlin","Employed","71","0.376554039138787","0.313103232892788","0.440004845384786"
"Min 1x per month","1990","Brandenburg","Not Employed","","","",""
"Min 1x per month","1990","Brandenburg","Employed","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1990","Saxony","Not Employed","","","",""
"Min 1x per month","1990","Saxony","Employed","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1990","Thuringia","Not Employed","","","",""
"Min 1x per month","1990","Thuringia","Employed","","","",""
"Rarely","1990","Schleswig-Holstein","Not Employed","18","","",""
"Rarely","1990","Schleswig-Holstein","Employed","44","0.255315048810792","0.191437819357927","0.319192278263656"
"Rarely","1990","Hamburg","Not Employed","16","","",""
"Rarely","1990","Hamburg","Employed","29","","",""
"Rarely","1990","Lower Saxony","Not Employed","80","0.222825783915437","0.180537648692403","0.26511391913847"
"Rarely","1990","Lower Saxony","Employed","145","0.277289702181806","0.241618364494328","0.312961039869284"
"Rarely","1990","Bremen","Not Employed","13","","",""
"Rarely","1990","Bremen","Employed","15","","",""
"Rarely","1990","North Rhine-Westphalia","Not Employed","204","0.213010131121026","0.187633568661295","0.238386693580757"
"Rarely","1990","North Rhine-Westphalia","Employed","327","0.206440192653732","0.186400061831276","0.226480323476188"
"Rarely","1990","Hesse","Not Employed","75","0.254284260015219","0.207792120238522","0.300776399791916"
"Rarely","1990","Hesse","Employed","166","0.263401809989112","0.229487320096745","0.297316299881479"
"Rarely","1990","Rhineland-Palatinate,Saarland","Not Employed","53","0.217029565882162","0.167584314109345","0.266474817654979"
"Rarely","1990","Rhineland-Palatinate,Saarland","Employed","82","0.211257631677186","0.171403866605345","0.251111396749027"
"Rarely","1990","Baden-Württemberg","Not Employed","99","0.192298842768178","0.158934745081987","0.225662940454369"
"Rarely","1990","Baden-Württemberg","Employed","274","0.242993647480944","0.219312102052986","0.266675192908903"
"Rarely","1990","Bavaria","Not Employed","124","0.260036831285938","0.221276451477417","0.298797211094459"
"Rarely","1990","Bavaria","Employed","260","0.250149149267544","0.224613088015618","0.275685210519471"
"Rarely","1990","Berlin","Not Employed","28","","",""
"Rarely","1990","Berlin","Employed","50","0.222863035741138","0.168363615025043","0.277362456457234"
"Rarely","1990","Brandenburg","Not Employed","","","",""
"Rarely","1990","Brandenburg","Employed","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1990","Saxony","Not Employed","","","",""
"Rarely","1990","Saxony","Employed","","","",""
"Rarely","1990","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1990","Saxony-Anhalt","Employed","","","",""
"Rarely","1990","Thuringia","Not Employed","","","",""
"Rarely","1990","Thuringia","Employed","","","",""
"Never","1990","Schleswig-Holstein","Not Employed","1","","",""
"Never","1990","Schleswig-Holstein","Employed","3","","",""
"Never","1990","Hamburg","Not Employed","6","","",""
"Never","1990","Hamburg","Employed","7","","",""
"Never","1990","Lower Saxony","Not Employed","13","","",""
"Never","1990","Lower Saxony","Employed","20","","",""
"Never","1990","Bremen","Not Employed","2","","",""
"Never","1990","Bremen","Employed","6","","",""
"Never","1990","North Rhine-Westphalia","Not Employed","48","0.0281118736975059","0.0178671293410984","0.0383566180539134"
"Never","1990","North Rhine-Westphalia","Employed","66","0.0234120144640807","0.0159253447634956","0.0308986841646658"
"Never","1990","Hesse","Not Employed","23","","",""
"Never","1990","Hesse","Employed","30","0.0284294931700502","0.0156332551957016","0.0412257311443988"
"Never","1990","Rhineland-Palatinate,Saarland","Not Employed","5","","",""
"Never","1990","Rhineland-Palatinate,Saarland","Employed","9","","",""
"Never","1990","Baden-Württemberg","Not Employed","21","","",""
"Never","1990","Baden-Württemberg","Employed","46","0.01977293944273","0.0120858527237262","0.0274600261617339"
"Never","1990","Bavaria","Not Employed","19","","",""
"Never","1990","Bavaria","Employed","39","0.0256832371349323","0.0163562383516961","0.0350102359181684"
"Never","1990","Berlin","Not Employed","10","","",""
"Never","1990","Berlin","Employed","7","","",""
"Never","1990","Brandenburg","Not Employed","","","",""
"Never","1990","Brandenburg","Employed","","","",""
"Never","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Never","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","1990","Saxony","Not Employed","","","",""
"Never","1990","Saxony","Employed","","","",""
"Never","1990","Saxony-Anhalt","Not Employed","","","",""
"Never","1990","Saxony-Anhalt","Employed","","","",""
"Never","1990","Thuringia","Not Employed","","","",""
"Never","1990","Thuringia","Employed","","","",""
"Daily","1991","Schleswig-Holstein","Not Employed","","","",""
"Daily","1991","Schleswig-Holstein","Employed","","","",""
"Daily","1991","Hamburg","Not Employed","","","",""
"Daily","1991","Hamburg","Employed","","","",""
"Daily","1991","Lower Saxony","Not Employed","","","",""
"Daily","1991","Lower Saxony","Employed","","","",""
"Daily","1991","Bremen","Not Employed","","","",""
"Daily","1991","Bremen","Employed","","","",""
"Daily","1991","North Rhine-Westphalia","Not Employed","","","",""
"Daily","1991","North Rhine-Westphalia","Employed","","","",""
"Daily","1991","Hesse","Not Employed","","","",""
"Daily","1991","Hesse","Employed","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","Employed","","","",""
"Daily","1991","Baden-Württemberg","Not Employed","","","",""
"Daily","1991","Baden-Württemberg","Employed","","","",""
"Daily","1991","Bavaria","Not Employed","","","",""
"Daily","1991","Bavaria","Employed","","","",""
"Daily","1991","Berlin","Not Employed","","","",""
"Daily","1991","Berlin","Employed","","","",""
"Daily","1991","Brandenburg","Not Employed","","","",""
"Daily","1991","Brandenburg","Employed","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1991","Saxony","Not Employed","","","",""
