"pli0081","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","West Germany","94","0.0846494090666918","0.0676746496117657","0.101624168521618","1"
"Daily","1990","1-pers.-HH","East Germany","","","","","1"
"Daily","1990","(Married) couple without C. ","West Germany","184","0.0762337960109306","0.0654026790119264","0.0870649130099348","1"
"Daily","1990","(Married) couple without C. ","East Germany","","","","","1"
"Daily","1990","Single parent ","West Germany","45","0.0923844648045798","0.0658938411791066","0.118875088430053","1"
"Daily","1990","Single parent ","East Germany","","","","","1"
"Daily","1990","Couple + C. LE 16 ","West Germany","173","0.0689381422254795","0.0580687334465196","0.0798075510044395","1"
"Daily","1990","Couple + C. LE 16 ","East Germany","","","","","1"
"Daily","1990","Couple + C. GT 16 ","West Germany","124","0.03811654153415","0.0298318301171128","0.0464012529511872","1"
"Daily","1990","Couple + C. GT 16 ","East Germany","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","West Germany","49","0.0377824447430055","0.0252417015614056","0.0503231879246055","1"
"Daily","1990","Couple + C. LE and GT 16","East Germany","","","","","1"
"Min 1x per month","1990","1-pers.-HH","East Germany","","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","East Germany","","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","West Germany","722","0.327149796589321","0.308000582224506","0.346299010954137","3"
"Min 1x per month","1990","1-pers.-HH","West Germany","265","0.271771064783923","0.244642082387678","0.298900047180168","3"
"Min 1x per month","1990","Single parent ","East Germany","","","","","3"
"Min 1x per month","1990","Single parent ","West Germany","126","0.311119194414475","0.268766875608922","0.353471513220028","3"
"Min 1x per month","1990","Couple + C. GT 16 ","West Germany","636","0.344063106970371","0.323508484928147","0.364617729012595","3"
"Min 1x per month","1990","Couple + C. LE 16 ","West Germany","571","0.312922196083586","0.293028842096177","0.332815550070995","3"
"Min 1x per month","1990","Couple + C. LE 16 ","East Germany","","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","East Germany","","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","East Germany","","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","West Germany","246","0.342605382172165","0.311391213645227","0.373819550699102","3"
"Min 1x per week","1990","(Married) couple without C. ","East Germany","","","","","2"
"Min 1x per week","1990","1-pers.-HH","East Germany","","","","","2"
"Min 1x per week","1990","1-pers.-HH","West Germany","350","0.346432267281553","0.317415274640572","0.375449259922534","2"
"Min 1x per week","1990","(Married) couple without C. ","West Germany","900","0.386058735746864","0.366188247261713","0.405929224232015","2"
"Min 1x per week","1990","Single parent ","West Germany","142","0.291051434177189","0.249495410579076","0.332607457775302","2"
"Min 1x per week","1990","Single parent ","East Germany","","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","West Germany","911","0.414448229953987","0.39331311276937","0.435583347138604","2"
"Min 1x per week","1990","Couple + C. LE 16 ","East Germany","","","","","2"
"Min 1x per week","1990","Couple + C. GT 16 ","East Germany","","","","","2"
"Min 1x per week","1990","Couple + C. GT 16 ","West Germany","673","0.304502008405716","0.284590579217042","0.324413437594391","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","West Germany","300","0.295110504019121","0.265112354771644","0.325108653266599","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","East Germany","","","","","2"
"Never","1990","1-pers.-HH","West Germany","60","0.0464175707295037","0.0335878189437898","0.0592473225152175","5"
"Never","1990","1-pers.-HH","East Germany","","","","","5"
"Never","1990","(Married) couple without C. ","West Germany","60","0.0174343114603965","0.0120923390969215","0.0227762838238715","5"
"Never","1990","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","1990","(Married) couple without C. ","East Germany","","","","","5"
"Never","1990","Single parent ","West Germany","27","","","","5"
