"pli0081","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1990","Thuringia","","","",""
"Rarely","1990","Schleswig-Holstein","62","0.217640233833592","0.169564301051893","0.265716166615291"
"Rarely","1990","Hamburg","45","0.285146906124566","0.216671819880726","0.353621992368405"
"Rarely","1990","Lower Saxony","225","0.254251372889991","0.226947220839797","0.281555524940184"
"Rarely","1990","Bremen","28","","",""
"Rarely","1990","North Rhine-Westphalia","531","0.209169958600837","0.193436420680153","0.224903496521522"
"Rarely","1990","Hesse","241","0.259526488393856","0.232150135864687","0.286902840923024"
"Rarely","1990","Rhineland-Palatinate,Saarland","135","0.213717063018549","0.182677205866865","0.244756920170233"
"Rarely","1990","Baden-Württemberg","373","0.225376081678128","0.206052203618999","0.244699959737256"
"Rarely","1990","Bavaria","384","0.253771510848452","0.232428633026602","0.275114388670301"
"Rarely","1990","Berlin","78","0.241073599594035","0.194924229485882","0.287222969702188"
"Rarely","1990","Brandenburg","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","","","",""
"Rarely","1990","Saxony","","","",""
"Rarely","1990","Saxony-Anhalt","","","",""
"Rarely","1990","Thuringia","","","",""
"Never","1990","Schleswig-Holstein","4","","",""
"Never","1990","Hamburg","13","","",""
"Never","1990","Lower Saxony","33","0.0243183862996913","0.0146596069229748","0.0339771656764078"
"Never","1990","Bremen","8","","",""
"Never","1990","North Rhine-Westphalia","114","0.0253647748674634","0.0192824205670054","0.0314471291679213"
"Never","1990","Hesse","53","0.0367756453406699","0.0250219655611148","0.048529325120225"
"Never","1990","Rhineland-Palatinate,Saarland","14","","",""
"Never","1990","Baden-Württemberg","67","0.0244475796148617","0.0173052783525405","0.0315898808771829"
"Never","1990","Bavaria","58","0.0290595856110079","0.0208213040523244","0.0372978671696915"
"Never","1990","Berlin","17","","",""
"Never","1990","Brandenburg","","","",""
"Never","1990","Mecklenburg-Western Pomerania","","","",""
"Never","1990","Saxony","","","",""
"Never","1990","Saxony-Anhalt","","","",""
"Never","1990","Thuringia","","","",""
"Daily","1991","Schleswig-Holstein","","","",""
"Daily","1991","Hamburg","","","",""
"Daily","1991","Lower Saxony","","","",""
"Daily","1991","Bremen","","","",""
