"plh0196","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","Schleswig-Holstein","1-pers.-HH","51","0.540961268739187","0.438576548925762","0.643345988552613"
"People are helpful","2003","Schleswig-Holstein","(Married) couple without C. ","126","0.394014365046978","0.333684130589215","0.454344599504742"
"People are helpful","2003","Schleswig-Holstein","Single parent ","12","","",""
"People are helpful","2003","Schleswig-Holstein","Couple + C. LE 16 ","61","0.455528400589135","0.368570676728442","0.542486124449827"
"People are helpful","2003","Schleswig-Holstein","Couple + C. GT 16 ","34","0.361357483032553","0.264243536269847","0.458471429795258"
"People are helpful","2003","Schleswig-Holstein","Couple + C. LE and GT 16","15","","",""
"People are helpful","2003","Hamburg","1-pers.-HH","26","","",""
"People are helpful","2003","Hamburg","(Married) couple without C. ","50","0.446678165655935","0.349238820407733","0.544117510904137"
"People are helpful","2003","Hamburg","Single parent ","4","","",""
"People are helpful","2003","Hamburg","Couple + C. LE 16 ","17","","",""
"People are helpful","2003","Hamburg","Couple + C. GT 16 ","9","","",""
"People are helpful","2003","Hamburg","Couple + C. LE and GT 16","11","","",""
"People are helpful","2003","Lower Saxony","1-pers.-HH","95","0.473954050026232","0.406259312606882","0.541648787445582"
"People are helpful","2003","Lower Saxony","(Married) couple without C. ","227","0.371659813749289","0.333056901813811","0.410262725684767"
"People are helpful","2003","Lower Saxony","Single parent ","35","0.369745720857407","0.276063433730219","0.463428007984595"
"People are helpful","2003","Lower Saxony","Couple + C. LE 16 ","125","0.308125924034938","0.263047033733393","0.353204814336484"
"People are helpful","2003","Lower Saxony","Couple + C. GT 16 ","120","0.286785349595803","0.239672966951864","0.333897732239743"
"People are helpful","2003","Lower Saxony","Couple + C. LE and GT 16","43","0.265907941976065","0.192722451061057","0.339093432891073"
"People are helpful","2003","Bremen","1-pers.-HH","17","","",""
"People are helpful","2003","Bremen","(Married) couple without C. ","31","0.443578548650229","0.321863212123601","0.565293885176858"
"People are helpful","2003","Bremen","Single parent ","","","",""
"People are helpful","2003","Bremen","Couple + C. LE 16 ","13","","",""
"People are helpful","2003","Bremen","Couple + C. GT 16 ","6","","",""
"People are helpful","2003","Bremen","Couple + C. LE and GT 16","7","","",""
"People are helpful","2003","North Rhine-Westphalia","1-pers.-HH","263","0.4318319879206","0.392905188879557","0.470758786961642"
"People are helpful","2003","North Rhine-Westphalia","(Married) couple without C. ","606","0.383603264255349","0.35938775011934","0.407818778391357"
"People are helpful","2003","North Rhine-Westphalia","Single parent ","72","0.407830716606074","0.339723050616238","0.475938382595911"
"People are helpful","2003","North Rhine-Westphalia","Couple + C. LE 16 ","313","0.289740273616677","0.261133257830828","0.318347289402526"
"People are helpful","2003","North Rhine-Westphalia","Couple + C. GT 16 ","262","0.342925441483154","0.309375474254214","0.376475408712094"
"People are helpful","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","132","0.348046189893224","0.299443336834158","0.39664904295229"
"People are helpful","2003","Hesse","1-pers.-HH","61","0.325653642778011","0.257571710190366","0.393735575365656"
"People are helpful","2003","Hesse","(Married) couple without C. ","184","0.357465850029406","0.3167028426871","0.398228857371711"
"People are helpful","2003","Hesse","Single parent ","17","","",""
"People are helpful","2003","Hesse","Couple + C. LE 16 ","86","0.242804729167713","0.196331084640022","0.289278373695404"
"People are helpful","2003","Hesse","Couple + C. GT 16 ","60","0.180100258684705","0.129889778474098","0.230310738895312"
"People are helpful","2003","Hesse","Couple + C. LE and GT 16","30","0.295392796956811","0.212726468379937","0.378059125533686"
"People are helpful","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","90","0.537004346262594","0.463753027584727","0.610255664940461"
"People are helpful","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","179","0.446819821646994","0.398813436680845","0.494826206613144"
"People are helpful","2003","Rhineland-Palatinate,Saarland","Single parent ","33","0.372246421590402","0.26284390212542","0.481648941055384"
"People are helpful","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","90","0.316382981649308","0.262389833398982","0.370376129899635"
"People are helpful","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","80","0.485496023078164","0.412279553819451","0.558712492336877"
"People are helpful","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","59","0.410940500268603","0.329730859488317","0.49215014104889"
"People are helpful","2003","Baden-Württemberg","1-pers.-HH","146","0.423429360990905","0.369292901724052","0.477565820257758"
"People are helpful","2003","Baden-Württemberg","(Married) couple without C. ","338","0.397082666454291","0.363282448519606","0.430882884388977"
"People are helpful","2003","Baden-Württemberg","Single parent ","57","0.402634225232809","0.318970607905453","0.486297842560166"
"People are helpful","2003","Baden-Württemberg","Couple + C. LE 16 ","220","0.326855984971763","0.289479141748757","0.364232828194768"
"People are helpful","2003","Baden-Württemberg","Couple + C. GT 16 ","188","0.375658177574438","0.331497600419266","0.419818754729611"
"People are helpful","2003","Baden-Württemberg","Couple + C. LE and GT 16","118","0.307940187097879","0.254899810781887","0.360980563413872"
"People are helpful","2003","Bavaria","1-pers.-HH","155","0.401619675711495","0.352903921198635","0.450335430224355"
"People are helpful","2003","Bavaria","(Married) couple without C. ","432","0.451142257107337","0.419875825220459","0.482408688994214"
"People are helpful","2003","Bavaria","Single parent ","56","0.280262912609816","0.212549532208731","0.347976293010901"
"People are helpful","2003","Bavaria","Couple + C. LE 16 ","184","0.275176144350789","0.240736912045708","0.30961537665587"
"People are helpful","2003","Bavaria","Couple + C. GT 16 ","204","0.35708180204927","0.318254977229748","0.395908626868792"
"People are helpful","2003","Bavaria","Couple + C. LE and GT 16","71","0.326780896660622","0.268870789815219","0.384691003506024"
"People are helpful","2003","Berlin","1-pers.-HH","72","0.38580471543832","0.318341024487245","0.453268406389395"
"People are helpful","2003","Berlin","(Married) couple without C. ","70","0.319568875923148","0.258503026181745","0.380634725664551"
"People are helpful","2003","Berlin","Single parent ","26","","",""
"People are helpful","2003","Berlin","Couple + C. LE 16 ","32","0.252168131582137","0.17808689724571","0.326249365918565"
"People are helpful","2003","Berlin","Couple + C. GT 16 ","44","0.288689107974663","0.213356046069531","0.364022169879794"
"People are helpful","2003","Berlin","Couple + C. LE and GT 16","20","","",""
"People are helpful","2003","Brandenburg","1-pers.-HH","47","0.346468428230965","0.25987514313354","0.433061713328389"
"People are helpful","2003","Brandenburg","(Married) couple without C. ","110","0.312052459420117","0.262803155279698","0.361301763560536"
"People are helpful","2003","Brandenburg","Single parent ","12","","",""
"People are helpful","2003","Brandenburg","Couple + C. LE 16 ","31","0.16870622076213","0.108776083116232","0.228636358408027"
"People are helpful","2003","Brandenburg","Couple + C. GT 16 ","53","0.283739757392786","0.219126325774621","0.348353189010951"
"People are helpful","2003","Brandenburg","Couple + C. LE and GT 16","14","","",""
