"ple0005","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","35-65 y.","Rural Area","1773","0.414267384106443","0.399639071573645","0.428895696639242","2"
"A little","2002","16-34 y.","Urban Area","760","0.202199493500653","0.189902489919271","0.214496497082034","2"
"A little","2002","16-34 y.","Rural Area","430","0.218223259888143","0.200395546125152","0.236050973651133","2"
"A little","2002","35-65 y.","Urban Area","3210","0.372203182083352","0.362171696352352","0.382234667814353","2"
"A little","2002","66 and older","Urban Area","1097","0.448320033051238","0.428419227936936","0.46822083816554","2"
"A little","2002","66 and older","Rural Area","624","0.504730163796537","0.476674616514097","0.532785711078976","2"
"Not at all","2002","35-65 y.","Urban Area","4722","0.498548514392956","0.488172421809349","0.508924606976562","3"
"Not at all","2002","35-65 y.","Rural Area","2001","0.446481071146771","0.431718162927135","0.461243979366407","3"
"Not at all","2002","16-34 y.","Urban Area","3234","0.772450270243049","0.759614097861888","0.78528644262421","3"
"Not at all","2002","16-34 y.","Rural Area","1558","0.741262093098529","0.722359573952926","0.760164612244132","3"
"Not at all","2002","66 and older","Urban Area","461","0.168071081546669","0.153107947212591","0.183034215880747","3"
"Not at all","2002","66 and older","Rural Area","171","0.133740249217351","0.114640691619114","0.152839806815589","3"
"Strong","2002","16-34 y.","Urban Area","104","0.0253502362562983","0.0205376623665046","0.0301628101460921","1"
"Strong","2002","16-34 y.","Rural Area","74","0.0405146470133283","0.0320046586746298","0.0490246353520268","1"
"Strong","2002","35-65 y.","Urban Area","988","0.129248303523692","0.122286444027189","0.136210163020195","1"
"Strong","2002","35-65 y.","Rural Area","582","0.139251544746786","0.128970380618827","0.149532708874745","1"
"Strong","2002","66 and older","Urban Area","841","0.383608885402093","0.364150559146903","0.403067211657284","1"
"Strong","2002","66 and older","Rural Area","425","0.361529586986112","0.334570170592468","0.388489003379756","1"
"A little","2003","35-65 y.","Rural Area","","","","","2"
"A little","2003","16-34 y.","Urban Area","","","","","2"
"A little","2003","16-34 y.","Rural Area","","","","","2"
"A little","2003","35-65 y.","Urban Area","","","","","2"
"A little","2003","66 and older","Urban Area","","","","","2"
"A little","2003","66 and older","Rural Area","","","","","2"
"Not at all","2003","16-34 y.","Urban Area","","","","","3"
"Not at all","2003","16-34 y.","Rural Area","","","","","3"
"Not at all","2003","35-65 y.","Urban Area","","","","","3"
"Not at all","2003","35-65 y.","Rural Area","","","","","3"
"Not at all","2003","66 and older","Urban Area","","","","","3"
"Not at all","2003","66 and older","Rural Area","","","","","3"
"Strong","2003","16-34 y.","Urban Area","","","","","1"
"Strong","2003","16-34 y.","Rural Area","","","","","1"
"Strong","2003","35-65 y.","Urban Area","","","","","1"
"Strong","2003","35-65 y.","Rural Area","","","","","1"
"Strong","2003","66 and older","Urban Area","","","","","1"
"Strong","2003","66 and older","Rural Area","","","","","1"
"A little","2004","35-65 y.","Urban Area","2944","0.369817222724443","0.359387446159266","0.38024699928962","2"
"A little","2004","35-65 y.","Rural Area","1615","0.399698359376639","0.384514658337437","0.41488206041584","2"
"A little","2004","16-34 y.","Urban Area","713","0.196545790132943","0.183821935967275","0.209269644298611","2"
"A little","2004","16-34 y.","Rural Area","376","0.207230914107068","0.188928504678976","0.22553332353516","2"
"A little","2004","66 and older","Urban Area","1126","0.446620975364417","0.427133346892123","0.46610860383671","2"
"A little","2004","66 and older","Rural Area","633","0.48241219803707","0.455059181055216","0.509765215018924","2"
"Not at all","2004","16-34 y.","Rural Area","1463","0.760991638358408","0.741733951006883","0.780249325709933","3"
"Not at all","2004","35-65 y.","Urban Area","4387","0.496281169635286","0.485479120085412","0.507083219185159","3"
"Not at all","2004","35-65 y.","Rural Area","1893","0.469167742292517","0.453698486475205","0.484636998109829","3"
"Not at all","2004","16-34 y.","Urban Area","2967","0.778857938140519","0.765569588489053","0.792146287791986","3"
"Not at all","2004","66 and older","Urban Area","458","0.157831002965651","0.143539632751758","0.172122373179544","3"
"Not at all","2004","66 and older","Rural Area","202","0.146147941083886","0.126810823229448","0.165485058938325","3"
"Strong","2004","16-34 y.","Urban Area","67","0.0245962717265375","0.0196368265791278","0.0295557168739472","1"
"Strong","2004","16-34 y.","Rural Area","45","0.0317774475345236","0.0238569083999072","0.0396979866691399","1"
"Strong","2004","35-65 y.","Urban Area","899","0.133901607640272","0.126544202265176","0.141259013015367","1"
"Strong","2004","35-65 y.","Rural Area","490","0.131133898330845","0.120670792717685","0.141597003944004","1"
"Strong","2004","66 and older","Urban Area","916","0.395548021669933","0.376380825103496","0.414715218236369","1"
"Strong","2004","66 and older","Rural Area","447","0.371439860879044","0.344990099973324","0.397889621784764","1"
"A little","2005","35-65 y.","Urban Area","","","","","2"
"A little","2005","35-65 y.","Rural Area","","","","","2"
"A little","2005","16-34 y.","Urban Area","","","","","2"
"A little","2005","16-34 y.","Rural Area","","","","","2"
"A little","2005","66 and older","Urban Area","","","","","2"
"A little","2005","66 and older","Rural Area","","","","","2"
"Not at all","2005","16-34 y.","Rural Area","","","","","3"
"Not at all","2005","35-65 y.","Urban Area","","","","","3"
"Not at all","2005","35-65 y.","Rural Area","","","","","3"
"Not at all","2005","16-34 y.","Urban Area","","","","","3"
"Not at all","2005","66 and older","Urban Area","","","","","3"
"Not at all","2005","66 and older","Rural Area","","","","","3"
"Strong","2005","16-34 y.","Urban Area","","","","","1"
"Strong","2005","16-34 y.","Rural Area","","","","","1"
"Strong","2005","35-65 y.","Urban Area","","","","","1"
"Strong","2005","35-65 y.","Rural Area","","","","","1"
"Strong","2005","66 and older","Urban Area","","","","","1"
"Strong","2005","66 and older","Rural Area","","","","","1"
"A little","2006","35-65 y.","Urban Area","2906","0.371167102185813","0.360754147938242","0.381580056433383","2"
"A little","2006","35-65 y.","Rural Area","1743","0.410934615517695","0.395947569703564","0.425921661331826","2"
"A little","2006","16-34 y.","Urban Area","635","0.195249201509878","0.181940869118802","0.208557533900954","2"
"A little","2006","16-34 y.","Rural Area","373","0.222192375244546","0.202585761368249","0.241798989120843","2"
"A little","2006","66 and older","Urban Area","1313","0.432285386935712","0.414372214386263","0.450198559485162","2"
"A little","2006","66 and older","Rural Area","711","0.464864812677562","0.439913753144388","0.489815872210735","2"
"Not at all","2006","16-34 y.","Rural Area","1314","0.75557559004445","0.735307483927064","0.775843696161837","3"
"Not at all","2006","35-65 y.","Urban Area","4452","0.506731279650998","0.495955412218394","0.517507147083602","3"
"Not at all","2006","35-65 y.","Rural Area","1869","0.448811630608166","0.433661024954534","0.463962236261799","3"
"Not at all","2006","16-34 y.","Urban Area","2712","0.788397213216146","0.774684243095468","0.802110183336823","3"
"Not at all","2006","66 and older","Urban Area","572","0.17022089701284","0.156631196704581","0.183810597321099","3"
"Not at all","2006","66 and older","Rural Area","266","0.153764028698976","0.135718607774925","0.171809449623028","3"
"Strong","2006","16-34 y.","Urban Area","61","0.0163535852739762","0.0120954025406455","0.0206117680073068","1"
"Strong","2006","16-34 y.","Rural Area","40","0.022232034711004","0.0152784391032501","0.0291856303187579","1"
"Strong","2006","35-65 y.","Urban Area","911","0.122101618163189","0.115044873084146","0.129158363242232","1"
"Strong","2006","35-65 y.","Rural Area","528","0.140253753874139","0.129676076623722","0.150831431124556","1"
"Strong","2006","66 and older","Urban Area","1053","0.397493716051448","0.379798000878145","0.415189431224751","1"
"Strong","2006","66 and older","Rural Area","558","0.381371158623462","0.357072466070407","0.405669851176517","1"
"A little","2007","16-34 y.","Urban Area","","","","","2"
"A little","2007","16-34 y.","Rural Area","","","","","2"
