"ple0005","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","general elemantary","East Germany","135","0.324066764930633","0.279726799130959","0.368406730730307","2"
"A little","2002","higher vocational","West Germany","438","0.358949153438154","0.332812880391533","0.385085426484775","2"
"A little","2002","in school","West Germany","41","0.108840391262902","0.080379927710646","0.137300854815158","2"
"A little","2002","in school","East Germany","24","","","","2"
"A little","2002","inadequately","West Germany","95","0.327351635418265","0.270747595263943","0.383955675572587","2"
"A little","2002","inadequately","East Germany","5","","","","2"
"A little","2002","general elemantary","West Germany","841","0.354139745906096","0.33532097201924","0.372958519792951","2"
"A little","2002","middle vocational","West Germany","2975","0.361796968054424","0.351713680428212","0.371880255680636","2"
"A little","2002","middle vocational","East Germany","1181","0.413846594759357","0.3958806508985","0.431812538620213","2"
"A little","2002","vocational + Abi","West Germany","315","0.314052684067371","0.285817147215597","0.342288220919146","2"
"A little","2002","vocational + Abi","East Germany","35","0.264075294959552","0.189711458897516","0.338439131021588","2"
"A little","2002","higher vocational","East Germany","221","0.483623984139268","0.437554237904503","0.529693730374032","2"
"A little","2002","higher education","West Germany","981","0.31492740069149","0.298908955745607","0.330945845637373","2"
"A little","2002","higher education","East Germany","566","0.464496494015886","0.437611821982784","0.491381166048987","2"
"Not at all","2002","higher education","West Germany","2033","0.596239856668439","0.579319128261058","0.61316058507582","3"
"Not at all","2002","higher education","East Germany","612","0.397495910670077","0.371115673516527","0.423876147823627","3"
"Not at all","2002","higher vocational","East Germany","166","0.357146813363963","0.312973684330948","0.401319942396977","3"
"Not at all","2002","higher vocational","West Germany","701","0.493328450357869","0.466088124827715","0.520568775888023","3"
"Not at all","2002","vocational + Abi","East Germany","88","0.630814869449189","0.54940927197145","0.712220466926928","3"
"Not at all","2002","middle vocational","East Germany","1265","0.421964782734932","0.403949546905561","0.439980018564304","3"
"Not at all","2002","vocational + Abi","West Germany","628","0.569592027014837","0.539470879092021","0.599713174937654","3"
"Not at all","2002","middle vocational","West Germany","4551","0.479749501876693","0.469266062667807","0.49023294108558","3"
