"ple0005","year","n","percent","lower_confidence","upper_confidence"
"Strong","2002","3014","0.157909514604405","0.153202461941943","0.162616567266866"
"A little","2002","7894","0.357454039069924","0.351267785305501","0.363640292834347"
"Not at all","2002","12147","0.484636446325671","0.478185396228107","0.491087496423235"
"Strong","2003","","","",""
"A little","2003","","","",""
"Not at all","2003","","","",""
"Strong","2004","2864","0.16398201583792","0.159048967751156","0.168915063924684"
"A little","2004","7407","0.352893874202652","0.346527102991493","0.359260645413811"
"Not at all","2004","11370","0.483124109959428","0.476466291921471","0.489781927997385"
"Strong","2005","","","",""
"A little","2005","","","",""
"Not at all","2005","","","",""
"Strong","2006","3151","0.162179269691225","0.157310242039012","0.167048297343439"
"A little","2006","7681","0.353982970667524","0.347666387949138","0.360299553385909"
"Not at all","2006","11185","0.483837759641251","0.477236724960883","0.490438794321619"
"Strong","2007","","","",""
"A little","2007","","","",""
"Not at all","2007","","","",""
"Strong","2008","2764","0.159422964660467","0.15426827356729","0.164577655753644"
"A little","2008","6808","0.362108767100051","0.355341220111645","0.368876314088458"
"Not at all","2008","9802","0.478468268239482","0.471434219349851","0.485502317129112"
"Strong","2009","","","",""
"A little","2009","","","",""
"Not at all","2009","","","",""
"Strong","2010","2451","0.168552586637559","0.162873153032941","0.174232020242178"
"A little","2010","6249","0.385383623508751","0.378000015800584","0.392767231216919"
"Not at all","2010","7990","0.446063789853689","0.438522453951484","0.453605125755895"
"Strong","2011","","","",""
"A little","2011","","","",""
"Not at all","2011","","","",""
"Strong","2012","3162","0.163794935493924","0.158734339706244","0.168855531281604"
"A little","2012","7526","0.373523529881864","0.366908887293497","0.380138172470232"
"Not at all","2012","9857","0.462681534624212","0.455863613309322","0.469499455939102"
"Strong","2013","","","",""
"A little","2013","","","",""
"Not at all","2013","","","",""
"Strong","2014","3637","0.158225526194108","0.153884430850653","0.162566621537564"
"A little","2014","9052","0.351745004784717","0.346064981980077","0.357425027589357"
"Not at all","2014","14461","0.490029469021175","0.484083169058796","0.495975768983553"
"Strong","2015","","","",""
"A little","2015","","","",""
"Not at all","2015","","","",""
"Strong","2016","3628","0.154704387528905","0.150517966608895","0.158890808448914"
"A little","2016","9342","0.351517042097861","0.345989783990011","0.357044300205711"
"Not at all","2016","15693","0.493778570373234","0.487990635294433","0.499566505452035"
"Strong","2017","282","0.080815428539777","0.0708923277257885","0.0907385293537655"
"A little","2017","728","0.22823184665781","0.212951597023869","0.24351209629175"
"Not at all","2017","1888","0.690952724802413","0.674128482020585","0.707776967584242"
"Strong","2018","3916","0.150364945149481","0.146318443326076","0.154411446972887"
"A little","2018","9911","0.353330666621089","0.347919112221818","0.35874222102036"
"Not at all","2018","16145","0.49630438822943","0.490643971963771","0.501964804495088"
"Strong","2019","40","0.167091470656813","0.123238250573258","0.210944690740367"
"A little","2019","60","0.191661430763566","0.145392474088513","0.237930387438619"
"Not at all","2019","178","0.641247098579621","0.584865665464068","0.697628531695175"
