"ple0005","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Strong","2002","1-pers.-HH","no migration background","566","0.22778765162216","0.211914902064653","0.243660401179667"
"Strong","2002","1-pers.-HH","direct migration background","51","0.238051567364545","0.184281834062145","0.291821300666945"
"Strong","2002","1-pers.-HH","indirect migration background","9","","",""
"Strong","2002","(Married) couple without C. ","no migration background","1252","0.216523933008078","0.206568365233066","0.226479500783089"
"Strong","2002","(Married) couple without C. ","direct migration background","182","0.238683523306857","0.208806415854134","0.268560630759579"
"Strong","2002","(Married) couple without C. ","indirect migration background","8","","",""
"Strong","2002","Single parent ","no migration background","92","0.100045762337001","0.0808022556559529","0.119289269018049"
"Strong","2002","Single parent ","direct migration background","16","","",""
"Strong","2002","Single parent ","indirect migration background","2","","",""
"Strong","2002","Couple + C. LE 16 ","no migration background","175","0.0513091112819226","0.0443172632187419","0.0583009593451032"
"Strong","2002","Couple + C. LE 16 ","direct migration background","30","0.0421348515461625","0.0277282776862507","0.0565414254060743"
"Strong","2002","Couple + C. LE 16 ","indirect migration background","3","","",""
"Strong","2002","Couple + C. GT 16 ","no migration background","306","0.112955296979521","0.102236359401632","0.123674234557411"
"Strong","2002","Couple + C. GT 16 ","direct migration background","59","0.128138496340631","0.0969429670200129","0.159334025661248"
"Strong","2002","Couple + C. GT 16 ","indirect migration background","8","","",""
"Strong","2002","Couple + C. LE and GT 16","no migration background","76","0.0528627045676701","0.0416175703734875","0.0641078387618527"
"Strong","2002","Couple + C. LE and GT 16","direct migration background","21","","",""
"Strong","2002","Couple + C. LE and GT 16","indirect migration background","4","","",""
"A little","2002","1-pers.-HH","no migration background","932","0.361519791643914","0.343337087885935","0.379702495401893"
"A little","2002","1-pers.-HH","direct migration background","88","0.378172492351847","0.316948802173161","0.439396182530533"
"A little","2002","1-pers.-HH","indirect migration background","16","","",""
"A little","2002","(Married) couple without C. ","no migration background","2752","0.42943344557608","0.417468759714666","0.441398131437493"
"A little","2002","(Married) couple without C. ","direct migration background","325","0.440070400861678","0.405278952647715","0.47486184907564"
"A little","2002","(Married) couple without C. ","indirect migration background","23","","",""
