"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Not at all","2004","16-34 y.","Not Working","1402","0.808813206332261","0.790053979634485","0.827572433030037"
"Not at all","2004","35-65 y.","Full Time","3589","0.562409135337257","0.549963956689138","0.574854313985375"
"Not at all","2004","35-65 y.","Part Time","1646","0.491011730396147","0.473698845475871","0.508324615316423"
"Not at all","2004","35-65 y.","Not Working","1045","0.344716598918342","0.327480935910794","0.361952261925889"
"Not at all","2004","66 and older","Full Time","15","","",""
"Not at all","2004","66 and older","Part Time","64","0.328766943699756","0.260518439522041","0.397015447877471"
"Not at all","2004","66 and older","Not Working","581","0.142642357373751","0.131148323294816","0.154136391452686"
"Strong","2005","16-34 y.","Full Time","","","",""
"Strong","2005","16-34 y.","Part Time","","","",""
"Strong","2005","16-34 y.","Not Working","","","",""
"Strong","2005","35-65 y.","Full Time","","","",""
"Strong","2005","35-65 y.","Part Time","","","",""
"Strong","2005","35-65 y.","Not Working","","","",""
"Strong","2005","66 and older","Full Time","","","",""
"Strong","2005","66 and older","Part Time","","","",""
"Strong","2005","66 and older","Not Working","","","",""
"A little","2005","16-34 y.","Full Time","","","",""
"A little","2005","16-34 y.","Part Time","","","",""
"A little","2005","16-34 y.","Not Working","","","",""
"A little","2005","35-65 y.","Full Time","","","",""
"A little","2005","35-65 y.","Part Time","","","",""
"A little","2005","35-65 y.","Not Working","","","",""
"A little","2005","66 and older","Full Time","","","",""
"A little","2005","66 and older","Part Time","","","",""
"A little","2005","66 and older","Not Working","","","",""
"Not at all","2005","16-34 y.","Full Time","","","",""
"Not at all","2005","16-34 y.","Part Time","","","",""
"Not at all","2005","16-34 y.","Not Working","","","",""
"Not at all","2005","35-65 y.","Full Time","","","",""
"Not at all","2005","35-65 y.","Part Time","","","",""
"Not at all","2005","35-65 y.","Not Working","","","",""
"Not at all","2005","66 and older","Full Time","","","",""
"Not at all","2005","66 and older","Part Time","","","",""
"Not at all","2005","66 and older","Not Working","","","",""
"Strong","2006","16-34 y.","Full Time","34","0.0125862964227268","0.00785309573332159","0.0173194971121319"
"Strong","2006","16-34 y.","Part Time","39","0.0237355748453962","0.0160602022357739","0.0314109474550184"
"Strong","2006","16-34 y.","Not Working","28","","",""
"Strong","2006","35-65 y.","Full Time","436","0.0766735309824727","0.0700723540325721","0.0832747079323734"
"Strong","2006","35-65 y.","Part Time","316","0.113244267322276","0.102392855143059","0.124095679501493"
"Strong","2006","35-65 y.","Not Working","687","0.247830001870448","0.232094380751317","0.26356562298958"
"Strong","2006","66 and older","Full Time","11","","",""
"Strong","2006","66 and older","Part Time","45","0.264789758587636","0.207768008955684","0.321811508219588"
"Strong","2006","66 and older","Not Working","1555","0.401117633585148","0.386266524324019","0.415968742846278"
