"ple0005","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","16-34 y.","general elemantary","200","0.202673780354826","0.178254124829124","0.227093435880527","2"
"A little","2002","16-34 y.","higher vocational","65","0.240293034680037","0.1925767766972","0.288009292662873","2"
"A little","2002","16-34 y.","higher education","123","0.203422472727878","0.17191396680292","0.234930978652837","2"
"A little","2002","66 and older","in school","","","","","2"
"A little","2002","66 and older","inadequately","24","","","","2"
"A little","2002","66 and older","general elemantary","338","0.402888704961524","0.368900886744966","0.436876523178083","2"
"A little","2002","66 and older","higher vocational","131","0.534002765874819","0.471282429773275","0.596723101976362","2"
"A little","2002","66 and older","higher education","289","0.528631017236077","0.486683577120176","0.570578457351977","2"
"A little","2002","16-34 y.","in school","65","0.123859849546575","0.0978033560461066","0.149916343047043","2"
"A little","2002","16-34 y.","inadequately","9","","","","2"
"A little","2002","16-34 y.","vocational + Abi","101","0.218694587226578","0.180837710084013","0.256551464369142","2"
"A little","2002","66 and older","vocational + Abi","43","0.411152998511342","0.314714363245","0.507591633777684","2"
"A little","2002","16-34 y.","middle vocational","602","0.222323548480207","0.207200407803607","0.237446689156806","2"
"A little","2002","66 and older","middle vocational","890","0.477365917319351","0.454715081965343","0.500016752673359","2"
"A little","2002","35-65 y.","in school","","","","","2"
"A little","2002","35-65 y.","inadequately","67","0.416901209690616","0.340741934734818","0.493060484646415","2"
"A little","2002","35-65 y.","vocational + Abi","206","0.359098108636072","0.321182950768307","0.397013266503837","2"
"A little","2002","35-65 y.","higher vocational","463","0.380309029953185","0.352784491771924","0.407833568134446","2"
"A little","2002","35-65 y.","general elemantary","438","0.425267616059374","0.395617496064181","0.454917736054567","2"
"A little","2002","35-65 y.","middle vocational","2664","0.392623056289137","0.381049446393067","0.404196666185208","2"
"A little","2002","35-65 y.","higher education","1135","0.34976419576556","0.333689283160161","0.365839108370958","2"
"Not at all","2002","66 and older","general elemantary","115","0.130807344166726","0.107441730824834","0.154172957508617","3"
"Not at all","2002","66 and older","inadequately","3","","","","3"
"Not at all","2002","66 and older","higher education","127","0.192686983852249","0.159543679279498","0.225830288425","3"
"Not at all","2002","66 and older","in school","","","","","3"
"Not at all","2002","66 and older","higher vocational","40","0.147559532491722","0.10296715592837","0.192151909055074","3"
"Not at all","2002","66 and older","vocational + Abi","19","","","","3"
"Not at all","2002","66 and older","middle vocational","326","0.166086274223112","0.149209591434655","0.182962957011569","3"
"Not at all","2002","35-65 y.","middle vocational","3288","0.469258720162887","0.457431044720847","0.481086395604927","3"
"Not at all","2002","35-65 y.","vocational + Abi","351","0.530785920033137","0.491344208904314","0.570227631161961","3"
"Not at all","2002","35-65 y.","higher vocational","595","0.488005482771468","0.459664876002614","0.516346089540322","3"
"Not at all","2002","35-65 y.","higher education","2029","0.575142436693524","0.558480139011209","0.591804734375839","3"
"Not at all","2002","16-34 y.","higher vocational","232","0.726394702186507","0.676607087709525","0.776182316663489","3"
"Not at all","2002","16-34 y.","higher education","489","0.759716035510836","0.726273256299144","0.793158814722528","3"
"Not at all","2002","35-65 y.","in school","","","","","3"
"Not at all","2002","35-65 y.","inadequately","58","0.346646627378746","0.273135562962955","0.420157691794536","3"
"Not at all","2002","35-65 y.","general elemantary","398","0.364941654855956","0.336069380435522","0.39381392927639","3"
"Not at all","2002","16-34 y.","in school","541","0.863626006597669","0.836480838186873","0.890771175008466","3"
"Not at all","2002","16-34 y.","inadequately","50","0.84374761667917","0.754791112268188","0.932704121090153","3"
"Not at all","2002","16-34 y.","general elemantary","818","0.772380076629919","0.74690922922397","0.797850924035869","3"
"Not at all","2002","16-34 y.","middle vocational","2202","0.745261165988935","0.729413999918531","0.761108332059338","3"
"Not at all","2002","16-34 y.","vocational + Abi","346","0.755916713254297","0.71657789158233","0.795255534926263","3"
"Strong","2002","16-34 y.","in school","8","","","","1"
"Strong","2002","16-34 y.","inadequately","5","","","","1"
"Strong","2002","16-34 y.","general elemantary","23","","","","1"
"Strong","2002","16-34 y.","middle vocational","100","0.0324152855308585","0.0259740495507099","0.0388565215110072","1"
"Strong","2002","16-34 y.","vocational + Abi","11","","","","1"
"Strong","2002","16-34 y.","higher vocational","11","","","","1"
"Strong","2002","16-34 y.","higher education","15","","","","1"
"Strong","2002","35-65 y.","in school","","","","","1"
"Strong","2002","35-65 y.","inadequately","36","0.236452162930638","0.170818759665897","0.30208556619538","1"
"Strong","2002","35-65 y.","general elemantary","232","0.20979072908467","0.185371796767811","0.234209661401529","1"
"Strong","2002","35-65 y.","middle vocational","887","0.138118223547976","0.129941089256114","0.146295357839837","1"
"Strong","2002","35-65 y.","vocational + Abi","58","0.110115971330791","0.0853758174652979","0.134856125196284","1"
"Strong","2002","35-65 y.","higher vocational","137","0.131685487275347","0.112513301622902","0.150857672927792","1"
"Strong","2002","35-65 y.","higher education","217","0.0750933675409162","0.0662100488497295","0.0839766862321029","1"
"Strong","2002","66 and older","in school","","","","","1"
"Strong","2002","66 and older","inadequately","28","","","","1"
"Strong","2002","66 and older","general elemantary","347","0.46630395087175","0.431735124205178","0.500872777538322","1"
"Strong","2002","66 and older","middle vocational","652","0.356547808457537","0.334826965134474","0.378268651780599","1"
"Strong","2002","66 and older","vocational + Abi","38","0.440026860327828","0.342736170506618","0.537317550149039","1"
"Strong","2002","66 and older","higher vocational","72","0.318437701633459","0.259863014987823","0.377012388279095","1"
"Strong","2002","66 and older","higher education","128","0.278681998911674","0.241005851721214","0.316358146102135","1"
"A little","2003","16-34 y.","in school","","","","","2"
"A little","2003","16-34 y.","inadequately","","","","","2"
"A little","2003","16-34 y.","general elemantary","","","","","2"
"A little","2003","16-34 y.","higher vocational","","","","","2"
"A little","2003","16-34 y.","higher education","","","","","2"
"A little","2003","66 and older","in school","","","","","2"
"A little","2003","66 and older","inadequately","","","","","2"
"A little","2003","66 and older","general elemantary","","","","","2"
"A little","2003","66 and older","higher vocational","","","","","2"
"A little","2003","66 and older","higher education","","","","","2"
"A little","2003","66 and older","middle vocational","","","","","2"
"A little","2003","66 and older","vocational + Abi","","","","","2"
"A little","2003","16-34 y.","vocational + Abi","","","","","2"
"A little","2003","35-65 y.","vocational + Abi","","","","","2"
"A little","2003","35-65 y.","higher vocational","","","","","2"
"A little","2003","16-34 y.","middle vocational","","","","","2"
"A little","2003","35-65 y.","inadequately","","","","","2"
"A little","2003","35-65 y.","middle vocational","","","","","2"
"A little","2003","35-65 y.","higher education","","","","","2"
"A little","2003","35-65 y.","in school","","","","","2"
"A little","2003","35-65 y.","general elemantary","","","","","2"
"Not at all","2003","66 and older","higher vocational","","","","","3"
"Not at all","2003","66 and older","higher education","","","","","3"
"Not at all","2003","66 and older","in school","","","","","3"
"Not at all","2003","66 and older","inadequately","","","","","3"
"Not at all","2003","66 and older","general elemantary","","","","","3"
"Not at all","2003","66 and older","middle vocational","","","","","3"
"Not at all","2003","66 and older","vocational + Abi","","","","","3"
"Not at all","2003","35-65 y.","middle vocational","","","","","3"
"Not at all","2003","35-65 y.","vocational + Abi","","","","","3"
"Not at all","2003","35-65 y.","higher vocational","","","","","3"
"Not at all","2003","35-65 y.","higher education","","","","","3"
"Not at all","2003","16-34 y.","higher vocational","","","","","3"
"Not at all","2003","16-34 y.","higher education","","","","","3"
"Not at all","2003","35-65 y.","in school","","","","","3"
"Not at all","2003","35-65 y.","inadequately","","","","","3"
"Not at all","2003","35-65 y.","general elemantary","","","","","3"
"Not at all","2003","16-34 y.","in school","","","","","3"
"Not at all","2003","16-34 y.","inadequately","","","","","3"
"Not at all","2003","16-34 y.","general elemantary","","","","","3"
"Not at all","2003","16-34 y.","middle vocational","","","","","3"
"Not at all","2003","16-34 y.","vocational + Abi","","","","","3"
"Strong","2003","16-34 y.","in school","","","","","1"
"Strong","2003","16-34 y.","inadequately","","","","","1"
"Strong","2003","16-34 y.","general elemantary","","","","","1"
"Strong","2003","16-34 y.","middle vocational","","","","","1"
"Strong","2003","16-34 y.","vocational + Abi","","","","","1"
"Strong","2003","16-34 y.","higher vocational","","","","","1"
"Strong","2003","16-34 y.","higher education","","","","","1"
"Strong","2003","35-65 y.","in school","","","","","1"
"Strong","2003","35-65 y.","inadequately","","","","","1"
"Strong","2003","35-65 y.","general elemantary","","","","","1"
"Strong","2003","35-65 y.","middle vocational","","","","","1"
"Strong","2003","35-65 y.","vocational + Abi","","","","","1"
"Strong","2003","35-65 y.","higher vocational","","","","","1"
"Strong","2003","35-65 y.","higher education","","","","","1"
"Strong","2003","66 and older","in school","","","","","1"
"Strong","2003","66 and older","inadequately","","","","","1"
"Strong","2003","66 and older","general elemantary","","","","","1"
"Strong","2003","66 and older","middle vocational","","","","","1"
"Strong","2003","66 and older","vocational + Abi","","","","","1"
"Strong","2003","66 and older","higher vocational","","","","","1"
"Strong","2003","66 and older","higher education","","","","","1"
"A little","2004","16-34 y.","higher vocational","65","0.272068249975439","0.21744692088774","0.326689579063138","2"
"A little","2004","16-34 y.","higher education","94","0.18100585367106","0.148651304700524","0.213360402641596","2"
"A little","2004","66 and older","higher vocational","123","0.462384540402382","0.401189598361616","0.523579482443147","2"
"A little","2004","66 and older","higher education","327","0.543852022593155","0.504709739876072","0.582994305310239","2"
