"ple0005","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Full Time","Urban Area","327","0.0553450148799527","0.0497343592130446","0.0609556705468608"
"Strong","2002","Full Time","Rural Area","199","0.0680486474222684","0.0592932167256918","0.076804078118845"
"Strong","2002","Part Time","Urban Area","263","0.0886736390291299","0.0793603844623335","0.0979868935959264"
"Strong","2002","Part Time","Rural Area","134","0.0871472378446903","0.0735462563467505","0.10074821934263"
"Strong","2002","Not Working","Urban Area","1343","0.291177560456806","0.27912500868166","0.303230112231952"
"Strong","2002","Not Working","Rural Area","748","0.287043510042293","0.270311237934038","0.303775782150547"
"A little","2002","Full Time","Urban Area","1877","0.305259242829059","0.293959109913795","0.316559375744322"
"A little","2002","Full Time","Rural Area","1086","0.331177903773839","0.314815122413516","0.347540685134161"
"A little","2002","Part Time","Urban Area","1141","0.330703351583601","0.315290043290975","0.346116659876228"
"A little","2002","Part Time","Rural Area","598","0.38924181613586","0.365729930416817","0.412753701854903"
"A little","2002","Not Working","Urban Area","2049","0.392654564102926","0.379699053430623","0.405610074775228"
"A little","2002","Not Working","Rural Area","1143","0.430459932963313","0.412146150670258","0.448773715256368"
"Not at all","2002","Full Time","Urban Area","4176","0.639395742290989","0.627613226058297","0.65117825852368"
"Not at all","2002","Full Time","Rural Area","1893","0.600773448803893","0.5837465239835","0.617800373624286"
"Not at all","2002","Part Time","Urban Area","2175","0.580623009387269","0.564456484971615","0.596789533802922"
"Not at all","2002","Part Time","Rural Area","920","0.52361094601945","0.499526962851702","0.547694929187198"
"Not at all","2002","Not Working","Urban Area","2066","0.316167875440268","0.30383214288029","0.328503608000246"
"Not at all","2002","Not Working","Rural Area","917","0.282496556994394","0.265844491377185","0.299148622611603"
"Strong","2003","Full Time","Urban Area","","","",""
"Strong","2003","Full Time","Rural Area","","","",""
"Strong","2003","Part Time","Urban Area","","","",""
"Strong","2003","Part Time","Rural Area","","","",""
"Strong","2003","Not Working","Urban Area","","","",""
"Strong","2003","Not Working","Rural Area","","","",""
"A little","2003","Full Time","Urban Area","","","",""
"A little","2003","Full Time","Rural Area","","","",""
"A little","2003","Part Time","Urban Area","","","",""
"A little","2003","Part Time","Rural Area","","","",""
"A little","2003","Not Working","Urban Area","","","",""
"A little","2003","Not Working","Rural Area","","","",""
"Not at all","2003","Full Time","Urban Area","","","",""
"Not at all","2003","Full Time","Rural Area","","","",""
"Not at all","2003","Part Time","Urban Area","","","",""
"Not at all","2003","Part Time","Rural Area","","","",""
"Not at all","2003","Not Working","Urban Area","","","",""
"Not at all","2003","Not Working","Rural Area","","","",""
"Strong","2004","Full Time","Urban Area","274","0.0599243712670337","0.0537317259603595","0.0661170165737079"
"Strong","2004","Full Time","Rural Area","154","0.0596223931269248","0.0508721712346122","0.0683726150192374"
"Strong","2004","Part Time","Urban Area","244","0.0933032345098495","0.0835366793500143","0.103069789669685"
"Strong","2004","Part Time","Rural Area","119","0.091143543863977","0.0770979045707118","0.105189183157242"
"Strong","2004","Not Working","Urban Area","1364","0.296588748581002","0.284436681130959","0.308740816031046"
"Strong","2004","Not Working","Rural Area","709","0.285795390699486","0.268872665445846","0.302718115953126"
"A little","2004","Full Time","Urban Area","1696","0.318610719016605","0.306453873276883","0.330767564756328"
"A little","2004","Full Time","Rural Area","944","0.333034043240479","0.3156176038179","0.350450482663058"
"A little","2004","Part Time","Urban Area","1111","0.325950757696165","0.310211514929147","0.341690000463182"
"A little","2004","Part Time","Rural Area","592","0.358611418877177","0.335206692062268","0.382016145692085"
"A little","2004","Not Working","Urban Area","1976","0.37806988636908","0.36516883761512","0.390970935123041"
"A little","2004","Not Working","Rural Area","1088","0.410062634552755","0.391639674088133","0.428485595017378"
