"ple0005","year","age_gr","n","percent","lower_confidence","upper_confidence"
"A little","2010","66 and older","1938","0.475985173363425","0.460596412465342","0.491373934261508"
"Not at all","2010","16-34 y.","2803","0.786234301554284","0.772808806686259","0.799659796422309"
"Not at all","2010","35-65 y.","4416","0.443718788650033","0.433489694703505","0.453947882596561"
"Not at all","2010","66 and older","771","0.171687921091764","0.160068031005481","0.183307811178047"
"Strong","2011","16-34 y.","","","",""
"Strong","2011","35-65 y.","","","",""
"Strong","2011","66 and older","","","",""
"A little","2011","16-34 y.","","","",""
"A little","2011","35-65 y.","","","",""
"A little","2011","66 and older","","","",""
"Not at all","2011","16-34 y.","","","",""
"Not at all","2011","35-65 y.","","","",""
"Not at all","2011","66 and older","","","",""
"Strong","2012","16-34 y.","91","0.023302421872898","0.0187058565797414","0.0278989871660547"
"Strong","2012","35-65 y.","1387","0.130547291983235","0.124304222220697","0.136790361745773"
"Strong","2012","66 and older","1684","0.346508037674603","0.333599126240185","0.359416949109022"
"A little","2012","16-34 y.","823","0.204119345646013","0.191838764878657","0.216399926413368"
"A little","2012","35-65 y.","4299","0.404437612985378","0.395343074351799","0.413532151618957"
"A little","2012","66 and older","2404","0.45679280176791","0.443279694523964","0.470305909011857"
"Not at all","2012","16-34 y.","3224","0.772578232481089","0.759806785730785","0.785349679231394"
"Not at all","2012","35-65 y.","5501","0.465015095031387","0.455772465163399","0.474257724899375"
"Not at all","2012","66 and older","1132","0.196699160557486","0.185915822931453","0.207482498183519"
"Strong","2013","16-34 y.","","","",""
"Strong","2013","35-65 y.","","","",""
"Strong","2013","66 and older","","","",""
"A little","2013","16-34 y.","","","",""
"A little","2013","35-65 y.","","","",""
"A little","2013","66 and older","","","",""
"Not at all","2013","16-34 y.","","","",""
"Not at all","2013","35-65 y.","","","",""
"Not at all","2013","66 and older","","","",""
"Strong","2014","16-34 y.","217","0.0307829806045466","0.0266059821912373","0.0349599790178558"
"Strong","2014","35-65 y.","1854","0.13594473596203","0.130564283714914","0.141325188209147"
"Strong","2014","66 and older","1566","0.32731402177861","0.314299976458445","0.340328067098775"
"A little","2014","16-34 y.","1225","0.179553127656162","0.170271584694419","0.188834670617906"
"A little","2014","35-65 y.","5451","0.368287717083136","0.36071555151566","0.375859882650612"
"A little","2014","66 and older","2376","0.48201966666377","0.468161274831184","0.495878058496356"
"Not at all","2014","16-34 y.","5127","0.789663891739291","0.779808440420236","0.799519343058346"
"Not at all","2014","35-65 y.","8282","0.495767546954834","0.487918421556083","0.503616672353584"
"Not at all","2014","66 and older","1052","0.19066631155762","0.179771377305623","0.201561245809617"
"Strong","2015","16-34 y.","","","",""
"Strong","2015","35-65 y.","","","",""
"Strong","2015","66 and older","","","",""
"A little","2015","16-34 y.","","","",""
"A little","2015","35-65 y.","","","",""
"A little","2015","66 and older","","","",""
"Not at all","2015","16-34 y.","","","",""
"Not at all","2015","35-65 y.","","","",""
"Not at all","2015","66 and older","","","",""
"Strong","2016","16-34 y.","315","0.033292390349839","0.0293925252295342","0.0371922554701439"
"Strong","2016","35-65 y.","1869","0.132146701739316","0.126856029634342","0.13743737384429"
"Strong","2016","66 and older","1444","0.322437405308453","0.30920628872253","0.335668521894376"
"A little","2016","16-34 y.","1563","0.182606092307276","0.174207570409684","0.191004614204867"
"A little","2016","35-65 y.","5486","0.370757695383264","0.363211751575883","0.378303639190645"
"A little","2016","66 and older","2292","0.476548532406947","0.46241043871836","0.490686626095535"
"Not at all","2016","16-34 y.","6251","0.784101517342885","0.775157338564012","0.793045696121758"
"Not at all","2016","35-65 y.","8384","0.497095602877421","0.489284322968913","0.504906882785928"
"Not at all","2016","66 and older","1058","0.2010140622846","0.189669653586458","0.212358470982741"
"Strong","2017","16-34 y.","89","0.0482409860904158","0.038562787738115","0.0579191844427166"
"Strong","2017","35-65 y.","174","0.158841324645341","0.135920959957046","0.181761689333637"
"Strong","2017","66 and older","19","","",""
"A little","2017","16-34 y.","372","0.190634099459312","0.172892381287286","0.208375817631338"
"A little","2017","35-65 y.","348","0.343434230473574","0.31365854849184","0.373209912455307"
"A little","2017","66 and older","8","","",""
"Not at all","2017","16-34 y.","1422","0.761124914450273","0.741865799383542","0.780384029517003"
"Not at all","2017","35-65 y.","455","0.497724444881085","0.466372367976637","0.529076521785534"
"Not at all","2017","66 and older","11","","",""
"Strong","2018","16-34 y.","342","0.0359048585576821","0.0318986053750516","0.0399111117403126"
"Strong","2018","35-65 y.","2087","0.126284931473199","0.121231259403815","0.131338603542583"
"Strong","2018","66 and older","1487","0.307488470602305","0.294812697262635","0.320164243941976"
"A little","2018","16-34 y.","1609","0.188917549461944","0.180488657471921","0.197346441451967"
"A little","2018","35-65 y.","5888","0.370345337368179","0.362998489779849","0.377692184956509"
"A little","2018","66 and older","2414","0.472456787274513","0.4587430252573","0.486170549291726"
"Not at all","2018","16-34 y.","6334","0.775177591980374","0.76618836726365","0.784166816697099"
"Not at all","2018","35-65 y.","8621","0.503369731158622","0.495762851965741","0.510976610351503"
"Not at all","2018","66 and older","1190","0.220054742123181","0.208674697384767","0.231434786861595"
"Strong","2019","16-34 y.","12","","",""
"Strong","2019","35-65 y.","24","","",""
"Strong","2019","66 and older","4","","",""
"A little","2019","16-34 y.","23","","",""
"A little","2019","35-65 y.","35","0.247122726984173","0.172104867499458","0.322140586468887"
"A little","2019","66 and older","2","","",""
"Not at all","2019","16-34 y.","110","0.705748929400598","0.631575522083804","0.779922336717392"
"Not at all","2019","35-65 y.","68","0.572100115461756","0.486049628392044","0.658150602531468"
"Not at all","2019","66 and older","","","",""
