"ple0005","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Not Employed","Male","1228","0.416482494624782","0.399326858649412","0.433638130600153","2"
"A little","2002","Not Employed","Female","1964","0.397309712861149","0.383871846799629","0.41074757892267","2"
"A little","2002","Employed","Male","2352","0.303456592554449","0.293358034048132","0.313555151060766","2"
"A little","2002","Employed","Female","2350","0.353897379468883","0.342554519666444","0.365240239271321","2"
"Not at all","2002","Not Employed","Male","1135","0.315016893367048","0.298851422685499","0.331182364048597","3"
"Not at all","2002","Not Employed","Female","1848","0.299734914595925","0.287153817192099","0.312316011999751","3"
"Not at all","2002","Employed","Male","5152","0.632626174602454","0.622036937126033","0.643215412078874","3"
"Not at all","2002","Employed","Female","4012","0.569232412230746","0.557486156298568","0.580978668162924","3"
"Strong","2002","Not Employed","Male","809","0.268500612008169","0.253077886638781","0.283923337377558","1"
"Strong","2002","Not Employed","Female","1282","0.302955372542925","0.290335986037554","0.315574759048297","1"
"Strong","2002","Employed","Male","458","0.0639172328430974","0.0585444026884039","0.069290062997791","1"
"Strong","2002","Employed","Female","465","0.0768702083003714","0.0705512781886979","0.0831891384120449","1"
"A little","2003","Not Employed","Male","","","","","2"
"A little","2003","Not Employed","Female","","","","","2"
"A little","2003","Employed","Male","","","","","2"
"A little","2003","Employed","Female","","","","","2"
"Not at all","2003","Not Employed","Male","","","","","3"
"Not at all","2003","Not Employed","Female","","","","","3"
"Not at all","2003","Employed","Male","","","","","3"
"Not at all","2003","Employed","Female","","","","","3"
"Strong","2003","Not Employed","Male","","","","","1"
"Strong","2003","Not Employed","Female","","","","","1"
"Strong","2003","Employed","Male","","","","","1"
"Strong","2003","Employed","Female","","","","","1"
"A little","2004","Not Employed","Male","1169","0.374199839628769","0.357560240132173","0.390839439125365","2"
"A little","2004","Not Employed","Female","1895","0.397181913894229","0.383503680090295","0.410860147698163","2"
"A little","2004","Employed","Male","2131","0.299614637111145","0.288992120672574","0.310237153549716","2"
"A little","2004","Employed","Female","2212","0.362229009149918","0.350390374105261","0.374067644194574","2"
"Not at all","2004","Not Employed","Male","1256","0.346829206466327","0.330463134935407","0.363195277997247","3"
"Not at all","2004","Not Employed","Female","1772","0.300140858600506","0.287329062035187","0.312952655165825","3"
"Not at all","2004","Employed","Male","4610","0.636879306528991","0.625727854084816","0.648030758973166","3"
"Not at all","2004","Employed","Female","3732","0.555212034302794","0.542971973150884","0.567452095454704","3"
"Strong","2004","Not Employed","Male","824","0.278970953904904","0.263549365450589","0.294392542359219","1"
"Strong","2004","Not Employed","Female","1249","0.302677227505265","0.289834745921189","0.315519709089341","1"
"Strong","2004","Employed","Male","403","0.0635060563598643","0.0578509936287998","0.0691611190909288","1"
"Strong","2004","Employed","Female","388","0.0825589565472883","0.0757802190225117","0.0893376940720649","1"
"A little","2005","Not Employed","Male","","","","","2"
"A little","2005","Not Employed","Female","","","","","2"
"A little","2005","Employed","Male","","","","","2"
"A little","2005","Employed","Female","","","","","2"
