"ple0005","year","migback","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","indirect migration background","155","0.245792732526076","0.215538358764628","0.276047106287525","2"
"A little","2002","direct migration background","968","0.362176393006291","0.344389830519929","0.379962955492652","2"
"A little","2002","no migration background","6771","0.360420353359086","0.353676707086126","0.367163999632046","2"
"Not at all","2002","indirect migration background","588","0.700325743359874","0.66813484800069","0.732516638719059","3"
"Not at all","2002","direct migration background","1449","0.489501568997989","0.471002242894724","0.508000895101253","3"
"Not at all","2002","no migration background","10110","0.476763278619917","0.469748025957467","0.483778531282367","3"
"Strong","2002","no migration background","2591","0.162816368020997","0.157630729900744","0.16800200614125","1"
"Strong","2002","direct migration background","388","0.148322037995721","0.135169117192904","0.161474958798537","1"
"Strong","2002","indirect migration background","35","0.0538815241140493","0.0380161254235241","0.0697469228045745","1"
"A little","2003","indirect migration background","","","","","2"
"A little","2003","direct migration background","","","","","2"
"A little","2003","no migration background","","","","","2"
"Not at all","2003","indirect migration background","","","","","3"
"Not at all","2003","direct migration background","","","","","3"
"Not at all","2003","no migration background","","","","","3"
"Strong","2003","no migration background","","","","","1"
"Strong","2003","direct migration background","","","","","1"
"Strong","2003","indirect migration background","","","","","1"
"A little","2004","indirect migration background","157","0.225373959222914","0.1965819651905","0.254165953255328","2"
"A little","2004","direct migration background","899","0.353601983667333","0.335013108440147","0.37219085889452","2"
"A little","2004","no migration background","6351","0.358037686436753","0.351089867308441","0.364985505565064","2"
"Not at all","2004","indirect migration background","630","0.752055446912778","0.722299344363062","0.781811549462495","3"
"Not at all","2004","direct migration background","1275","0.484501061241803","0.465069530563028","0.503932591920578","3"
"Not at all","2004","no migration background","9465","0.471826260793477","0.464591755765121","0.479060765821833","3"
"Strong","2004","no migration background","2475","0.17013605276977","0.164690637670518","0.175581467869022","1"
"Strong","2004","direct migration background","367","0.161896955090863","0.147574620735876","0.176219289445851","1"
"Strong","2004","indirect migration background","22","","","","1"
"A little","2005","direct migration background","","","","","2"
"A little","2005","no migration background","","","","","2"
"A little","2005","indirect migration background","","","","","2"
"Not at all","2005","indirect migration background","","","","","3"
"Not at all","2005","direct migration background","","","","","3"
"Not at all","2005","no migration background","","","","","3"
"Strong","2005","no migration background","","","","","1"
"Strong","2005","direct migration background","","","","","1"
"Strong","2005","indirect migration background","","","","","1"
"A little","2006","direct migration background","830","0.340699455694702","0.321682530052585","0.359716381336819","2"
"A little","2006","no migration background","6701","0.363060533220309","0.356188388545947","0.36993267789467","2"
"A little","2006","indirect migration background","150","0.213143220854201","0.185130188686455","0.241156253021948","2"
"Not at all","2006","indirect migration background","630","0.742071012974833","0.712144968129861","0.771997057819805","3"
"Not at all","2006","direct migration background","1151","0.482892400809411","0.462841748003083","0.502943053615738","3"
"Not at all","2006","no migration background","9404","0.471222304192152","0.464088795799247","0.478355812585057","3"
