"ple0005","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Strong","2002","1-pers.-HH","Urban Area","438","0.224607193862447","0.206999799739381","0.242214587985514"
"Strong","2002","1-pers.-HH","Rural Area","188","0.231053726042128","0.202866262613036","0.25924118947122"
"Strong","2002","(Married) couple without C. ","Urban Area","915","0.212031604873593","0.20077374232016","0.223289467427026"
"Strong","2002","(Married) couple without C. ","Rural Area","527","0.229534559833767","0.21268895372716","0.246380165940375"
"Strong","2002","Single parent ","Urban Area","66","0.0958897345277123","0.0745306114013829","0.117248857654042"
"Strong","2002","Single parent ","Rural Area","44","0.0995248739214667","0.0702242017673926","0.128825546075541"
"Strong","2002","Couple + C. LE 16 ","Urban Area","127","0.0395236010505543","0.0328588450863262","0.0461883570147823"
"Strong","2002","Couple + C. LE 16 ","Rural Area","81","0.0692714004796924","0.0562290484826679","0.0823137524767169"
"Strong","2002","Couple + C. GT 16 ","Urban Area","227","0.113612382104378","0.101074708563048","0.126150055645708"
"Strong","2002","Couple + C. GT 16 ","Rural Area","146","0.108601902559013","0.0930115138360784","0.124192291281948"
"Strong","2002","Couple + C. LE and GT 16","Urban Area","57","0.0569923709912174","0.0440155348310568","0.0699692071513779"
"Strong","2002","Couple + C. LE and GT 16","Rural Area","44","0.0595612433994267","0.042333586068172","0.0767889007306814"
"A little","2002","1-pers.-HH","Urban Area","701","0.34344593862249","0.323411055674024","0.363480821570956"
"A little","2002","1-pers.-HH","Rural Area","335","0.40040725731104","0.367640711361129","0.433173803260951"
"A little","2002","(Married) couple without C. ","Urban Area","2001","0.411976247937702","0.398420147872622","0.425532348002782"
"A little","2002","(Married) couple without C. ","Rural Area","1099","0.469345605882149","0.449354432835068","0.489336778929231"
"A little","2002","Single parent ","Urban Area","212","0.308668168340779","0.275158057807607","0.342178278873952"
"A little","2002","Single parent ","Rural Area","118","0.290396252099769","0.245965940554622","0.334826563644915"
"A little","2002","Couple + C. LE 16 ","Urban Area","877","0.288843668319763","0.273340280320517","0.304347056319008"
"A little","2002","Couple + C. LE 16 ","Rural Area","454","0.322180062144963","0.298176599067526","0.3461835252224"
"A little","2002","Couple + C. GT 16 ","Urban Area","767","0.313841653524001","0.295507546969818","0.332175760078184"
"A little","2002","Couple + C. GT 16 ","Rural Area","524","0.346866198321184","0.323016414545385","0.370715982096982"
"A little","2002","Couple + C. LE and GT 16","Urban Area","348","0.272322944090174","0.247404879139423","0.297241009040926"
"A little","2002","Couple + C. LE and GT 16","Rural Area","205","0.296305119354338","0.263066661871941","0.329543576836735"
"Not at all","2002","1-pers.-HH","Urban Area","1019","0.431946867515063","0.411047554296709","0.452846180733417"
"Not at all","2002","1-pers.-HH","Rural Area","336","0.368539016646832","0.336278857447146","0.400799175846518"
"Not at all","2002","(Married) couple without C. ","Urban Area","2148","0.375992147188705","0.362651230953782","0.389333063423628"
"Not at all","2002","(Married) couple without C. ","Rural Area","768","0.301119834284083","0.282743577242067","0.3194960913261"
"Not at all","2002","Single parent ","Urban Area","452","0.595442097131509","0.559838262647037","0.63104593161598"
"Not at all","2002","Single parent ","Rural Area","239","0.610078873978765","0.562341636740035","0.657816111217495"
"Not at all","2002","Couple + C. LE 16 ","Urban Area","2279","0.671632730629683","0.655568552670678","0.687696908588688"
"Not at all","2002","Couple + C. LE 16 ","Rural Area","921","0.608548537375344","0.583478558092999","0.63361851665769"
"Not at all","2002","Couple + C. GT 16 ","Urban Area","1467","0.572545964371621","0.553000671881314","0.592091256861928"
"Not at all","2002","Couple + C. GT 16 ","Rural Area","860","0.544531899119803","0.519577735302967","0.569486062936639"
"Not at all","2002","Couple + C. LE and GT 16","Urban Area","821","0.670684684918608","0.644377885417773","0.696991484419444"
"Not at all","2002","Couple + C. LE and GT 16","Rural Area","476","0.644133637246235","0.609283014173319","0.678984260319151"
"Strong","2003","1-pers.-HH","Urban Area","","","",""
"Strong","2003","1-pers.-HH","Rural Area","","","",""
"Strong","2003","(Married) couple without C. ","Urban Area","","","",""
"Strong","2003","(Married) couple without C. ","Rural Area","","","",""
"Strong","2003","Single parent ","Urban Area","","","",""
"Strong","2003","Single parent ","Rural Area","","","",""
"Strong","2003","Couple + C. LE 16 ","Urban Area","","","",""
"Strong","2003","Couple + C. LE 16 ","Rural Area","","","",""
"Strong","2003","Couple + C. GT 16 ","Urban Area","","","",""
"Strong","2003","Couple + C. GT 16 ","Rural Area","","","",""
"Strong","2003","Couple + C. LE and GT 16","Urban Area","","","",""
"Strong","2003","Couple + C. LE and GT 16","Rural Area","","","",""
"A little","2003","1-pers.-HH","Urban Area","","","",""
"A little","2003","1-pers.-HH","Rural Area","","","",""
"A little","2003","(Married) couple without C. ","Urban Area","","","",""
"A little","2003","(Married) couple without C. ","Rural Area","","","",""
"A little","2003","Single parent ","Urban Area","","","",""
"A little","2003","Single parent ","Rural Area","","","",""
"A little","2003","Couple + C. LE 16 ","Urban Area","","","",""
"A little","2003","Couple + C. LE 16 ","Rural Area","","","",""
"A little","2003","Couple + C. GT 16 ","Urban Area","","","",""
"A little","2003","Couple + C. GT 16 ","Rural Area","","","",""
"A little","2003","Couple + C. LE and GT 16","Urban Area","","","",""
"A little","2003","Couple + C. LE and GT 16","Rural Area","","","",""
"Not at all","2003","1-pers.-HH","Urban Area","","","",""
"Not at all","2003","1-pers.-HH","Rural Area","","","",""
"Not at all","2003","(Married) couple without C. ","Urban Area","","","",""
"Not at all","2003","(Married) couple without C. ","Rural Area","","","",""
"Not at all","2003","Single parent ","Urban Area","","","",""
