"ple0005","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Couple + C. LE 16 ","Female","734","0.330958635631658","0.312117024872823","0.349800246390494","2"
"A little","2002","Couple + C. LE and GT 16","Male","259","0.252943738757438","0.226014773000213","0.279872704514663","2"
"A little","2002","1-pers.-HH","Male","387","0.32573616304122","0.300112309156361","0.35136001692608","2"
"A little","2002","1-pers.-HH","Female","649","0.382725140528617","0.359834553124805","0.40561572793243","2"
"A little","2002","(Married) couple without C. ","Male","1515","0.429065924362708","0.41314387001948","0.444987978705935","2"
"A little","2002","(Married) couple without C. ","Female","1585","0.430547827169322","0.414691465883337","0.446404188455307","2"
"A little","2002","Single parent ","Male","74","0.233200522993191","0.189457727852889","0.276943318133493","2"
"A little","2002","Single parent ","Female","256","0.332771763082744","0.299532615076389","0.366010911089099","2"
"A little","2002","Couple + C. LE 16 ","Male","597","0.269318096089196","0.25135592244904","0.287280269729352","2"
"A little","2002","Couple + C. GT 16 ","Male","645","0.306918353335503","0.287294737635741","0.326541969035266","2"
"A little","2002","Couple + C. GT 16 ","Female","646","0.349780303519392","0.328159532565282","0.371401074473502","2"
"A little","2002","Couple + C. LE and GT 16","Female","294","0.31204692604192","0.282584015270081","0.34150983681376","2"
"Not at all","2002","Couple + C. LE 16 ","Female","1557","0.622908363517115","0.603502176368113","0.642314550666117","3"
"Not at all","2002","Couple + C. GT 16 ","Male","1285","0.583324043467566","0.562347710867824","0.604300376067308","3"
"Not at all","2002","Couple + C. LE and GT 16","Male","693","0.692750024225771","0.664169824741366","0.721330223710177","3"
"Not at all","2002","Couple + C. LE and GT 16","Female","604","0.626037455869929","0.595269368498331","0.656805543241528","3"
"Not at all","2002","1-pers.-HH","Male","743","0.560037013607639","0.532896818628479","0.587177208586799","3"
"Not at all","2002","1-pers.-HH","Female","612","0.307497390288123","0.285765096294432","0.329229684281813","3"
"Not at all","2002","(Married) couple without C. ","Male","1510","0.365976386803529","0.350480253053216","0.381472520553842","3"
"Not at all","2002","(Married) couple without C. ","Female","1406","0.338986658070716","0.323828004778015","0.354145311363417","3"
"Not at all","2002","Single parent ","Male","252","0.680875028924138","0.632656388111197","0.72909366973708","3"
"Not at all","2002","Single parent ","Female","439","0.565329058597985","0.530361090330942","0.600297026865028","3"
"Not at all","2002","Couple + C. LE 16 ","Male","1643","0.680226446607018","0.661341751626202","0.699111141587834","3"
"Not at all","2002","Couple + C. GT 16 ","Female","1042","0.536135998967379","0.513527264165114","0.558744733769643","3"
"Strong","2002","1-pers.-HH","Male","155","0.114226823351141","0.096835131210749","0.131618515491533","1"
"Strong","2002","1-pers.-HH","Female","471","0.30977746918326","0.288000691035274","0.331554247331246","1"
"Strong","2002","(Married) couple without C. ","Male","687","0.204957688833764","0.191971810315063","0.217943567352464","1"
"Strong","2002","(Married) couple without C. ","Female","755","0.230465514759962","0.216979574771796","0.243951454748128","1"
"Strong","2002","Single parent ","Male","33","0.0859244480826705","0.0569343096612983","0.114914586504043","1"
"Strong","2002","Single parent ","Female","77","0.101899178319272","0.0805595265202538","0.123238830118289","1"
"Strong","2002","Couple + C. LE 16 ","Male","103","0.050455457303786","0.0415926013439984","0.0593183132635736","1"
"Strong","2002","Couple + C. LE 16 ","Female","105","0.0461330008512263","0.0377334812331097","0.054532520469343","1"
"Strong","2002","Couple + C. GT 16 ","Male","192","0.109757603196931","0.096457750063847","0.123057456330015","1"
"Strong","2002","Couple + C. GT 16 ","Female","181","0.114083697513229","0.0996707906125036","0.128496604413955","1"
"Strong","2002","Couple + C. LE and GT 16","Male","49","0.0543062370167905","0.0402673987747492","0.0683450752588317","1"
"Strong","2002","Couple + C. LE and GT 16","Female","52","0.0619156180881503","0.0465903758649543","0.0772408603113463","1"
"A little","2003","(Married) couple without C. ","Female","","","","","2"
"A little","2003","Couple + C. LE 16 ","Female","","","","","2"
"A little","2003","(Married) couple without C. ","Male","","","","","2"
"A little","2003","Couple + C. LE and GT 16","Male","","","","","2"
"A little","2003","1-pers.-HH","Female","","","","","2"
"A little","2003","Couple + C. LE 16 ","Male","","","","","2"
"A little","2003","1-pers.-HH","Male","","","","","2"
"A little","2003","Single parent ","Female","","","","","2"
"A little","2003","Single parent ","Male","","","","","2"
"A little","2003","Couple + C. GT 16 ","Male","","","","","2"
"A little","2003","Couple + C. GT 16 ","Female","","","","","2"
"A little","2003","Couple + C. LE and GT 16","Female","","","","","2"
"Not at all","2003","Couple + C. LE 16 ","Female","","","","","3"
"Not at all","2003","(Married) couple without C. ","Female","","","","","3"
"Not at all","2003","1-pers.-HH","Male","","","","","3"
"Not at all","2003","(Married) couple without C. ","Male","","","","","3"
"Not at all","2003","Couple + C. LE 16 ","Male","","","","","3"
"Not at all","2003","1-pers.-HH","Female","","","","","3"
"Not at all","2003","Single parent ","Male","","","","","3"
"Not at all","2003","Couple + C. GT 16 ","Male","","","","","3"
"Not at all","2003","Couple + C. LE and GT 16","Male","","","","","3"
"Not at all","2003","Couple + C. LE and GT 16","Female","","","","","3"
"Not at all","2003","Single parent ","Female","","","","","3"
"Not at all","2003","Couple + C. GT 16 ","Female","","","","","3"
"Strong","2003","1-pers.-HH","Male","","","","","1"
"Strong","2003","1-pers.-HH","Female","","","","","1"
"Strong","2003","(Married) couple without C. ","Male","","","","","1"
"Strong","2003","(Married) couple without C. ","Female","","","","","1"
"Strong","2003","Single parent ","Male","","","","","1"
"Strong","2003","Single parent ","Female","","","","","1"
