"ple0005","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","West Germany","5716","0.344686233075676","0.337667947189278","0.351704518962074","2"
"A little","2002","East Germany","2178","0.412366134321649","0.399283853552996","0.425448415090303","2"
"Not at all","2002","West Germany","9658","0.498788422518895","0.491404907382707","0.506171937655082","3"
"Not at all","2002","East Germany","2489","0.423771277707623","0.41063864580369","0.436903909611556","3"
"Strong","2002","West Germany","2242","0.156525344405429","0.151159688812488","0.161890999998371","1"
"Strong","2002","East Germany","772","0.163862587970728","0.154025483257232","0.173699692684223","1"
"A little","2003","West Germany","","","","","2"
"A little","2003","East Germany","","","","","2"
"Not at all","2003","West Germany","","","","","3"
"Not at all","2003","East Germany","","","","","3"
"Strong","2003","West Germany","","","","","1"
"Strong","2003","East Germany","","","","","1"
"A little","2004","West Germany","5361","0.343228026864246","0.335963084393215","0.350492969335276","2"
"A little","2004","East Germany","2046","0.395408476011859","0.382162460894455","0.408654491129264","2"
"Not at all","2004","West Germany","8941","0.495225095205443","0.487574702972971","0.502875487437915","3"
"Not at all","2004","East Germany","2429","0.429898712203639","0.416486811946728","0.443310612460549","3"
"Strong","2004","West Germany","2105","0.161546877930312","0.155915402681193","0.16717835317943","1"
"Strong","2004","East Germany","759","0.174692811784502","0.164406100202673","0.184979523366332","1"
"A little","2005","West Germany","","","","","2"
"A little","2005","East Germany","","","","","2"
"Not at all","2005","West Germany","","","","","3"
"Not at all","2005","East Germany","","","","","3"
"Strong","2005","West Germany","","","","","1"
"Strong","2005","East Germany","","","","","1"
"A little","2006","West Germany","5478","0.341088467740838","0.333903710476565","0.348273225005111","2"
"A little","2006","East Germany","2203","0.409835657544547","0.396585241128191","0.423086073960902","2"
"Not at all","2006","West Germany","8891","0.500131427568439","0.492553769278367","0.50770908585851","3"
"Not at all","2006","East Germany","2294","0.413261550694721","0.399994544005512","0.42652855738393","3"
"Strong","2006","West Germany","2356","0.158780104690723","0.153241277219926","0.164318932161521","1"
"Strong","2006","East Germany","795","0.176902791760733","0.166621893037605","0.18718369048386","1"
"A little","2007","West Germany","","","","","2"
"A little","2007","East Germany","","","","","2"
"Not at all","2007","West Germany","","","","","3"
"Not at all","2007","East Germany","","","","","3"
"Strong","2007","West Germany","","","","","1"
"Strong","2007","East Germany","","","","","1"
"A little","2008","West Germany","4877","0.348904116643747","0.341169732555849","0.356638500731645","2"
"A little","2008","East Germany","1931","0.420172750671034","0.406188957350175","0.434156543991893","2"
"Not at all","2008","West Germany","7659","0.491110076955969","0.482997635756661","0.499222518155277","3"
"Not at all","2008","East Germany","2143","0.422879233448244","0.408883254709899","0.436875212186589","3"
"Strong","2008","West Germany","2052","0.159985806400284","0.154036939485434","0.165934673315133","1"
"Strong","2008","East Germany","712","0.156948015880722","0.146642568831228","0.167253462930217","1"
"A little","2009","West Germany","","","","","2"
"A little","2009","East Germany","","","","","2"
"Not at all","2009","West Germany","","","","","3"
"Not at all","2009","East Germany","","","","","3"
"Strong","2009","West Germany","","","","","1"
"Strong","2009","East Germany","","","","","1"
"A little","2010","West Germany","4477","0.372681595181834","0.364224223347282","0.381138967016386","2"
"A little","2010","East Germany","1772","0.441056049325117","0.425920650249","0.456191448401235","2"
"Not at all","2010","West Germany","6301","0.462619687788652","0.453898505407271","0.471340870170034","3"
"Not at all","2010","East Germany","1689","0.373500024769467","0.358754212470172","0.388245837068762","3"
"Strong","2010","West Germany","1778","0.164698717029514","0.158211041521309","0.171186392537719","1"
"Strong","2010","East Germany","673","0.185443925905415","0.1735963457786","0.197291506032231","1"
"A little","2011","West Germany","","","","","2"
"A little","2011","East Germany","","","","","2"
"Not at all","2011","West Germany","","","","","3"
"Not at all","2011","East Germany","","","","","3"
"Strong","2011","West Germany","","","","","1"
"Strong","2011","East Germany","","","","","1"
"A little","2012","West Germany","5554","0.367312453460232","0.359767683731283","0.37485722318918","2"
"A little","2012","East Germany","1972","0.401784683569347","0.388004148951396","0.415565218187298","2"
"Not at all","2012","West Germany","7864","0.477529680462444","0.469712241179237","0.48534711974565","3"
