"ple0005","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Strong","2002","1-pers.-HH","(0) in school","","","",""
"Strong","2002","1-pers.-HH","(1a) inadequately completed","11","","",""
"Strong","2002","1-pers.-HH","(1b) general elementary school","168","0.42519492075354","0.377106622699257","0.473283218807823"
"Strong","2002","1-pers.-HH","(1c) basic vocational qualification","248","0.25872459563626","0.230891181204099","0.28655801006842"
"Strong","2002","1-pers.-HH","(2b) intermediate general qualification","13","","",""
"Strong","2002","1-pers.-HH","(2a) intermediate vocational","103","0.176631188538982","0.14764653122041","0.205615845857554"
"Strong","2002","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Strong","2002","1-pers.-HH","(2c_voc) vocational maturity certificate","28","","",""
"Strong","2002","1-pers.-HH","(3a) lower tertiary education","29","","",""
"Strong","2002","1-pers.-HH","(3b) higher tertiary education","23","","",""
"Strong","2002","(Married) couple without C. ","(0) in school","","","",""
"Strong","2002","(Married) couple without C. ","(1a) inadequately completed","30","0.286248778684064","0.1943833998904","0.378114157477729"
"Strong","2002","(Married) couple without C. ","(1b) general elementary school","224","0.322676452234266","0.288855815090358","0.356497089378174"
"Strong","2002","(Married) couple without C. ","(1c) basic vocational qualification","718","0.258184422104241","0.241916252738933","0.274452591469549"
"Strong","2002","(Married) couple without C. ","(2b) intermediate general qualification","21","","",""
"Strong","2002","(Married) couple without C. ","(2a) intermediate vocational","191","0.155232649941448","0.136857801095892","0.173607498787003"
"Strong","2002","(Married) couple without C. ","(2c_gen) general maturity certificate","1","","",""
"Strong","2002","(Married) couple without C. ","(2c_voc) vocational maturity certificate","57","0.147779215053136","0.115313536300727","0.180244893805545"
"Strong","2002","(Married) couple without C. ","(3a) lower tertiary education","102","0.167999066556473","0.140303234813441","0.195694898299506"
"Strong","2002","(Married) couple without C. ","(3b) higher tertiary education","96","0.115920452480397","0.0959081509559235","0.135932754004871"
"Strong","2002","Single parent ","(0) in school","","","",""
"Strong","2002","Single parent ","(1a) inadequately completed","4","","",""
"Strong","2002","Single parent ","(1b) general elementary school","31","0.171559265495618","0.11350576720173","0.229612763789505"
"Strong","2002","Single parent ","(1c) basic vocational qualification","32","0.107333149752751","0.0695628980707361","0.145103401434766"
"Strong","2002","Single parent ","(2b) intermediate general qualification","4","","",""
"Strong","2002","Single parent ","(2a) intermediate vocational","19","","",""
"Strong","2002","Single parent ","(2c_gen) general maturity certificate","","","",""
"Strong","2002","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"Strong","2002","Single parent ","(3a) lower tertiary education","3","","",""
"Strong","2002","Single parent ","(3b) higher tertiary education","9","","",""
"Strong","2002","Couple + C. LE 16 ","(0) in school","","","",""
"Strong","2002","Couple + C. LE 16 ","(1a) inadequately completed","4","","",""
"Strong","2002","Couple + C. LE 16 ","(1b) general elementary school","14","","",""
"Strong","2002","Couple + C. LE 16 ","(1c) basic vocational qualification","63","0.0652302769229965","0.0508518933262568","0.0796086605197362"
"Strong","2002","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Strong","2002","Couple + C. LE 16 ","(2a) intermediate vocational","75","0.0419312831797229","0.0318084282890629","0.0520541380703829"
"Strong","2002","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Strong","2002","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","18","","",""
"Strong","2002","Couple + C. LE 16 ","(3a) lower tertiary education","15","","",""
"Strong","2002","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"Strong","2002","Couple + C. GT 16 ","(0) in school","4","","",""
"Strong","2002","Couple + C. GT 16 ","(1a) inadequately completed","12","","",""
