"ple0005","year","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Male","3580","0.338963281036508","0.330170796726164","0.347755765346851","2"
"A little","2002","Female","4314","0.374817886086268","0.366128178291872","0.383507593880665","2"
"Not at all","2002","Male","6287","0.532850339141141","0.523583041220289","0.542117637061993","3"
"Not at all","2002","Female","5860","0.439360927745131","0.430451616235817","0.448270239254445","3"
"Strong","2002","Male","1267","0.128186379822352","0.121976899593166","0.134395860051537","1"
"Strong","2002","Female","1747","0.185821186168601","0.178838874030949","0.192803498306253","1"
"A little","2003","Male","","","","","2"
"A little","2003","Female","","","","","2"
"Not at all","2003","Male","","","","","3"
"Not at all","2003","Female","","","","","3"
"Strong","2003","Male","","","","","1"
"Strong","2003","Female","","","","","1"
"A little","2004","Male","3300","0.325032416304562","0.316027443129385","0.33403738947974","2"
"A little","2004","Female","4107","0.379215991034611","0.370249469019408","0.388182513049814","2"
"Not at all","2004","Male","5866","0.538033568372291","0.528448669763414","0.547618466981169","3"
"Not at all","2004","Female","5504","0.431248390289278","0.422095979590697","0.440400800987859","3"
"Strong","2004","Male","1227","0.136934015323146","0.130324717849501","0.143543312796791","1"
"Strong","2004","Female","1637","0.189535618676111","0.182292546343256","0.196778691008967","1"
"A little","2005","Male","","","","","2"
"A little","2005","Female","","","","","2"
"Not at all","2005","Male","","","","","3"
"Not at all","2005","Female","","","","","3"
"Strong","2005","Male","","","","","1"
"Strong","2005","Female","","","","","1"
"A little","2006","Male","3486","0.332211979349453","0.323198177541775","0.341225781157132","2"
"A little","2006","Female","4195","0.374498081103309","0.365663006344791","0.383333155861828","2"
"Not at all","2006","Male","5713","0.534599980492482","0.525054259944928","0.544145701040036","3"
"Not at all","2006","Female","5472","0.436003807042852","0.426951603013379","0.445056011072324","3"
"Strong","2006","Male","1290","0.133188040158065","0.126685603804975","0.139690476511154","1"
"Strong","2006","Female","1861","0.189498111853839","0.182344084998584","0.196652138709095","1"
"A little","2007","Male","","","","","2"
"A little","2007","Female","","","","","2"
"Not at all","2007","Male","","","","","3"
"Not at all","2007","Female","","","","","3"
"Strong","2007","Male","","","","","1"
"Strong","2007","Female","","","","","1"
"A little","2008","Male","3090","0.337827718728083","0.328179806764303","0.347475630691863","2"
"A little","2008","Female","3718","0.385091255281601","0.375620743451871","0.39456176711133","2"
"Not at all","2008","Male","4984","0.526005142149502","0.515819650357799","0.536190633941205","3"
"Not at all","2008","Female","4818","0.433473685382585","0.423829230170308","0.443118140594861","3"
"Strong","2008","Male","1158","0.136167139122415","0.129171116420489","0.143163161824341","1"
"Strong","2008","Female","1606","0.181435059335815","0.17393484864718","0.18893527002445","1"
"A little","2009","Male","","","","","2"
"A little","2009","Female","","","","","2"
"Not at all","2009","Male","","","","","3"
"Not at all","2009","Female","","","","","3"
"Strong","2009","Male","","","","","1"
"Strong","2009","Female","","","","","1"
"A little","2010","Male","2761","0.361051088529524","0.350494409871535","0.371607767187514","2"
"A little","2010","Female","3488","0.409104144500145","0.398795193333521","0.419413095666769","2"
"Not at all","2010","Male","4125","0.494590631585553","0.483601724731552","0.505579538439554","3"
"Not at all","2010","Female","3865","0.398757499369389","0.388491024723319","0.409023974015458","3"
"Strong","2010","Male","1066","0.144358279884923","0.136633666885061","0.152082892884785","1"
"Strong","2010","Female","1385","0.192138356130466","0.1838776418595","0.200399070401433","1"
"A little","2011","Male","","","","","2"
"A little","2011","Female","","","","","2"
"Not at all","2011","Male","","","","","3"
"Not at all","2011","Female","","","","","3"
"Strong","2011","Male","","","","","1"
"Strong","2011","Female","","","","","1"
"A little","2012","Male","3396","0.351476303334005","0.34196245991774","0.36099014675027","2"
"A little","2012","Female","4130","0.394712500284006","0.385524211511526","0.403900789056486","2"
"Not at all","2012","Male","4940","0.509801217960848","0.499839560645273","0.519762875276423","3"
"Not at all","2012","Female","4917","0.417396129976561","0.408126247360157","0.426666012592964","3"
"Strong","2012","Male","1338","0.138722478705147","0.131834528070583","0.145610429339711","1"
"Strong","2012","Female","1824","0.187891369739434","0.18054836476767","0.195234374711198","1"
"A little","2013","Male","","","","","2"
"A little","2013","Female","","","","","2"
"Not at all","2013","Male","","","","","3"
"Not at all","2013","Female","","","","","3"
"Strong","2013","Male","","","","","1"
"Strong","2013","Female","","","","","1"
"A little","2014","Male","3878","0.324160309269256","0.315942501400542","0.332378117137971","2"
"A little","2014","Female","5174","0.378034992596597","0.370193193065426","0.385876792127769","2"
"Not at all","2014","Male","7100","0.538411754258585","0.529659118525909","0.547164389991262","3"
"Not at all","2014","Female","7361","0.443918041454772","0.435883010402023","0.451953072507521","3"
"Strong","2014","Male","1484","0.137427936472159","0.131383032245035","0.143472840699282","1"
"Strong","2014","Female","2153","0.178046965948631","0.171860287428906","0.184233644468355","1"
"A little","2015","Male","","","","","2"
"A little","2015","Female","","","","","2"
"Not at all","2015","Male","","","","","3"
"Not at all","2015","Female","","","","","3"
"Strong","2015","Male","","","","","1"
"Strong","2015","Female","","","","","1"
"A little","2016","Male","4105","0.329688182038199","0.321857924335577","0.337518439740821","2"
"A little","2016","Female","5237","0.372556124826795","0.364771256944544","0.380340992709046","2"
"Not at all","2016","Male","8250","0.539711335064991","0.531409352116262","0.548013318013721","3"
"Not at all","2016","Female","7443","0.449507672411672","0.441498048209068","0.457517296614276","3"
