"ple0005","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Schleswig-Holstein","lower secondary degree","58","0.201688966957118","0.155743632495006","0.24763430141923"
"Strong","2002","Schleswig-Holstein","secondary school degree","14","","",""
"Strong","2002","Schleswig-Holstein","college entrance qualification","9","","",""
"Strong","2002","Schleswig-Holstein","Other degree","","","",""
"Strong","2002","Schleswig-Holstein","no degree/no degree yet","5","","",""
"Strong","2002","Hamburg","lower secondary degree","24","","",""
"Strong","2002","Hamburg","secondary school degree","14","","",""
"Strong","2002","Hamburg","college entrance qualification","6","","",""
"Strong","2002","Hamburg","Other degree","1","","",""
"Strong","2002","Hamburg","no degree/no degree yet","","","",""
"Strong","2002","Lower Saxony","lower secondary degree","158","0.21669923760625","0.187427484801361","0.245970990411139"
"Strong","2002","Lower Saxony","secondary school degree","61","0.117594205833919","0.0913332028445759","0.143855208823262"
"Strong","2002","Lower Saxony","college entrance qualification","38","0.100538395178098","0.0726921672874743","0.128384623068721"
"Strong","2002","Lower Saxony","Other degree","14","","",""
"Strong","2002","Lower Saxony","no degree/no degree yet","3","","",""
"Strong","2002","Bremen","lower secondary degree","24","","",""
"Strong","2002","Bremen","secondary school degree","4","","",""
"Strong","2002","Bremen","college entrance qualification","2","","",""
"Strong","2002","Bremen","Other degree","3","","",""
"Strong","2002","Bremen","no degree/no degree yet","","","",""
"Strong","2002","North Rhine-Westphalia","lower secondary degree","350","0.211302590836215","0.192562902022667","0.230042279649764"
"Strong","2002","North Rhine-Westphalia","secondary school degree","96","0.125818028446359","0.105632920631486","0.146003136261232"
"Strong","2002","North Rhine-Westphalia","college entrance qualification","77","0.0833047946698631","0.0685528041719864","0.0980567851677398"
"Strong","2002","North Rhine-Westphalia","Other degree","47","0.150637964379377","0.114191041256544","0.187084887502211"
"Strong","2002","North Rhine-Westphalia","no degree/no degree yet","20","","",""
"Strong","2002","Hesse","lower secondary degree","141","0.286568538765253","0.248037507028711","0.325099570501795"
"Strong","2002","Hesse","secondary school degree","37","0.109228125717368","0.0799827058177134","0.138473545617022"
"Strong","2002","Hesse","college entrance qualification","23","","",""
"Strong","2002","Hesse","Other degree","25","","",""
"Strong","2002","Hesse","no degree/no degree yet","12","","",""
