"ple0005","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","West Germany","Male","2589","0.327378589345153","0.317400996858044","0.337356181832262","2"
"A little","2002","West Germany","Female","3127","0.360850565547582","0.350993687512762","0.370707443582402","2"
"A little","2002","East Germany","Male","991","0.388052249485898","0.369453005133144","0.406651493838651","2"
"A little","2002","East Germany","Female","1187","0.435740530726419","0.417380752429493","0.454100309023346","2"
"Not at all","2002","West Germany","Male","4964","0.545469348101849","0.534882125479006","0.556056570724691","3"
"Not at all","2002","West Germany","Female","4694","0.455191153418164","0.444970151608526","0.465412155227802","3"
"Not at all","2002","East Germany","Male","1323","0.479378555062756","0.460311072683129","0.498446037442383","3"
"Not at all","2002","East Germany","Female","1166","0.370312665368651","0.352432942313637","0.388192388423664","3"
"Strong","2002","West Germany","Male","944","0.127152062552998","0.120068588921596","0.134235536184401","1"
"Strong","2002","West Germany","Female","1298","0.183958281034254","0.176006025344446","0.191910536724062","1"
"Strong","2002","East Germany","Male","323","0.132569195451347","0.119626290648264","0.145512100254429","1"
"Strong","2002","East Germany","Female","449","0.19394680390493","0.179306934881489","0.208586672928371","1"
"A little","2003","West Germany","Male","","","","","2"
"A little","2003","West Germany","Female","","","","","2"
"A little","2003","East Germany","Male","","","","","2"
"A little","2003","East Germany","Female","","","","","2"
"Not at all","2003","West Germany","Male","","","","","3"
"Not at all","2003","West Germany","Female","","","","","3"
"Not at all","2003","East Germany","Male","","","","","3"
"Not at all","2003","East Germany","Female","","","","","3"
"Strong","2003","West Germany","Male","","","","","1"
"Strong","2003","West Germany","Female","","","","","1"
"Strong","2003","East Germany","Male","","","","","1"
"Strong","2003","East Germany","Female","","","","","1"
"A little","2004","West Germany","Male","2369","0.315210449180636","0.304959574252734","0.325461324108538","2"
"A little","2004","West Germany","Female","2992","0.369586731838454","0.359334908280974","0.379838555395934","2"
"A little","2004","East Germany","Male","931","0.3677349440648","0.348841049885553","0.386628838244046","2"
"A little","2004","East Germany","Female","1115","0.422040225877935","0.403520546092116","0.440559905663753","2"
"Not at all","2004","West Germany","Male","4622","0.550743183013358","0.539768197078384","0.561718168948332","3"
"Not at all","2004","West Germany","Female","4319","0.442994138133193","0.432443975918086","0.453544300348301","3"
"Not at all","2004","East Germany","Male","1244","0.482776544480409","0.46319636695699","0.502356722003828","3"
"Not at all","2004","East Germany","Female","1185","0.379011488796477","0.360819687085232","0.397203290507722","3"
"Strong","2004","West Germany","Male","900","0.134046367806006","0.126529153809402","0.141563581802609","1"
"Strong","2004","West Germany","Female","1205","0.187419130028353","0.179130733496044","0.195707526560662","1"
"Strong","2004","East Germany","Male","327","0.149488511454791","0.135516837599954","0.163460185309628","1"
"Strong","2004","East Germany","Female","432","0.198948285325588","0.183978756843491","0.213917813807686","1"
"A little","2005","West Germany","Male","","","","","2"
"A little","2005","West Germany","Female","","","","","2"
"A little","2005","East Germany","Male","","","","","2"
"A little","2005","East Germany","Female","","","","","2"
"Not at all","2005","West Germany","Male","","","","","3"
"Not at all","2005","West Germany","Female","","","","","3"
"Not at all","2005","East Germany","Male","","","","","3"
"Not at all","2005","East Germany","Female","","","","","3"
"Strong","2005","West Germany","Male","","","","","1"
"Strong","2005","West Germany","Female","","","","","1"
"Strong","2005","East Germany","Male","","","","","1"
"Strong","2005","East Germany","Female","","","","","1"
"A little","2006","West Germany","Male","2437","0.314395653850627","0.304191954642536","0.324599353058719","2"
"A little","2006","West Germany","Female","3041","0.366033483386099","0.355952744924142","0.376114221848056","2"
"A little","2006","East Germany","Male","1049","0.40765682795842","0.388531560372356","0.426782095544483","2"
"A little","2006","East Germany","Female","1154","0.411963946954459","0.393588408814517","0.4303394850944","2"
"Not at all","2006","West Germany","Male","4560","0.555266391020179","0.544344866405824","0.566187915634533","3"
"Not at all","2006","West Germany","Female","4331","0.448606604012502","0.438198721264261","0.459014486760744","3"
"Not at all","2006","East Germany","Male","1153","0.447086187951165","0.427735437490069","0.466436938412262","3"
"Not at all","2006","East Germany","Female","1141","0.380221510424764","0.36209788509549","0.398345135754038","3"
"Strong","2006","West Germany","Male","956","0.130337955129194","0.122938609577167","0.137737300681221","1"
