"ple0005","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","35-65 y.","East Germany","1362","0.4462783857217","0.42864798272386","0.463908788719541","2"
"A little","2002","16-34 y.","West Germany","851","0.198117233457057","0.186686878298521","0.209547588615592","2"
"A little","2002","16-34 y.","East Germany","339","0.245538389427829","0.223676936769285","0.267399842086372","2"
"A little","2002","35-65 y.","West Germany","3621","0.371766009360879","0.362397387554888","0.38113463116687","2"
"A little","2002","66 and older","West Germany","1244","0.451134513939996","0.432444472752992","0.469824555127","2"
"A little","2002","66 and older","East Germany","477","0.523838417089202","0.491136746798323","0.55654008738008","2"
"Not at all","2002","35-65 y.","West Germany","5439","0.498042063456085","0.488349317564474","0.507734809347696","3"
"Not at all","2002","35-65 y.","East Germany","1284","0.411592872521187","0.394139214601528","0.429046530440846","3"
"Not at all","2002","16-34 y.","West Germany","3689","0.772515724433965","0.760493841002487","0.784537607865443","3"
"Not at all","2002","16-34 y.","East Germany","1103","0.721163693496288","0.698386913337692","0.743940473654885","3"
"Not at all","2002","66 and older","West Germany","530","0.168301705342972","0.15424927522897","0.182354135456974","3"
"Not at all","2002","66 and older","East Germany","102","0.11449844979455","0.09364929026112","0.135347609327981","3"
"Strong","2002","16-34 y.","West Germany","131","0.0293670421089782","0.0245253097683664","0.0342087744495901","1"
"Strong","2002","16-34 y.","East Germany","47","0.0332979170758831","0.0241850380917774","0.0424107960599887","1"
"Strong","2002","35-65 y.","West Germany","1162","0.130191927183036","0.123668378651583","0.136715475714488","1"
"Strong","2002","35-65 y.","East Germany","408","0.142128741757113","0.129744609280316","0.15451287423391","1"
"Strong","2002","66 and older","West Germany","949","0.380563780717032","0.362327498917525","0.39880006251654","1"
"Strong","2002","66 and older","East Germany","317","0.361663133116248","0.330202231097371","0.393124035135125","1"
"A little","2003","35-65 y.","East Germany","","","","","2"
"A little","2003","16-34 y.","West Germany","","","","","2"
"A little","2003","16-34 y.","East Germany","","","","","2"
"A little","2003","35-65 y.","West Germany","","","","","2"
"A little","2003","66 and older","West Germany","","","","","2"
"A little","2003","66 and older","East Germany","","","","","2"
"Not at all","2003","16-34 y.","West Germany","","","","","3"
"Not at all","2003","16-34 y.","East Germany","","","","","3"
"Not at all","2003","35-65 y.","West Germany","","","","","3"
"Not at all","2003","35-65 y.","East Germany","","","","","3"
"Not at all","2003","66 and older","West Germany","","","","","3"
"Not at all","2003","66 and older","East Germany","","","","","3"
"Strong","2003","16-34 y.","West Germany","","","","","1"
"Strong","2003","16-34 y.","East Germany","","","","","1"
"Strong","2003","35-65 y.","West Germany","","","","","1"
"Strong","2003","35-65 y.","East Germany","","","","","1"
"Strong","2003","66 and older","West Germany","","","","","1"
"Strong","2003","66 and older","East Germany","","","","","1"
"A little","2004","35-65 y.","West Germany","3333","0.368784511061442","0.359021685344066","0.378547336778818","2"
"A little","2004","35-65 y.","East Germany","1226","0.426575937588029","0.408405441825722","0.444746433350336","2"
"A little","2004","16-34 y.","West Germany","766","0.192447185917171","0.180530431559335","0.204363940275007","2"
"A little","2004","16-34 y.","East Germany","323","0.231668879161562","0.209778959612901","0.253558798710222","2"
"A little","2004","66 and older","West Germany","1262","0.447241675782088","0.42889381962354","0.465589531940637","2"
"A little","2004","66 and older","East Germany","497","0.500249827107263","0.468637508722049","0.531862145492478","2"
"Not at all","2004","16-34 y.","East Germany","1072","0.737556415665622","0.714729264896276","0.760383566434967","3"
"Not at all","2004","35-65 y.","West Germany","5036","0.500639241372559","0.490521815616633","0.510756667128485","3"
"Not at all","2004","35-65 y.","East Germany","1244","0.428846560608365","0.410663875942885","0.447029245273845","3"
"Not at all","2004","16-34 y.","West Germany","3358","0.78161082429194","0.769121826912709","0.79409982167117","3"
"Not at all","2004","66 and older","West Germany","547","0.16489735523272","0.151203575983267","0.178591134482173","3"
