"ple0005","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Strong","2002","no migration background","Urban Area","1599","0.164284111792092","0.15776498674271","0.170803236841474"
"Strong","2002","no migration background","Rural Area","992","0.159971950021941","0.151422207266602","0.16852169277728"
"Strong","2002","direct migration background","Urban Area","308","0.141353987988307","0.127192864047718","0.155515111928896"
"Strong","2002","direct migration background","Rural Area","80","0.183001475601449","0.14841029345383","0.217592657749067"
"Strong","2002","indirect migration background","Urban Area","26","","",""
"Strong","2002","indirect migration background","Rural Area","9","","",""
"A little","2002","no migration background","Urban Area","4139","0.347031960155344","0.338656804268097","0.355407116042591"
"A little","2002","no migration background","Rural Area","2632","0.386366426070908","0.375010083589513","0.397722768552303"
"A little","2002","direct migration background","Urban Area","798","0.364755760638786","0.345189489842388","0.384322031435184"
"A little","2002","direct migration background","Rural Area","170","0.34933908288679","0.30668816119998","0.3919900045736"
"A little","2002","indirect migration background","Urban Area","130","0.229885846498288","0.19830748638169","0.261464206614886"
"A little","2002","indirect migration background","Rural Area","25","","",""
"Not at all","2002","no migration background","Urban Area","6672","0.488683928052564","0.479889229659688","0.497478626445439"
"Not at all","2002","no migration background","Rural Area","3438","0.453661623907151","0.44205031685901","0.465272930955291"
"Not at all","2002","direct migration background","Urban Area","1219","0.493890251372907","0.473567889017122","0.514212613728691"
"Not at all","2002","direct migration background","Rural Area","230","0.467659441511761","0.423023252943369","0.512295630080154"
"Not at all","2002","indirect migration background","Urban Area","526","0.721528149111324","0.687886816267519","0.755169481955129"
"Not at all","2002","indirect migration background","Rural Area","62","0.545436541018678","0.445831378150949","0.645041703886407"
"Strong","2003","no migration background","Urban Area","","","",""
"Strong","2003","no migration background","Rural Area","","","",""
"Strong","2003","direct migration background","Urban Area","","","",""
"Strong","2003","direct migration background","Rural Area","","","",""
"Strong","2003","indirect migration background","Urban Area","","","",""
"Strong","2003","indirect migration background","Rural Area","","","",""
"A little","2003","no migration background","Urban Area","","","",""
"A little","2003","no migration background","Rural Area","","","",""
"A little","2003","direct migration background","Urban Area","","","",""
"A little","2003","direct migration background","Rural Area","","","",""
"A little","2003","indirect migration background","Urban Area","","","",""
"A little","2003","indirect migration background","Rural Area","","","",""
"Not at all","2003","no migration background","Urban Area","","","",""
"Not at all","2003","no migration background","Rural Area","","","",""
"Not at all","2003","direct migration background","Urban Area","","","",""
"Not at all","2003","direct migration background","Rural Area","","","",""
"Not at all","2003","indirect migration background","Urban Area","","","",""
"Not at all","2003","indirect migration background","Rural Area","","","",""
"Strong","2004","no migration background","Urban Area","1570","0.173396760245505","0.166531769697123","0.180261750793887"
"Strong","2004","no migration background","Rural Area","905","0.163754172578718","0.154831884462827","0.172676460694608"
"Strong","2004","direct migration background","Urban Area","298","0.164630792363896","0.148773470899422","0.180488113828369"
"Strong","2004","direct migration background","Rural Area","69","0.148760033171834","0.115510091399129","0.182009974944539"
"Strong","2004","indirect migration background","Urban Area","14","","",""
"Strong","2004","indirect migration background","Rural Area","8","","",""
"A little","2004","no migration background","Urban Area","3923","0.349282782209203","0.340637968465539","0.357927595952867"
"A little","2004","no migration background","Rural Area","2428","0.375172848140203","0.363499142966114","0.386846553314292"
"A little","2004","direct migration background","Urban Area","726","0.353672931598115","0.333229106899254","0.374116756296975"
"A little","2004","direct migration background","Rural Area","173","0.353261057220766","0.308599471254646","0.397922643186886"
"A little","2004","indirect migration background","Urban Area","134","0.22724014917487","0.196040746341953","0.258439552007787"
"A little","2004","indirect migration background","Rural Area","23","","",""
"Not at all","2004","no migration background","Urban Area","6190","0.477320457545292","0.468263263383842","0.486377651706742"
"Not at all","2004","no migration background","Rural Area","3275","0.461072979281079","0.449054130000445","0.473091828561713"
"Not at all","2004","direct migration background","Urban Area","1077","0.48169627603799","0.460330736036156","0.503061816039823"
"Not at all","2004","direct migration background","Rural Area","198","0.4979789096074","0.45126048289534","0.54469733631946"
"Not at all","2004","indirect migration background","Urban Area","545","0.755776065394904","0.723789165391587","0.787762965398221"
"Not at all","2004","indirect migration background","Rural Area","85","0.733806467856567","0.653378218899093","0.814234716814041"
"Strong","2005","no migration background","Urban Area","","","",""
"Strong","2005","no migration background","Rural Area","","","",""
"Strong","2005","direct migration background","Urban Area","","","",""
"Strong","2005","direct migration background","Rural Area","","","",""
"Strong","2005","indirect migration background","Urban Area","","","",""
"Strong","2005","indirect migration background","Rural Area","","","",""
"A little","2005","no migration background","Urban Area","","","",""
"A little","2005","no migration background","Rural Area","","","",""
"A little","2005","direct migration background","Urban Area","","","",""
"A little","2005","direct migration background","Rural Area","","","",""
"A little","2005","indirect migration background","Urban Area","","","",""
"A little","2005","indirect migration background","Rural Area","","","",""
"Not at all","2005","no migration background","Urban Area","","","",""
"Not at all","2005","no migration background","Rural Area","","","",""
"Not at all","2005","direct migration background","Urban Area","","","",""
"Not at all","2005","direct migration background","Rural Area","","","",""
"Not at all","2005","indirect migration background","Urban Area","","","",""
"Not at all","2005","indirect migration background","Rural Area","","","",""
"Strong","2006","no migration background","Urban Area","1672","0.165076690613244","0.15842237882057","0.171731002405917"
"Strong","2006","no migration background","Rural Area","1033","0.166935978432135","0.15810676759167","0.175765189272601"
"Strong","2006","direct migration background","Urban Area","323","0.174832496626016","0.158000105904427","0.191664887347605"
"Strong","2006","direct migration background","Rural Area","82","0.183854106145612","0.147241180799849","0.220467031491375"
"Strong","2006","indirect migration background","Urban Area","30","0.0335633641908669","0.0202404579953157","0.046886270386418"
"Strong","2006","indirect migration background","Rural Area","11","","",""
"A little","2006","no migration background","Urban Area","4080","0.354024491597267","0.345452896327748","0.362596086866786"
"A little","2006","no migration background","Rural Area","2621","0.380256087662327","0.368762596992367","0.391749578332287"
"A little","2006","direct migration background","Urban Area","650","0.332128802150101","0.311256839315453","0.35300076498475"
"A little","2006","direct migration background","Rural Area","180","0.38120140279788","0.335295792182583","0.427107013413177"
"A little","2006","indirect migration background","Urban Area","124","0.208385155672392","0.178340316122706","0.238429995222079"
"A little","2006","indirect migration background","Rural Area","26","","",""
"Not at all","2006","no migration background","Urban Area","6205","0.480898817789489","0.471943317750992","0.489854317827986"
"Not at all","2006","no migration background","Rural Area","3199","0.452807933905538","0.441022796921592","0.464593070889484"
"Not at all","2006","direct migration background","Urban Area","983","0.493038701223883","0.470882690100748","0.515194712347017"
"Not at all","2006","direct migration background","Rural Area","168","0.434944491056508","0.388087290641175","0.481801691471841"
"Not at all","2006","indirect migration background","Urban Area","548","0.758051480136741","0.726371101043156","0.789731859230326"
"Not at all","2006","indirect migration background","Rural Area","82","0.658306825020572","0.573093611940051","0.743520038101094"
"Strong","2007","no migration background","Urban Area","","","",""
"Strong","2007","no migration background","Rural Area","","","",""
"Strong","2007","direct migration background","Urban Area","","","",""
"Strong","2007","direct migration background","Rural Area","","","",""
"Strong","2007","indirect migration background","Urban Area","","","",""
"Strong","2007","indirect migration background","Rural Area","","","",""
"A little","2007","no migration background","Urban Area","","","",""
"A little","2007","no migration background","Rural Area","","","",""
"A little","2007","direct migration background","Urban Area","","","",""
"A little","2007","direct migration background","Rural Area","","","",""
"A little","2007","indirect migration background","Urban Area","","","",""
"A little","2007","indirect migration background","Rural Area","","","",""
"Not at all","2007","no migration background","Urban Area","","","",""
"Not at all","2007","no migration background","Rural Area","","","",""
"Not at all","2007","direct migration background","Urban Area","","","",""
"Not at all","2007","direct migration background","Rural Area","","","",""
"Not at all","2007","indirect migration background","Urban Area","","","",""
"Not at all","2007","indirect migration background","Rural Area","","","",""
"Strong","2008","no migration background","Urban Area","1504","0.165046826990607","0.157977244693966","0.172116409287247"
"Strong","2008","no migration background","Rural Area","887","0.156471058812775","0.147353348727768","0.165588768897781"
"Strong","2008","direct migration background","Urban Area","261","0.176792388181668","0.157879621190782","0.195705155172555"
"Strong","2008","direct migration background","Rural Area","77","0.190780562822911","0.149498757183259","0.232062368462564"
"Strong","2008","indirect migration background","Urban Area","27","","",""
"Strong","2008","indirect migration background","Rural Area","8","","",""
"A little","2008","no migration background","Urban Area","3647","0.359581238857583","0.350442429026441","0.368720048688725"
"A little","2008","no migration background","Rural Area","2338","0.392645280018638","0.380389522201859","0.404901037835417"
"A little","2008","direct migration background","Urban Area","534","0.366777350126308","0.34288559380053","0.390669106452086"
"A little","2008","direct migration background","Rural Area","130","0.343728427287539","0.293827571832319","0.393629282742759"
"A little","2008","indirect migration background","Urban Area","132","0.209832903843935","0.178744269158465","0.240921538529406"
"A little","2008","indirect migration background","Rural Area","27","","",""
"Not at all","2008","no migration background","Urban Area","5441","0.47537193415181","0.465861471731986","0.484882396571635"
"Not at all","2008","no migration background","Rural Area","2874","0.450883661168587","0.438395939615521","0.463371382721654"
"Not at all","2008","direct migration background","Urban Area","768","0.456430261692024","0.431736716061934","0.481123807322114"
"Not at all","2008","direct migration background","Rural Area","141","0.46549100988955","0.413083729269361","0.517898290509739"
"Not at all","2008","indirect migration background","Urban Area","500","0.733678118600811","0.699929065509149","0.767427171692472"
"Not at all","2008","indirect migration background","Rural Area","78","0.751722469480789","0.67206869801635","0.831376240945228"
"Strong","2009","no migration background","Urban Area","","","",""
"Strong","2009","no migration background","Rural Area","","","",""
"Strong","2009","direct migration background","Urban Area","","","",""
"Strong","2009","direct migration background","Rural Area","","","",""
"Strong","2009","indirect migration background","Urban Area","","","",""
"Strong","2009","indirect migration background","Rural Area","","","",""
"A little","2009","no migration background","Urban Area","","","",""
"A little","2009","no migration background","Rural Area","","","",""
"A little","2009","direct migration background","Urban Area","","","",""
"A little","2009","direct migration background","Rural Area","","","",""
"A little","2009","indirect migration background","Urban Area","","","",""
"A little","2009","indirect migration background","Rural Area","","","",""
"Not at all","2009","no migration background","Urban Area","","","",""
"Not at all","2009","no migration background","Rural Area","","","",""
"Not at all","2009","direct migration background","Urban Area","","","",""
"Not at all","2009","direct migration background","Rural Area","","","",""
"Not at all","2009","indirect migration background","Urban Area","","","",""
"Not at all","2009","indirect migration background","Rural Area","","","",""
"Strong","2010","no migration background","Urban Area","1356","0.169822553137017","0.162183188301311","0.177461917972723"
"Strong","2010","no migration background","Rural Area","808","0.172408895070722","0.162221157515544","0.1825966326259"
"Strong","2010","direct migration background","Urban Area","205","0.192189969272031","0.169831202352203","0.214548736191858"
"Strong","2010","direct migration background","Rural Area","58","0.218116751601606","0.169831956150509","0.266401547052703"
"Strong","2010","indirect migration background","Urban Area","17","","",""
"Strong","2010","indirect migration background","Rural Area","7","","",""
"A little","2010","no migration background","Urban Area","3375","0.379336987637333","0.369464772047887","0.38920920322678"
"A little","2010","no migration background","Rural Area","2183","0.433176211966139","0.419811908124219","0.44654051580806"
"A little","2010","direct migration background","Urban Area","434","0.356240206672394","0.329065725526152","0.383414687818636"
"A little","2010","direct migration background","Rural Area","110","0.353706413790527","0.29780390203953","0.409608925541523"
