"ple0005","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Not Employed","Full Time","","","",""
"Strong","2002","Not Employed","Part Time","","","",""
"Strong","2002","Not Employed","Not Working","2091","0.289872422741432","0.280091675631942","0.299653169850922"
"Strong","2002","Employed","Full Time","526","0.059326212645172","0.0545902593472353","0.0640621659431087"
"Strong","2002","Employed","Part Time","397","0.0882125063367163","0.08052708596311","0.0958979267103226"
"Strong","2002","Employed","Not Working","","","",""
"A little","2002","Not Employed","Full Time","","","",""
"A little","2002","Not Employed","Part Time","","","",""
"A little","2002","Not Employed","Not Working","3192","0.404589883655416","0.394009144573656","0.415170622737177"
"A little","2002","Employed","Full Time","2963","0.313381904964249","0.304082414395573","0.322681395532924"
"A little","2002","Employed","Part Time","1739","0.348388086136958","0.335476431926748","0.361299740347167"
"A little","2002","Employed","Not Working","","","",""
"Not at all","2002","Not Employed","Full Time","","","",""
"Not at all","2002","Not Employed","Part Time","","","",""
"Not at all","2002","Not Employed","Not Working","2983","0.305537693603151","0.295607513446076","0.315467873760227"
"Not at all","2002","Employed","Full Time","6069","0.627291882390579","0.617598310453858","0.636985454327301"
"Not at all","2002","Employed","Part Time","3095","0.563399407526326","0.549959196603446","0.576839618449206"
"Not at all","2002","Employed","Not Working","","","",""
"Strong","2003","Not Employed","Full Time","","","",""
"Strong","2003","Not Employed","Part Time","","","",""
"Strong","2003","Not Employed","Not Working","","","",""
"Strong","2003","Employed","Full Time","","","",""
"Strong","2003","Employed","Part Time","","","",""
"Strong","2003","Employed","Not Working","","","",""
"A little","2003","Not Employed","Full Time","","","",""
"A little","2003","Not Employed","Part Time","","","",""
"A little","2003","Not Employed","Not Working","","","",""
"A little","2003","Employed","Full Time","","","",""
"A little","2003","Employed","Part Time","","","",""
"A little","2003","Employed","Not Working","","","",""
"Not at all","2003","Not Employed","Full Time","","","",""
"Not at all","2003","Not Employed","Part Time","","","",""
"Not at all","2003","Not Employed","Not Working","","","",""
"Not at all","2003","Employed","Full Time","","","",""
"Not at all","2003","Employed","Part Time","","","",""
"Not at all","2003","Employed","Not Working","","","",""
"Strong","2004","Not Employed","Full Time","","","",""
"Strong","2004","Not Employed","Part Time","","","",""
"Strong","2004","Not Employed","Not Working","2073","0.29323058809487","0.283356124683243","0.303105051506498"
"Strong","2004","Employed","Full Time","428","0.0598298848057985","0.0547748062562367","0.0648849633553603"
"Strong","2004","Employed","Part Time","363","0.0926424417816048","0.0846221446205143","0.100662738942695"
"Strong","2004","Employed","Not Working","","","",""
"A little","2004","Not Employed","Full Time","","","",""
"A little","2004","Not Employed","Part Time","","","",""
"A little","2004","Not Employed","Not Working","3064","0.388023858429729","0.377454066041357","0.398593650818102"
"A little","2004","Employed","Full Time","2640","0.323123657816314","0.313155735386006","0.333091580246623"
"A little","2004","Employed","Part Time","1703","0.33594382195716","0.322878143305161","0.34900950060916"
"A little","2004","Employed","Not Working","","","",""
"Not at all","2004","Not Employed","Full Time","","","",""
"Not at all","2004","Not Employed","Part Time","","","",""
"Not at all","2004","Not Employed","Not Working","3028","0.318745553475401","0.308637983911977","0.328853123038824"
"Not at all","2004","Employed","Full Time","5388","0.617046457377887","0.606685555012062","0.627407359743712"
"Not at all","2004","Employed","Part Time","2954","0.571413736261235","0.557724138283096","0.585103334239373"
"Not at all","2004","Employed","Not Working","","","",""
"Strong","2005","Not Employed","Full Time","","","",""
"Strong","2005","Not Employed","Part Time","","","",""
"Strong","2005","Not Employed","Not Working","","","",""
"Strong","2005","Employed","Full Time","","","",""
"Strong","2005","Employed","Part Time","","","",""
"Strong","2005","Employed","Not Working","","","",""
"A little","2005","Not Employed","Full Time","","","",""
"A little","2005","Not Employed","Part Time","","","",""
"A little","2005","Not Employed","Not Working","","","",""
"A little","2005","Employed","Full Time","","","",""
"A little","2005","Employed","Part Time","","","",""
"A little","2005","Employed","Not Working","","","",""
"Not at all","2005","Not Employed","Full Time","","","",""
"Not at all","2005","Not Employed","Part Time","","","",""
"Not at all","2005","Not Employed","Not Working","","","",""
"Not at all","2005","Employed","Full Time","","","",""
"Not at all","2005","Employed","Part Time","","","",""
"Not at all","2005","Employed","Not Working","","","",""
"Strong","2006","Not Employed","Full Time","","","",""
"Strong","2006","Not Employed","Part Time","","","",""
"Strong","2006","Not Employed","Not Working","2270","0.293493877502012","0.28385246848144","0.303135286522584"
"Strong","2006","Employed","Full Time","481","0.0594161360499736","0.0543699935444509","0.0644622785554963"
"Strong","2006","Employed","Part Time","400","0.0912220740219694","0.0832548891201728","0.099189258923766"
"Strong","2006","Employed","Not Working","","","",""
"A little","2006","Not Employed","Full Time","","","",""
"A little","2006","Not Employed","Part Time","","","",""
"A little","2006","Not Employed","Not Working","3277","0.386455415767691","0.376145484215554","0.396765347319828"
"A little","2006","Employed","Full Time","2704","0.32279179370131","0.312811785572039","0.332771801830581"
"A little","2006","Employed","Part Time","1700","0.346271853160581","0.333106478334188","0.359437227986974"
"A little","2006","Employed","Not Working","","","",""
"Not at all","2006","Not Employed","Full Time","","","",""
"Not at all","2006","Not Employed","Part Time","","","",""
"Not at all","2006","Not Employed","Not Working","3022","0.320050706730297","0.310173578814426","0.329927834646168"
"Not at all","2006","Employed","Full Time","5246","0.617792070248717","0.607419663053754","0.628164477443679"
"Not at all","2006","Employed","Part Time","2917","0.56250607281745","0.548779071899316","0.576233073735584"
"Not at all","2006","Employed","Not Working","","","",""
"Strong","2007","Not Employed","Full Time","","","",""
"Strong","2007","Not Employed","Part Time","","","",""
"Strong","2007","Not Employed","Not Working","","","",""
"Strong","2007","Employed","Full Time","","","",""
"Strong","2007","Employed","Part Time","","","",""
"Strong","2007","Employed","Not Working","","","",""
"A little","2007","Not Employed","Full Time","","","",""
"A little","2007","Not Employed","Part Time","","","",""
"A little","2007","Not Employed","Not Working","","","",""
"A little","2007","Employed","Full Time","","","",""
"A little","2007","Employed","Part Time","","","",""
"A little","2007","Employed","Not Working","","","",""
"Not at all","2007","Not Employed","Full Time","","","",""
"Not at all","2007","Not Employed","Part Time","","","",""
"Not at all","2007","Not Employed","Not Working","","","",""
"Not at all","2007","Employed","Full Time","","","",""
"Not at all","2007","Employed","Part Time","","","",""
"Not at all","2007","Employed","Not Working","","","",""
"Strong","2008","Not Employed","Full Time","","","",""
"Strong","2008","Not Employed","Part Time","","","",""
"Strong","2008","Not Employed","Not Working","2035","0.293632679387961","0.283309775255049","0.303955583520873"
"Strong","2008","Employed","Full Time","402","0.0638238177824021","0.058283986888999","0.0693636486758053"
"Strong","2008","Employed","Part Time","327","0.0859578614583046","0.0776925134279019","0.0942232094887073"
"Strong","2008","Employed","Not Working","","","",""
"A little","2008","Not Employed","Full Time","","","",""
"A little","2008","Not Employed","Part Time","","","",""
"A little","2008","Not Employed","Not Working","2922","0.39614627025528","0.385060188859469","0.407232351651091"
"A little","2008","Employed","Full Time","2378","0.32452826305703","0.313917266390874","0.335139259723187"
"A little","2008","Employed","Part Time","1508","0.366570625469375","0.352361636888847","0.380779614049903"
"A little","2008","Employed","Not Working","","","",""
"Not at all","2008","Not Employed","Full Time","","","",""
"Not at all","2008","Not Employed","Part Time","","","",""
"Not at all","2008","Not Employed","Not Working","2520","0.310221050356759","0.29973589183057","0.320706208882948"
"Not at all","2008","Employed","Full Time","4699","0.611647919160567","0.600602304355423","0.622693533965712"
"Not at all","2008","Employed","Part Time","2583","0.547471513072321","0.532794456774519","0.562148569370122"
