"ple0005","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Urban Area","West Germany","4328","0.340268985219457","0.332298719408811","0.348239251030102","2"
"A little","2002","Urban Area","East Germany","739","0.397096336067269","0.374751602550818","0.419441069583721","2"
"A little","2002","Rural Area","West Germany","1388","0.359315405513135","0.344522151130645","0.374108659895625","2"
"A little","2002","Rural Area","East Germany","1439","0.420379564710347","0.404248222124164","0.436510907296531","2"
"Not at all","2002","Urban Area","West Germany","7522","0.500784856362309","0.492373856203515","0.509195856521102","3"
"Not at all","2002","Urban Area","East Germany","895","0.469034684176315","0.446244972330843","0.491824396021787","3"
"Not at all","2002","Rural Area","West Germany","2136","0.492176573714857","0.476762391067413","0.507590756362302","3"
"Not at all","2002","Rural Area","East Germany","1594","0.400017515486949","0.3840076876324","0.416027343341498","3"
"Strong","2002","Urban Area","West Germany","1725","0.158946158418235","0.152795592331911","0.165096724504558","1"
"Strong","2002","Urban Area","East Germany","208","0.133868979756416","0.118318812974527","0.149419146538304","1"
"Strong","2002","Rural Area","West Germany","517","0.148508020772007","0.137544023935592","0.159472017608422","1"
"Strong","2002","Rural Area","East Germany","564","0.179602919802704","0.167058614321547","0.19214722528386","1"
"A little","2003","Urban Area","West Germany","","","","","2"
"A little","2003","Urban Area","East Germany","","","","","2"
"A little","2003","Rural Area","West Germany","","","","","2"
"A little","2003","Rural Area","East Germany","","","","","2"
"Not at all","2003","Urban Area","West Germany","","","","","3"
"Not at all","2003","Urban Area","East Germany","","","","","3"
"Not at all","2003","Rural Area","West Germany","","","","","3"
"Not at all","2003","Rural Area","East Germany","","","","","3"
"Strong","2003","Urban Area","West Germany","","","","","1"
"Strong","2003","Urban Area","East Germany","","","","","1"
"Strong","2003","Rural Area","West Germany","","","","","1"
"Strong","2003","Rural Area","East Germany","","","","","1"
"A little","2004","Urban Area","West Germany","4076","0.341416030367929","0.333153443633815","0.349678617102044","2"
"A little","2004","Urban Area","East Germany","707","0.378346626101128","0.356096332968253","0.400596919234003","2"
"A little","2004","Rural Area","West Germany","1285","0.349157818391939","0.333910556776789","0.364405080007089","2"
"A little","2004","Rural Area","East Germany","1339","0.404696083922812","0.388219451197693","0.421172716647931","2"
"Not at all","2004","Urban Area","West Germany","6943","0.492984257209411","0.484272700922645","0.501695813496178","3"
"Not at all","2004","Urban Area","East Germany","869","0.456721799946655","0.433868250205113","0.479575349688196","3"
"Not at all","2004","Rural Area","West Germany","1998","0.502558278349456","0.486566106798892","0.51855044990002","3"
"Not at all","2004","Rural Area","East Germany","1560","0.41529758025009","0.398755819456189","0.431839341043992","3"
