"ple0005","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Not Employed","no migration background","1809","0.300429798331404","0.289632245033455","0.311227351629352"
"Strong","2002","Not Employed","direct migration background","264","0.251588656707607","0.226003819332985","0.277173494082228"
"Strong","2002","Not Employed","indirect migration background","18","","",""
"Strong","2002","Employed","no migration background","782","0.0698945085025834","0.0654331638622626","0.0743558531429043"
"Strong","2002","Employed","direct migration background","124","0.0781469480977509","0.065388128692808","0.0909057675026938"
"Strong","2002","Employed","indirect migration background","17","","",""
"A little","2002","Not Employed","no migration background","2710","0.407600246792058","0.39602679636496","0.419173697219157"
"A little","2002","Not Employed","direct migration background","437","0.415320189114704","0.386265413723148","0.444374964506259"
"A little","2002","Not Employed","indirect migration background","45","0.220888932715595","0.167961752759969","0.27381611267122"
"A little","2002","Employed","no migration background","4061","0.328562682056339","0.320344230544725","0.336781133567952"
"A little","2002","Employed","direct migration background","531","0.326062392994029","0.303778871099448","0.34834591488861"
"A little","2002","Employed","indirect migration background","110","0.256953757784414","0.220167648602014","0.293739866966814"
"Not at all","2002","Not Employed","no migration background","2406","0.291969954876538","0.281261344259894","0.302678565493181"
"Not at all","2002","Not Employed","direct migration background","404","0.33309115417769","0.305301589690134","0.360880718665245"
"Not at all","2002","Not Employed","indirect migration background","173","0.673242819598287","0.613402965692973","0.733082673503602"
"Not at all","2002","Employed","no migration background","7704","0.601542809441078","0.592976332579304","0.610109286302851"
"Not at all","2002","Employed","direct migration background","1045","0.59579065890822","0.572462866168653","0.619118451647787"
"Not at all","2002","Employed","indirect migration background","415","0.712463376912707","0.674358873669576","0.750567880155838"
"Strong","2003","Not Employed","no migration background","","","",""
"Strong","2003","Not Employed","direct migration background","","","",""
"Strong","2003","Not Employed","indirect migration background","","","",""
"Strong","2003","Employed","no migration background","","","",""
"Strong","2003","Employed","direct migration background","","","",""
"Strong","2003","Employed","indirect migration background","","","",""
"A little","2003","Not Employed","no migration background","","","",""
"A little","2003","Not Employed","direct migration background","","","",""
"A little","2003","Not Employed","indirect migration background","","","",""
"A little","2003","Employed","no migration background","","","",""
"A little","2003","Employed","direct migration background","","","",""
"A little","2003","Employed","indirect migration background","","","",""
"Not at all","2003","Not Employed","no migration background","","","",""
"Not at all","2003","Not Employed","direct migration background","","","",""
"Not at all","2003","Not Employed","indirect migration background","","","",""
"Not at all","2003","Employed","no migration background","","","",""
"Not at all","2003","Employed","direct migration background","","","",""
"Not at all","2003","Employed","indirect migration background","","","",""
"Strong","2004","Not Employed","no migration background","1805","0.308311363676457","0.297365913478853","0.31925681387406"
"Strong","2004","Not Employed","direct migration background","258","0.253810392672063","0.227685844548012","0.279934940796113"
"Strong","2004","Not Employed","indirect migration background","10","","",""
"Strong","2004","Employed","no migration background","670","0.0716518281962954","0.0669283975627937","0.076375258829797"
"Strong","2004","Employed","direct migration background","109","0.0929473524824434","0.0781294463124069","0.10776525865248"
"Strong","2004","Employed","indirect migration background","12","","",""
"A little","2004","Not Employed","no migration background","2607","0.395547566922001","0.383958086489978","0.407137047354024"
"A little","2004","Not Employed","direct migration background","414","0.378554308195713","0.3494380758726","0.407670540518827"
"A little","2004","Not Employed","indirect migration background","43","0.214390353073131","0.164601300645125","0.264179405501138"
"A little","2004","Employed","no migration background","3744","0.331302581089834","0.322682413807681","0.339922748371988"
"A little","2004","Employed","direct migration background","485","0.33488379723384","0.310798727256538","0.358968867211143"
"A little","2004","Employed","indirect migration background","114","0.231253801097093","0.195952253707493","0.266555348486693"
"Not at all","2004","Not Employed","no migration background","2426","0.296141069401542","0.285319863127971","0.306962275675114"
"Not at all","2004","Not Employed","direct migration background","394","0.367635299132224","0.338691075806748","0.3965795224577"
"Not at all","2004","Not Employed","indirect migration background","208","0.744849187339096","0.691960779951449","0.797737594726743"
"Not at all","2004","Employed","no migration background","7039","0.59704559071387","0.588062616262192","0.606028565165548"
"Not at all","2004","Employed","direct migration background","881","0.572168850283717","0.546919489557429","0.597418211010004"
"Not at all","2004","Employed","indirect migration background","422","0.755913165973324","0.719949335338438","0.791876996608211"
"Strong","2005","Not Employed","no migration background","","","",""
"Strong","2005","Not Employed","direct migration background","","","",""
"Strong","2005","Not Employed","indirect migration background","","","",""
"Strong","2005","Employed","no migration background","","","",""
"Strong","2005","Employed","direct migration background","","","",""
"Strong","2005","Employed","indirect migration background","","","",""
"A little","2005","Not Employed","no migration background","","","",""
"A little","2005","Not Employed","direct migration background","","","",""
"A little","2005","Not Employed","indirect migration background","","","",""
"A little","2005","Employed","no migration background","","","",""
"A little","2005","Employed","direct migration background","","","",""
