"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","38.66","40","2676","32","40","40","41","38.38","38.94","40","40"
"1984","35-65 y.","37.36","40","3589","21","40","40","40","37.09","37.63","40","40"
"1984","66 and older","","","","","","","","","","",""
"1985","16-34 y.","38.37","40","2343","35","40","40","40","38.1","38.64","40","40"
"1985","35-65 y.","36.51","40","3169","20","39","40","40","36.24","36.78","40","40"
"1985","66 and older","","","","","","","","","","",""
"1986","16-34 y.","38.23","40","2365","35","39","40","40","37.98","38.48","40","40"
"1986","35-65 y.","36.56","40","2967","22","38","40","40","36.29","36.83","40","40"
"1986","66 and older","","","","","","","","","","",""
"1987","16-34 y.","37.96","40","2370","35","38.5","40","40","37.7","38.22","40","40"
"1987","35-65 y.","36.36","40","2954","22","38","40","40","36.08","36.64","40","40"
"1987","66 and older","","","","","","","","","","",""
"1988","16-34 y.","37.81","40","2268","34","38","40","40","37.53","38.09","40","40"
"1988","35-65 y.","36.01","40","2777","20","38","40","40","35.72","36.3","40","40"
"1988","66 and older","","","","","","","","","","",""
"1989","16-34 y.","37.37","40","2298","30","38","40","40","37.09","37.65","39","40"
"1989","35-65 y.","36.03","39","2704","20","37","40","40","35.74","36.32","39","39"
"1989","66 and older","","","","","","","","","","",""
"1990","16-34 y.","37.98","39","3532","34","37.5","40","43.7999992370605","37.76","38.2","39","40"
"1990","35-65 y.","36.72","38.5","4509","22.5","37","40","43.7999992370605","36.49","36.95","39","39"
"1990","66 and older","","","","","","","","","","",""
"1991","16-34 y.","37.12","38.5","3267","30","37.5","40","40","36.89","37.35","38.5","39"
"1991","35-65 y.","35.87","38.5","4253","20.5","37","40","40","35.64","36.1","38.5","38.5"
"1991","66 and older","","","","","","","","","","",""
"1992","16-34 y.","36.92","38.5","3047","30","37.5","40","40","36.69","37.15","38.5","38.5"
"1992","35-65 y.","35.58","38.5","3935","20","37","40","40","35.34","35.82","38.5","38.5"
"1992","66 and older","","","","","","","","","","",""
"1993","16-34 y.","36.79","38.5","2932","30","37.5","40","40","36.56","37.02","38.5","38.5"
"1993","35-65 y.","35.39","38.5","3785","20","37","40","40","35.15","35.63","38.5","38.5"
"1993","66 and older","","","","","","","","","","",""
"1994","16-34 y.","36.64","38.5","2814","26.7999992370605","37.5","40","40","36.39","36.89","38.5","38.5"
"1994","35-65 y.","35.22","38.5","3647","20","36","40","40","34.96","35.48","38.5","38.5"
"1994","66 and older","","","","","","","","","","",""
"1995","16-34 y.","36.33","38.5","2933","25","37","40","40","36.06","36.6","38.5","38.5"
"1995","35-65 y.","34.76","38","3806","20","35","40","40","34.5","35.02","38","38.5"
"1995","66 and older","","","","","","","","","","",""
"1996","16-34 y.","36.2","38.5","2776","25","37","40","40","35.94","36.46","38.5","38.5"
"1996","35-65 y.","34.71","38","3731","20","35","40","40","34.45","34.97","38","38.5"
"1996","66 and older","","","","","","","","","","",""
"1997","16-34 y.","36.16","38.5","2622","25","37","40","40","35.89","36.43","38.5","38.5"
"1997","35-65 y.","34.86","38","3537","20","35","40","40","34.6","35.12","38","38.5"
"1997","66 and older","","","","","","","","","","",""
"1998","16-34 y.","36.03","38.5","2748","25","37","40","40","35.75","36.31","38.5","38.5"
"1998","35-65 y.","34.64","38","3995","20","35","40","40","34.38","34.9","38","38.5"
"1998","66 and older","","","","","","","","","","",""
"1999","16-34 y.","35.83","38.5","2703","20","37","40","40","35.54","36.12","38.5","38.5"
"1999","35-65 y.","34.64","38","4007","20","35","40","40","34.38","34.9","38","38.5"
"1999","66 and older","","","","","","","","","","",""
"2000","16-34 y.","35.78","38.5","3994","20","37","40","40","35.53","36.03","38.5","38.5"
"2000","35-65 y.","34.56","38","7147","20","35","40","40","34.36","34.76","38","38.5"
"2000","66 and older","","","","","","","","","","",""
"2001","16-34 y.","35.3","38.5","3593","20","36","40","40","35.01","35.59","38.5","38.5"
"2001","35-65 y.","34.19","38","6848","20","32","40","40","33.97","34.41","38","38.5"
"2001","66 and older","16.04","12","35","5","9","20","38.5","11.6","20.48","10","20"
