"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","33.4","40","2375","20","25","40","40","51","32.98","33.82","1","80","40","40"
"1984","Male","40.63","40","3909","40","40","40","42","60","40.48","40.78","0","80","40","40"
"1985","Female","33.55","40","2136","20","25","40","40","47","33.13","33.97","1","74","40","40"
"1985","Male","39.78","40","3387","40","40","40","40","50","39.64","39.92","4","72","40","40"
"1986","Female","33.7","40","2078","20","25","40","40","45","33.29","34.11","2","60","40","40"
"1986","Male","39.64","40","3262","38","40","40","40","50","39.52","39.76","8","76","40","40"
"1987","Female","33.38","39","2084","20","25","40","40","45","32.97","33.79","1","80","38.5","40"
"1987","Male","39.49","40","3247","38","39","40","40","53","39.35","39.63","4","80","40","40"
"1988","Female","33.01","38.5","1981","20","25","40","40","45","32.57","33.45","2","72","38.5","39"
"1988","Male","39.26","40","3074","38","38.5","40","40","50","39.13","39.39","3","70","40","40"
"1989","Female","32.97","38","1982","20","25","40","40","46","32.54","33.4","2","77","38","38.5"
"1989","Male","39.02","40","3031","37","38","40","40","50","38.88","39.16","5","68","40","40"
"1990","Female","34.16","38.5","3522","20","29","40","43.7","46","33.85","34.47","1.4","80","38.5","39"
"1990","Male","39.55","39","4537","37","38","40","43.8","50","39.42","39.68","4","76","40","40"
"1991","Female","33.19","38","3287","19.3","26","40","40","45","32.88","33.5","0.2","57.8","38.5","38.5"
"1991","Male","38.8","38.5","4240","37","37.5","40","41","50","38.68","38.92","0","74","39","39"
"1992","Female","32.85","38","3032","19","25","40","40","45","32.52","33.18","0.6","60.5","38","38.5"
"1992","Male","38.61","38.5","3952","37","37.5","40","40","50","38.49","38.73","3","72","38.5","39"
"1993","Female","32.7","38","2945","19.3","25","39.5","40","45","32.37","33.03","0","60","38","38"
"1993","Male","38.41","38.5","3778","37","37.5","40","40","50","38.3","38.52","8","70","38.5","38.5"
"1994","Female","32.28","37.5","2866","18","25","39","40","42.5","31.94","32.62","0","70","38","38"
"1994","Male","38.43","38.5","3601","36","37.5","40","40","50.5","38.3","38.56","0","72","38.5","38.5"
"1995","Female","31.75","37.5","2964","18","24","39","40","42.5","31.4","32.1","0.4","60","37.5","38"
"1995","Male","37.9","38.5","3784","36","37.5","40","40","50.5","37.74","38.06","2","72","38.5","38.5"
"1996","Female","31.72","37.5","2904","18","24","38.5","40","42.5","31.37","32.07","0.5","60","37.5","38"
"1996","Male","37.98","38.5","3607","35","37.5","40","40","50","37.84","38.12","0.3","61","38.5","38.5"
"1997","Female","31.85","37.5","2743","18","24","39","40","42.5","31.49","32.21","1","65","37.5","38"
"1997","Male","38.01","38.5","3423","35","37.5","40","40","50","37.86","38.16","2","80","38.5","38.5"
"1998","Female","31.5","37.5","3013","15","24","39","40","42.5","31.15","31.85","2","60","37.5","37.5"
"1998","Male","37.83","38.5","3741","35","37.5","40","40","50","37.67","37.99","2","72","38.5","38.5"
"1999","Female","31.19","37.5","3040","15","22.5","38.5","40","42.5","30.83","31.55","2","60","37.5","37.5"
"1999","Male","37.93","38.5","3685","35","37.5","40","40","55","37.77","38.09","2","70","38.5","38.5"
"2000","Female","30.98","37","5072","15","22","39","40","45","30.69","31.27","1","72","37","37.5"
"2000","Male","38.05","38.5","6093","35","37.5","40","40","50","37.93","38.17","2","77","38.5","38.7000007629395"
"2001","Female","30.49","36","4896","13.5","20","38.5","40","42.5","30.19","30.79","1","60","36","37"
"2001","Male","37.8","38.5","5580","35","37.5","40","40","50.5","37.65","37.95","2","75","38.5","38.5"
"2002","Female","30.3","35","5019","12","20","38.5","40","43","30.01","30.59","1","70","35","37"
"2002","Male","38.03","38.5","5546","35","37.5","40","40","54","37.89","38.17","1.5","75","38.5","38.5"
"2003","Female","29.76","35","4956","12","20","38.5","40","45","29.46","30.06","1","60","35","35"
"2003","Male","37.65","38.5","5341","35","37.5","40","40","50","37.49","37.81","1","60","38.5","38.5"
"2004","Female","30.36","35","4627","13","20","38.5","40","44","30.05","30.67","1","78","35","36"
"2004","Male","37.82","38.5","4945","35","37.5","40","40","50","37.66","37.98","3","80","38.5","39"
"2005","Female","30.6","35","4400","14.5","21.5","39","40","45","30.28","30.92","1","60","35","35"
