"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1984","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","Female","33.4","40","2375","20","25","40","40","51","32.98","33.82","1","80","40","40"
"1984","Westdeutschland, alte Bundeslaender","Male","40.63","40","3909","40","40","40","42","60","40.48","40.78","0","80","40","40"
"1985","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1985","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","Female","33.55","40","2136","20","25","40","40","47","33.13","33.97","1","74","40","40"
"1985","Westdeutschland, alte Bundeslaender","Male","39.78","40","3387","40","40","40","40","50","39.64","39.92","4","72","40","40"
"1986","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1986","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","Female","33.7","40","2078","20","25","40","40","45","33.29","34.11","2","60","40","40"
"1986","Westdeutschland, alte Bundeslaender","Male","39.64","40","3262","38","40","40","40","50","39.52","39.76","8","76","40","40"
"1987","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1987","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","Female","33.38","39","2084","20","25","40","40","45","32.97","33.79","1","80","38.5","40"
"1987","Westdeutschland, alte Bundeslaender","Male","39.49","40","3247","38","39","40","40","53","39.35","39.63","4","80","40","40"
"1988","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1988","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","Female","33.01","38.5","1981","20","25","40","40","45","32.57","33.45","2","72","38.5","39"
"1988","Westdeutschland, alte Bundeslaender","Male","39.26","40","3074","38","38.5","40","40","50","39.13","39.39","3","70","40","40"
"1989","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"1989","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","Female","32.97","38","1982","20","25","40","40","46","32.54","33.4","2","77","38","38.5"
"1989","Westdeutschland, alte Bundeslaender","Male","39.02","40","3031","37","38","40","40","50","38.88","39.16","5","68","40","40"
"1990","Ostdeutschland, neue Bundeslaender","Female","38.61","42","1541","27.5","35","43.8","43.8","48","38.24","38.98","4","56","40","42"
"1990","Ostdeutschland, neue Bundeslaender","Male","42.94","43.7","1628","40","42.8","43.8","45","50","42.75","43.13","9","76","43.7000007629395","43.7999992370605"
"1990","Westdeutschland, alte Bundeslaender","Female","32.42","38","1981","19","25","39","40","45","31.99","32.85","1.4","80","37.5","38"
"1990","Westdeutschland, alte Bundeslaender","Male","38.51","38.5","2909","37","37.5","40","40","49","38.37","38.65","4","75","38.5","38.5"
"1991","Ostdeutschland, neue Bundeslaender","Female","37.6","40","1224","30","38","40","43","46","37.23","37.97","4.5","57.8","40","40"
"1991","Ostdeutschland, neue Bundeslaender","Male","40.5","40","1325","40","40","42","43.7","50","40.3","40.7","0","66","40","40"
"1991","Westdeutschland, alte Bundeslaender","Female","31.75","37.5","2063","17.5","23","38.5","40","45","31.32","32.18","0.2","55","37.5","37.5"
"1991","Westdeutschland, alte Bundeslaender","Male","38.32","38.5","2915","37","37.5","40","40","50","38.17","38.47","4","74","38.5","38.5"
"1992","Ostdeutschland, neue Bundeslaender","Female","37.7","40","1014","30","40","40","40","45","37.35","38.05","3","50","40","40"
"1992","Ostdeutschland, neue Bundeslaender","Male","40.16","40","1136","40","40","40","42","50","39.96","40.36","3","72","40","40"
"1992","Westdeutschland, alte Bundeslaender","Female","31.51","37.5","2018","16","23","38.5","40","46","31.08","31.94","0.6","60.5","37.5","37.5"
"1992","Westdeutschland, alte Bundeslaender","Male","38.23","38.5","2816","37","37.5","39","40","50","38.08","38.38","5","70","38.5","38.5"
"1993","Ostdeutschland, neue Bundeslaender","Female","37.53","40","940","30","39","40","40","45","37.15","37.91","0","60","40","40"
"1993","Ostdeutschland, neue Bundeslaender","Male","40.02","40","1029","40","40","40","42","51","39.82","40.22","8","70","40","40"
"1993","Westdeutschland, alte Bundeslaender","Female","31.43","37.5","2005","16","22.5","38.5","40","45","30.99","31.87","0.8","58","37.5","37.5"
"1993","Westdeutschland, alte Bundeslaender","Male","38.04","38.5","2749","36.5","37.5","39","40","50","37.91","38.17","10","68","38","38.5"
"1994","Ostdeutschland, neue Bundeslaender","Female","37.05","40","924","29","38","40","40","42.5","36.63","37.47","0","48","40","40"
"1994","Ostdeutschland, neue Bundeslaender","Male","39.74","40","1007","39","40","40","42","50","39.52","39.96","0","60","40","40"
"1994","Westdeutschland, alte Bundeslaender","Female","31.04","37.5","1942","16","22","38.5","40","42.5","30.59","31.49","0.8","70","37.5","37.5"
"1994","Westdeutschland, alte Bundeslaender","Male","38.12","38.5","2594","36","37.5","39","40","55","37.96","38.28","0","72","38.5","38.5"
"1995","Ostdeutschland, neue Bundeslaender","Female","36.05","40","925","25","32.5","40","40","43.8","35.59","36.51","0.4","48.5","40","40"
"1995","Ostdeutschland, neue Bundeslaender","Male","39.47","40","1014","38.5","40","40","41","50.5","39.2","39.74","2","60","40","40"
"1995","Westdeutschland, alte Bundeslaender","Female","30.64","37","2039","15","20","38.5","40","42","30.2","31.08","2","60","37","37.5"
"1995","Westdeutschland, alte Bundeslaender","Male","37.53","38.5","2770","36","37.5","39","40","52","37.34","37.72","2.2","72","38","38.5"
"1996","Ostdeutschland, neue Bundeslaender","Female","36.46","40","903","25","35","40","40","43.8","36.02","36.9","0.5","60","40","40"
"1996","Ostdeutschland, neue Bundeslaender","Male","39.55","40","958","38","39","40","40","50","39.31","39.79","2.5","61","40","40"
"1996","Westdeutschland, alte Bundeslaender","Female","30.54","37","2001","15","20","38.5","40","41.5","30.09","30.99","2","54","36","37.5"
"1996","Westdeutschland, alte Bundeslaender","Male","37.63","38.5","2649","35","37","39","40","50","37.46","37.8","0.3","60","38","38.5"
"1997","Ostdeutschland, neue Bundeslaender","Female","36.24","40","852","25","35","40","40","43","35.81","36.67","5","56","40","40"
"1997","Ostdeutschland, neue Bundeslaender","Male","39.43","40","904","38","39","40","40","50.5","39.15","39.71","2","70","40","40"
"1997","Westdeutschland, alte Bundeslaender","Female","30.8","37","1891","15","20","38.5","40","42.5","30.34","31.26","1","65","36.5","37.5"
"1997","Westdeutschland, alte Bundeslaender","Male","37.71","38.5","2519","35","37","40","40","50","37.53","37.89","2","80","38","38.5"
"1998","Ostdeutschland, neue Bundeslaender","Female","35.42","40","882","24","32","40","40","43.5","34.93","35.91","3","49","40","40"
"1998","Ostdeutschland, neue Bundeslaender","Male","39.1","40","956","37.6","39","40","40","50.5","38.78","39.42","2","60","40","40"
"1998","Westdeutschland, alte Bundeslaender","Female","30.55","36.5","2131","15","20","38.5","40","42","30.11","30.99","2","60","35.5","37.5"
"1998","Westdeutschland, alte Bundeslaender","Male","37.55","38.5","2785","35","37","40","40","50","37.37","37.73","2","72","38.5","38.5"
"1999","Ostdeutschland, neue Bundeslaender","Female","35.43","40","907","24","32","40","40","42.5","34.95","35.91","2","56","40","40"
"1999","Ostdeutschland, neue Bundeslaender","Male","39.31","40","968","37.5","39","40","40","50.5","39.03","39.59","2","62","40","40"
"1999","Westdeutschland, alte Bundeslaender","Female","30.21","36.5","2133","12","20","38.5","40","42","29.76","30.66","2","60","35","37"
"1999","Westdeutschland, alte Bundeslaender","Male","37.64","38.5","2717","35","37.5","40","40","55","37.44","37.84","5","70","38.5","38.5"
"2000","Ostdeutschland, neue Bundeslaender","Female","35.13","40","1314","22","31","40","40","45","34.7","35.56","4","70","40","40"
"2000","Ostdeutschland, neue Bundeslaender","Male","39.14","40","1383","37.5","39","40","40","50","38.91","39.37","4","60","40","40"
"2000","Westdeutschland, alte Bundeslaender","Female","30.01","35","3758","13","20","38.5","40","43","29.67","30.35","1","72","35","35"
"2000","Westdeutschland, alte Bundeslaender","Male","37.82","38.5","4710","35","37.5","40","40","50","37.68","37.96","2","77","38.5","38.5"
"2001","Ostdeutschland, neue Bundeslaender","Female","34.3","39","1253","20","30","40","40","44.2","33.84","34.76","1","54","39","40"
"2001","Ostdeutschland, neue Bundeslaender","Male","38.71","40","1284","37.5","38.5","40","40","50","38.42","39","4","60","40","40"
"2001","Westdeutschland, alte Bundeslaender","Female","29.63","35","3643","12","20","38.5","40","42.5","29.27","29.99","1","60","34","35"
"2001","Westdeutschland, alte Bundeslaender","Male","37.61","38.5","4296","35","37.5","40","40","52","37.44","37.78","2","75","38.5","38.5"
"2002","Ostdeutschland, neue Bundeslaender","Female","34.83","39","1223","22","30","40","40","45","34.38","35.28","2.5","56","39","40"
"2002","Ostdeutschland, neue Bundeslaender","Male","39.06","40","1211","37.5","39","40","40","50.5","38.78","39.34","3","65","40","40"
"2002","Westdeutschland, alte Bundeslaender","Female","29.31","35","3796","12","20","38.5","40","42.5","28.97","29.65","1","70","32","35"
"2002","Westdeutschland, alte Bundeslaender","Male","37.83","38.5","4335","35","37.5","40","40","54","37.67","37.99","1.5","75","38.5","38.5"
"2003","Ostdeutschland, neue Bundeslaender","Female","34.06","38.5","1182","20","30","40","40","45.5","33.57","34.55","4","56","38","40"
"2003","Ostdeutschland, neue Bundeslaender","Male","38.5","40","1192","36","38.5","40","40","50.5","38.17","38.83","3","60","40","40"
"2003","Westdeutschland, alte Bundeslaender","Female","28.87","34","3774","11","20","38.5","40","43","28.52","29.22","1","60","30","33.7000007629395"
"2003","Westdeutschland, alte Bundeslaender","Male","37.48","38.5","4149","35","37.5","40","40","50","37.3","37.66","1","60","38.5","38.5"
"2004","Ostdeutschland, neue Bundeslaender","Female","34.11","38","1135","20","30","40","40","44","33.62","34.6","3","78","38","39"
"2004","Ostdeutschland, neue Bundeslaender","Male","37.76","40","1116","34.2","38.5","40","40","53","37.41","38.11","3","64","40","40"
"2004","Westdeutschland, alte Bundeslaender","Female","29.59","35","3492","12","20","38.5","40","43","29.23","29.95","1","72","31.2000007629395","35"
"2004","Westdeutschland, alte Bundeslaender","Male","37.84","38.5","3829","35","37.5","40","40","50","37.66","38.02","4","80","38.5","38.5"
