"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","East Germany","","","","","","","","","","","","","",""
"1985","Rural Area","West Germany","37.16","40","1016","21","40","40","40","50","36.68","37.64","3","56","40","40"
"1985","Urban Area","East Germany","","","","","","","","","","","","","",""
"1985","Urban Area","West Germany","37.29","40","4507","24","40","40","40","50","37.07","37.51","1","74","40","40"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","37.32","40","1004","25","39","40","40","50","36.86","37.78","4","60","40","40"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","37.23","40","4336","25","38","40","40","48","37.02","37.44","2","76","40","40"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","36.8","40","1033","23","38","40","40","50","36.33","37.27","1","65","40","40"
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","37.07","40","4298","25","38","40","40","50","36.86","37.28","2","80","40","40"
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","36.91","40","938","24","38","40","40","56","36.42","37.4","5","62","40","40"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","36.68","40","4117","24","38","40","40","48","36.45","36.91","2","72","40","40"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","37.25","40","937","24","37.5","40","40","63","36.73","37.77","5","77","40","40"
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","36.39","39","4076","22","37.5","40","40","48","36.17","36.61","2","66","39","39"
"1990","Rural Area","East Germany","40.66","43.7","1982","30","40","43.8","44","50","40.37","40.95","4","76","43.5","43.7000007629395"
"1990","Rural Area","West Germany","36.11","38.5","959","22","37","40","40","54","35.61","36.61","1.4","60","38.5","38.5"
"1990","Urban Area","East Germany","41.22","43.7","1124","35","40","43.8","43.8","48","40.89","41.55","7","72","43.7000007629395","43.7000007629395"
"1990","Urban Area","West Germany","35.94","38.5","3931","22","37.5","39","40","47.5","35.71","36.17","2","80","38.5","38.5"
"1991","Rural Area","East Germany","38.92","40","1607","30","40","40","43.7","49","38.63","39.21","0","66","40","40"
