"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","37.16","40","1016","21","40","40","40","50","36.68","37.64","3","56","40","40"
"1985","Urban Area","37.29","40","4507","24","40","40","40","50","37.07","37.51","1","74","40","40"
"1986","Rural Area","37.32","40","1004","25","39","40","40","50","36.86","37.78","4","60","40","40"
"1986","Urban Area","37.23","40","4336","25","38","40","40","48","37.02","37.44","2","76","40","40"
"1987","Rural Area","36.8","40","1033","23","38","40","40","50","36.33","37.27","1","65","40","40"
"1987","Urban Area","37.07","40","4298","25","38","40","40","50","36.86","37.28","2","80","40","40"
"1988","Rural Area","36.91","40","938","24","38","40","40","56","36.42","37.4","5","62","40","40"
"1988","Urban Area","36.68","40","4117","24","38","40","40","48","36.45","36.91","2","72","40","40"
"1989","Rural Area","37.25","40","937","24","37.5","40","40","63","36.73","37.77","5","77","40","40"
"1989","Urban Area","36.39","39","4076","22","37.5","40","40","48","36.17","36.61","2","66","39","39"
"1990","Rural Area","38.38","40","2941","26","38","43.7","43.8","51","38.11","38.65","1.4","76","40","40"
"1990","Urban Area","36.67","38.5","5055","24","37.5","40","43","48","36.47","36.87","2","80","38.5","39"
"1991","Rural Area","37.06","40","2592","25","37.5","40","42","50","36.79","37.33","0","74","40","40"
"1991","Urban Area","36.03","38.5","4880","22","37","40","40","48","35.82","36.24","0.2","72","38.5","38.5"
"1992","Rural Area","36.69","39","2281","25","37.5","40","40","50","36.41","36.97","2","72","40","40"
"1992","Urban Area","35.86","38.5","4631","22.5","37","40","40","48","35.65","36.07","0.6","70","38.5","38.5"
"1993","Rural Area","36.47","38.5","2183","25","37.5","40","40","50","36.19","36.75","1","70","40","40"
"1993","Urban Area","35.73","38","4540","22.5","37","39","40","48","35.52","35.94","0","68","38","38.5"
"1994","Rural Area","36.21","39","2135","24","37","40","40","50","35.91","36.51","0","70","40","40"
"1994","Urban Area","35.59","38.5","4332","21","36.5","39","40","48","35.36","35.82","0","72","38","38.5"
"1995","Rural Area","35.68","38.5","2274","20","36.5","40","40","48","35.36","36","4","72","39","40"
"1995","Urban Area","35.14","38","4474","20","36","39","40","50","34.9","35.38","0.4","72","38","38"
"1996","Rural Area","35.8","38.5","2204","23","35","40","40","48","35.5","36.1","2.5","61","39","39"
"1996","Urban Area","35.07","38","4307","20","35","39","40","48","34.83","35.31","0.3","60","38","38.5"
"1997","Rural Area","36.01","38.5","2084","23","36","40","40","46","35.71","36.31","2","70","39","40"
"1997","Urban Area","35.07","38","4082","20","35","39.5","40","48.8","34.83","35.31","1","80","38","38"
"1998","Rural Area","35.65","38.5","2293","22","35","40","40","48","35.33","35.97","3","72","38.5","39"
"1998","Urban Area","34.89","38","4461","20","35","40","40","48","34.65","35.13","2","60","38","38.2999992370605"
"1999","Rural Area","35.5","38.5","2325","20","35","40","40","48","35.17","35.83","2","70","38.5","39"
"1999","Urban Area","34.77","38","4400","20","35","40","40","50","34.52","35.02","2","70","38","38.5"
"2000","Rural Area","35.54","38.5","3846","20","35","40","40","48","35.28","35.8","2","70","38.5","39"
"2000","Urban Area","34.66","38","7319","20","35","40","40","48","34.46","34.86","1","77","38","38.5"
"2001","Rural Area","35.1","38.5","3550","20","35","40","40","48","34.81","35.39","1","72","38.5","38.5"
"2001","Urban Area","34.2","38","6926","19.5","35","40","40","50","33.98","34.42","1","75","38","38"
"2002","Rural Area","35.01","38.5","3475","20","35","40","40","48","34.72","35.3","1.5","65","38.5","38.5"
"2002","Urban Area","34.3","38","7090","20","35","40","40","50","34.09","34.51","1","75","38","38"
"2003","Rural Area","34.47","38.5","3386","19.5","34","40","40","48","34.16","34.78","1","60","38.5","38.5"
"2003","Urban Area","33.84","38","6911","19","32","40","40","48","33.61","34.07","1","60","38","38"
"2004","Rural Area","34.98","38.5","3151","20","35","40","40","50","34.66","35.3","1","80","38.5","38.5"
"2004","Urban Area","34.12","38","6421","19.5","35","40","40","48","33.89","34.35","1","70","38","38.5"
"2005","Rural Area","35.41","38.5","2978","20","35","40","40","50","35.08","35.74","1","77","38.5","39"
"2005","Urban Area","34.42","38.5","6127","20","34","40","40","50","34.19","34.65","1.5","80","38.5","38.5"
"2006","Rural Area","35.01","38.5","3169","20","35","40","40","48","34.7","35.32","3.5","72","38.5","38.5"
"2006","Urban Area","34.28","38.5","6328","20","32.5","40","40","48","34.05","34.51","1","60","38.5","38.5"
"2007","Rural Area","35.19","39","3127","20","35","40","40","54","34.87","35.51","2","70","39","39.5"
"2007","Urban Area","34.25","38.5","6034","19.5","30","40","40","50","34.01","34.49","1.5","77","38.5","38.5"
"2008","Rural Area","35.05","39","2909","20","35","40","40","50","34.71","35.39","1","80","38.5999984741211","39"
"2008","Urban Area","34.43","38.5","5775","19.5","32","40","40","49","34.18","34.68","1.3","72","38.5","38.5"
"2009","Rural Area","34.99","39","2826","20","35","40","40","50","34.65","35.33","2","77","39","39"
"2009","Urban Area","34.37","38.5","5341","19.3","32.5","40","40","48.2","34.11","34.63","1.5","65","38.5","38.5"
"2010","Rural Area","34.33","39","4005","18","30","40","40","50","34","34.66","1","72","38.5","38.5999984741211"
"2010","Urban Area","34.01","38.5","7428","18","30","40","40","48","33.77","34.25","0.3","70","38.5","38.5"
"2011","Rural Area","34.73","39","4995","20","32","40","40","50","34.44","35.02","0.5","80","38.5","39"
"2011","Urban Area","34.21","38.9","8871","19","30","40","40","48","33.99","34.43","1","72","38","38.5"
"2012","Rural Area","34.66","39","4987","20","31.5","40","40","48","34.38","34.94","1.5","72","38.5","39"
"2012","Urban Area","34.2","39","8673","18","30","40","40","50","33.98","34.42","1","70","38","38.5"
"2013","Rural Area","34.68","39","5278","20","30","40","40","48","34.41","34.95","1","70","38.5","39"
"2013","Urban Area","34.2","39","10299","19","30","40","40","48","34","34.4","1","72","38","38.5"
"2014","Rural Area","33.71","38.5","4811","16","30","40","40","48","33.42","34","1","65","38","38.5"
"2014","Urban Area","33.78","38.5","9188","17","30","40","40","48","33.56","34","1","72","38","38.5"
"2015","Rural Area","34.03","39","4737","19.3","30","40","40","48","33.74","34.32","2","60","38","38.5"
"2015","Urban Area","33.92","38.5","9028","18","30","40","40","48","33.7","34.14","1","77","38","38.5"
"2016","Rural Area","34.17","38.7","4384","19.5","30","40","40","48","33.87","34.47","1","65","38","38.5"
