"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","37.9","40","6133","25","40","40","41","60","37.7","38.1","1","80","40","40"
"1984","Not Employed","34.54","40","151","10","35","40","40","45","32.85","36.23","0","55","40","40"
"1985","Employed","37.32","40","5404","24","40","40","40","50","37.12","37.52","1","74","40","40"
"1985","Not Employed","34.11","40","119","15","27","40","40","54","32.13","36.09","2","54","40","40"
"1986","Employed","37.31","40","5237","25","39","40","40","48","37.12","37.5","2","76","40","40"
"1986","Not Employed","34.26","40","103","15","32","40","40","56","32.1","36.42","4","60","40","40"
"1987","Employed","37.08","40","5253","25","38","40","40","50","36.89","37.27","2","80","40","40"
"1987","Not Employed","32.5","40","78","11","21","40","40","52","29.44","35.56","1","60","38","40"
"1988","Employed","36.79","40","4974","24","38","40","40","48","36.59","36.99","2","72","40","40"
"1988","Not Employed","32.52","38","81","17","25","40","40","45","29.83","35.21","2","48","37.5","40"
"1989","Employed","36.68","39","4915","24","37.5","40","40","50","36.48","36.88","2","77","39","39"
"1989","Not Employed","30.66","38","98","10","20","40","40","40","28.31","33.01","5","50","35","39"
"1990","Employed","36.06","38.5","4813","22.5","37.5","39","40","48","35.85","36.27","1.4","80","38.5","38.5"
"1990","Not Employed","29.53","37","77","10","19","39","40","47.5","26.77","32.29","2","47.5","25","38.5"
"1991","Employed","35.61","38.5","4850","20","37","39","40","50","35.4","35.82","1.5","74","38","38.5"
"1991","Not Employed","29.05","37","102","8","15","39","40","54","26.36","31.74","0.2","60","36","38.5"
"1992","Employed","36.2","38.5","6880","24","37.5","40","40","48","36.03","36.37","0.6","72","38.5","38.5"
"1992","Not Employed","30.97","37.57","104","8","20","40","40","56","28.72","33.22","0.8","56","37.5","40"
"1993","Employed","36.02","38.5","6578","24","37","40","40","48","35.85","36.19","0","70","38.5","38.5"
"1993","Not Employed","32.03","37.5","145","15.6","20","40","40","42.5","30.27","33.79","0.8","60","37.5","40"
"1994","Employed","35.81","38.5","6351","22.5","37","40","40","48","35.63","35.99","0","72","38.5","38.5"
"1994","Not Employed","33.48","37.5","116","18","30","40","40","60","31.22","35.74","0","60","36","38.5"
"1995","Employed","35.36","38.5","6608","20","36","40","40","49","35.17","35.55","2","72","38.5","38.5"
"1995","Not Employed","32.41","38.5","140","10","23","40","40","72","30.51","34.31","0.4","72","37.5","38.5"
"1996","Employed","35.38","38.5","6381","20","35","40","40","48","35.19","35.57","0.3","61","38.5","38.5"
"1996","Not Employed","30.32","36","130","10","20","39","40","44","28.38","32.26","5","46","36","39"
"1997","Employed","35.44","38.5","6076","20","35","40","40","48","35.25","35.63","1","80","38.5","38.5"
"1997","Not Employed","28","36.73","90","10","11.5","40","40","50","25.61","30.39","2","50","37","40"
"1998","Employed","35.23","38.5","6650","20","35","40","40","48","35.04","35.42","2","72","38.5","38.5"
"1998","Not Employed","28.82","37.91","104","9","12","40","40","50","26.37","31.27","3","50","35","38.5"
"1999","Employed","35.08","38.5","6618","20","35","40","40","50","34.88","35.28","2","70","38.5","38.5"
"1999","Not Employed","29.69","37.5","107","9","20","40","40","40","27.38","32","2","40","35","38.5"
"2000","Employed","35.06","38.5","10963","20","35","40","40","48","34.9","35.22","1","77","38.5","38.5"
"2000","Not Employed","28.55","36","201","9","18","40","40","48","26.8","30.3","2.3","50","30","38"
"2001","Employed","34.57","38.5","10294","20","35","40","40","50","34.4","34.74","1","75","38.5","38.5"
"2001","Not Employed","29.1","36","182","9","20","40","40","42.5","27.23","30.97","1","49","34","38"
"2002","Employed","34.59","38.5","10418","20","35","40","40","50","34.42","34.76","1","75","38.5","38.5"
"2002","Not Employed","30.08","38.5","147","10","19.5","40","40","48","27.95","32.21","1","48","35","39"
"2003","Employed","34.14","38","10158","19.5","33.2","40","40","48","33.96","34.32","1.5","60","38","38.5"
"2003","Not Employed","27.08","35","139","8","14","40","40","60","24.78","29.38","1","60","25","38"
"2004","Employed","34.46","38.5","9455","20","35","40","40","48","34.28","34.64","1","80","38.5","38.5"
"2004","Not Employed","28.12","35","117","9","18","40","40","45","25.71","30.53","1","48","25","37.5"
"2005","Employed","34.79","38.5","8990","20","35","40","40","50","34.6","34.98","1","80","38.5","38.5"
"2005","Not Employed","29.06","32.29","115","9","20","40","40","45","26.8","31.32","1.5","48","30","38.5"
"2006","Employed","34.61","38.5","9360","20","34","40","40","48","34.42","34.8","1","70","38.5","38.5"
"2006","Not Employed","28.02","30","137","8","16","40","40","42.5","25.86","30.18","1","72","25","35"
"2007","Employed","34.69","38.5","8999","20","33.5","40","40","50","34.5","34.88","1.5","77","38.5","38.5"
"2007","Not Employed","27.19","30","162","8","16","40","40","42","25.22","29.16","3","45","25","35"
"2008","Employed","34.68","38.5","8552","20","34","40","40","48","34.48","34.88","1.5","80","38.5","38.5"
"2008","Not Employed","31.74","35","132","8","21","40","48.5","72","29.31","34.17","1","72","25","38.5"
"2009","Employed","34.67","38.5","8073","20","34","40","40","50","34.46","34.88","1.5","77","38.5","39"
"2009","Not Employed","25.75","30","94","8","10","40","40","40","22.89","28.61","2","40","20","37.5"
"2010","Employed","34.24","38.5","11138","18.5","30","40","40","50","34.05","34.43","0.3","72","38.5","38.5"
"2010","Not Employed","26.66","30","295","8","15","40","40","45","25.2","28.12","1","45","20","25"
"2011","Employed","34.52","39","13517","19.5","32","40","40","48","34.35","34.69","1","80","38.5","38.5"
"2011","Not Employed","27.23","30","349","10","16","40","40","42","25.95","28.51","0.5","45","20","25"
"2012","Employed","34.46","39","13285","19.5","31","40","40","50","34.29","34.63","1","72","38.5","38.5"
"2012","Not Employed","29.21","35","375","8","20","40","40","45","27.91","30.51","1","68","30","32"
"2013","Employed","34.56","39","12444","20","30.4","40","40","48","34.38","34.74","1","72","38","38.5"
"2013","Not Employed","32.77","39","3133","12.5","25","40","40","50","32.37","33.17","1","60","38","39"
"2014","Employed","33.85","38.5","13477","18","30","40","40","48","33.67","34.03","1","72","38","38.5"
"2014","Not Employed","30.57","37.5","522","10","20","40","40","45","29.49","31.65","1.5","60","33","37.5"
"2015","Employed","34.07","38.5","12483","19","30","40","40","48","33.89","34.25","1","77","38","38.5"
