"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","37.82","40","6284","25","40","40","40","60","37.62","38.02","0","80","40","40"
"1985","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","37.26","40","5523","24","40","40","40","50","37.06","37.46","1","74","40","40"
"1986","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","37.25","40","5340","25","39","40","40","48","37.06","37.44","2","76","40","40"
"1987","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","37.01","40","5331","24","38","40","40","50","36.81","37.21","1","80","40","40"
"1988","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","36.73","40","5055","24","38","40","40","48","36.53","36.93","2","72","40","40"
"1989","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","36.56","39","5013","22.5","37.5","40","40","50","36.35","36.77","2","77","39","39"
"1990","Ostdeutschland, neue Bundeslaender","40.88","43.7","3169","30","40","43.8","44","49","40.66","41.1","4","76","43.5","43.7000007629395"
"1990","Westdeutschland, alte Bundeslaender","35.98","38.5","4890","22","37.5","39","40","48","35.77","36.19","1.4","80","38.5","38.5"
"1991","Ostdeutschland, neue Bundeslaender","39.16","40","2549","35","40","40","43.7","48","38.95","39.37","0","66","40","40"
"1991","Westdeutschland, alte Bundeslaender","35.53","38.5","4978","20","37","39","40","50","35.31","35.75","0.2","74","38","38.5"
"1992","Ostdeutschland, neue Bundeslaender","39.05","40","2150","35","40","40","42","50","38.85","39.25","3","72","40","40"
"1992","Westdeutschland, alte Bundeslaender","35.37","38","4834","20","37","39","40","48","35.15","35.59","0.6","70","38","38"
"1993","Ostdeutschland, neue Bundeslaender","38.87","40","1969","35","40","40","41","50","38.65","39.09","0","70","40","40"
"1993","Westdeutschland, alte Bundeslaender","35.23","38","4754","20","37","38.5","40","47.5","35.01","35.45","0.8","68","38","38"
"1994","Ostdeutschland, neue Bundeslaender","38.53","40","1931","32","40","40","40","46","38.29","38.77","0","60","40","40"
