"year","hgtyp1hh","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","general elemantary","36.64","40","233","21","40","40","40","56","35.64","37.64","5","60","40","40"
"1984","(Married) couple without C.","higher education","38.01","40","108","25","40","40","42","50","36.56","39.46","8","54","40","40"
"1984","(Married) couple without C.","higher vocational","38.21","40","69","27","40","40","42","60","36.46","39.96","5","60","40","40"
"1984","(Married) couple without C.","in school","","","","","","","","","","","","","",""
"1984","(Married) couple without C.","inadequately","38.01","40","78","25","40","40","40","50","36.85","39.17","14","50","40","40"
"1984","(Married) couple without C.","middle vocational","38.7","40","693","30","40","40","40","60","38.18","39.22","10","80","40","40"
"1984","(Married) couple without C.","vocational + Abi","40.14","40","41","35","40","40","40","66","37.51","42.77","20","66","40","40"
"1984","1-pers.-HH","general elemantary","36.5","40","103","20","40","40","40","48","35.1","37.9","8","48","40","40"
"1984","1-pers.-HH","higher education","39.18","40","67","25","40","40","42","65","36.99","41.37","16","66","40","40"
"1984","1-pers.-HH","higher vocational","40.92","40","36","40","40","40","43","65","39.15","42.69","25","65","40","40"
"1984","1-pers.-HH","in school","","","","","","","","","","","","","",""
"1984","1-pers.-HH","inadequately","38.55","40","47","40","40","40","47","50","36.62","40.48","4","50","40","40"
"1984","1-pers.-HH","middle vocational","38.42","40","273","39","40","40","40","52","37.62","39.22","4","56","40","40"
"1984","1-pers.-HH","vocational + Abi","","","","","","","","","","","","","",""
"1984","Couple + C. GT 16 ","general elemantary","36.21","40","280","20","40","40","40","55","35.24","37.18","8","60","40","40"
"1984","Couple + C. GT 16 ","higher education","39.8","40","60","32","40","40","45","60","38.29","41.31","20","60","40","40"
"1984","Couple + C. GT 16 ","higher vocational","38.33","40","60","25","40","40","42","50","36.46","40.2","10","56","40","40"
"1984","Couple + C. GT 16 ","in school","","","","","","","","","","","","","",""
"1984","Couple + C. GT 16 ","inadequately","37.91","40","83","32","40","40","40","42","36.32","39.5","10","60","40","40"
"1984","Couple + C. GT 16 ","middle vocational","38","40","592","25","40","40","40","55","37.41","38.59","6","70","40","40"
"1984","Couple + C. GT 16 ","vocational + Abi","","","","","","","","","","","","","",""
"1984","Couple + C. LE 16","general elemantary","33.7","40","348","15","25","40","40","51","32.68","34.72","3","70","40","40"
"1984","Couple + C. LE 16","higher education","38.12","40","163","24","40","40","45","60","36.7","39.54","11","70","40","40"
"1984","Couple + C. LE 16","higher vocational","36.9","40","131","20","40","40","40","70","35.12","38.68","2","77","40","40"
"1984","Couple + C. LE 16","in school","","","","","","","","","","","","","",""
"1984","Couple + C. LE 16","inadequately","38.43","40","179","40","40","40","40","54","37.49","39.37","10","60","40","40"
"1984","Couple + C. LE 16","middle vocational","37.61","40","906","20","40","40","42","60","37.01","38.21","1","75","40","40"
"1984","Couple + C. LE 16","vocational + Abi","39.69","40","59","40","40","40","40","50","38.77","40.61","25","50","40","40"
"1984","Couple + C. LE and GT 16","general elemantary","37.36","40","328","23","40","40","40","60","36.5","38.22","3","65","40","40"
"1984","Couple + C. LE and GT 16","higher education","38.45","40","39","23","40","40","54","60","34.75","42.15","9","60","40","40"
"1984","Couple + C. LE and GT 16","higher vocational","40.18","40","34","40","40","40","40","53","38.84","41.52","23","53","40","40"
