"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","general elemantary","Rural Area","34.96","40","246","20","35","40","40","50","33.74","36.18","3","56","40","40"
"1985","general elemantary","Urban Area","36.29","40","1066","20","39","40","40","48","35.83","36.75","2","60","40","40"
"1985","higher education","Rural Area","36.86","40","59","26","40","40","40","42","35.15","38.57","15","42","40","40"
"1985","higher education","Urban Area","36.91","40","379","24","38","40","40","46","36.13","37.69","10","66","40","40"
"1985","higher vocational","Rural Area","38.77","40","60","30","40","40","40","56","37.17","40.37","20","56","40","40"
"1985","higher vocational","Urban Area","37.38","40","267","23","40","40","40","46","36.43","38.33","4","50","40","40"
"1985","in school","Rural Area","","","","","","","","","","","","","",""
"1985","in school","Urban Area","","","","","","","","","","","","","",""
"1985","inadequately","Rural Area","39.77","40","46","40","40","40","42","56","38.24","41.3","15","56","40","40"
"1985","inadequately","Urban Area","38.62","40","400","35","40","40","40","56","37.97","39.27","8","72","40","40"
"1985","middle vocational","Rural Area","37.74","40","580","25","40","40","40","48","37.14","38.34","3","52","40","40"
"1985","middle vocational","Urban Area","37.53","40","2215","25","40","40","40","50","37.23","37.83","1","74","40","40"
"1985","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1985","vocational + Abi","Urban Area","39.54","40","134","40","40","40","40","66","38.56","40.52","16","66","40","40"
"1986","general elemantary","Rural Area","36.1","40","256","20","38","40","40","50","35.09","37.11","6","60","40","40"
"1986","general elemantary","Urban Area","36.23","40","1007","20","38","40","40","50","35.76","36.7","3","60","40","40"
"1986","higher education","Rural Area","36.95","40","68","26","38","40","40","50","34.91","38.99","9","51","40","40"
"1986","higher education","Urban Area","36.58","40","364","25","38","40","40","45","35.77","37.39","5","60","40","40"
"1986","higher vocational","Rural Area","38.52","40","55","30","39","40","40","44","37.14","39.9","20","60","40","40"
"1986","higher vocational","Urban Area","37.34","40","242","24","39","40","40","48","36.41","38.27","4","50","40","40"
"1986","in school","Rural Area","","","","","","","","","","","","","",""
"1986","in school","Urban Area","","","","","","","","","","","","","",""
"1986","inadequately","Rural Area","39.14","40","49","39","40","40","40","56","37.06","41.22","10","56","40","40"
"1986","inadequately","Urban Area","38.8","40","366","38","39","40","40","48","38.25","39.35","10","56","40","40"
"1986","middle vocational","Rural Area","37.8","40","550","25","39","40","40","50","37.22","38.38","4","60","40","40"
"1986","middle vocational","Urban Area","37.6","40","2164","26","39","40","40","48","37.32","37.88","2","76","40","40"
"1986","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1986","vocational + Abi","Urban Area","37.41","40","142","32","39","40","40","50","36.26","38.56","4","50","40","40"
"1987","general elemantary","Rural Area","35.04","40","245","18","38","40","40","48","33.92","36.16","5","65","40","40"
"1987","general elemantary","Urban Area","36.21","40","1010","20","38","40","40","50","35.74","36.68","3","80","40","40"
"1987","higher education","Rural Area","36.09","39.26","66","25","36","40","40","45","34.35","37.83","10","45","38","40"
"1987","higher education","Urban Area","36.31","40","364","23","38","40","40","45","35.47","37.15","5","60","40","40"
"1987","higher vocational","Rural Area","37.99","40","56","27","39","40","40","50","36.39","39.59","20","50","40","40"
"1987","higher vocational","Urban Area","37.29","40","234","22","38.5","40","40","47","36.35","38.23","2","56","40","40"
"1987","in school","Rural Area","","","","","","","","","","","","","",""
"1987","in school","Urban Area","","","","","","","","","","","","","",""
"1987","inadequately","Rural Area","37.66","40","53","26","39","40","40","48","35.67","39.65","10","48","40","40"
"1987","inadequately","Urban Area","37.48","40","339","30","38","40","40","55","36.76","38.2","5","55","40","40"
"1987","middle vocational","Rural Area","37.34","40","586","25","38.5","40","40","55","36.73","37.95","1","64","40","40"
"1987","middle vocational","Urban Area","37.49","40","2156","25","38","40","40","50","37.2","37.78","2","72","40","40"
"1987","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
