"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Full Time","40.47","40","4844","40","40","40","42","60","40.34","40.6","3","80","40","40"
"1984","Employed","Not Working","","","","","","","","","","","","","",""
"1984","Employed","Part Time","29.23","29","1289","14","20","40","40","60","28.59","29.87","1","80","30","35"
"1984","Not Employed","Full Time","","","","","","","","","","","","","",""
"1984","Not Employed","Not Working","34.54","40","151","10","35","40","40","45","32.85","36.23","0","55","40","40"
"1984","Not Employed","Part Time","","","","","","","","","","","","","",""
"1985","Employed","Full Time","39.85","40","4180","40","40","40","40","50","39.74","39.96","8","74","40","40"
"1985","Employed","Not Working","","","","","","","","","","","","","",""
"1985","Employed","Part Time","29.37","30","1224","15","20","40","40","45","28.75","29.99","1","70","30","35"
"1985","Not Employed","Full Time","","","","","","","","","","","","","",""
"1985","Not Employed","Not Working","34.11","40","119","15","27","40","40","54","32.13","36.09","2","54","40","40"
"1985","Not Employed","Part Time","","","","","","","","","","","","","",""
"1986","Employed","Full Time","39.67","40","4057","38","40","40","40","50","39.58","39.76","10","76","40","40"
"1986","Employed","Not Working","","","","","","","","","","","","","",""
"1986","Employed","Part Time","29.6","30","1180","15","20","40","40","45","28.99","30.21","2","66","30","36"
"1986","Not Employed","Full Time","","","","","","","","","","","","","",""
"1986","Not Employed","Not Working","34.26","40","103","15","32","40","40","56","32.1","36.42","4","60","40","40"
"1986","Not Employed","Part Time","","","","","","","","","","","","","",""
"1987","Employed","Full Time","39.61","40","4115","38","39","40","40","50","39.51","39.71","4","80","40","40"
"1987","Employed","Not Working","","","","","","","","","","","","","",""
"1987","Employed","Part Time","28.24","26","1138","14","20","40","40","45","27.61","28.87","2","80","28","30"
"1987","Not Employed","Full Time","","","","","","","","","","","","","",""
"1987","Not Employed","Not Working","32.5","40","78","11","21","40","40","52","29.44","35.56","1","60","38","40"
"1987","Not Employed","Part Time","","","","","","","","","","","","","",""
"1988","Employed","Full Time","39.39","40","3863","38","38.5","40","40","50","39.3","39.48","5","72","40","40"
"1988","Employed","Not Working","","","","","","","","","","","","","",""
"1988","Employed","Part Time","27.83","25.98","1111","12","20","40","40","45","27.18","28.48","2","70","27","30"
"1988","Not Employed","Full Time","","","","","","","","","","","","","",""
"1988","Not Employed","Not Working","32.52","38","81","17","25","40","40","45","29.83","35.21","2","48","37.5","40"
"1988","Not Employed","Part Time","","","","","","","","","","","","","",""
"1989","Employed","Full Time","39.23","40","3869","37","38","40","40","50","39.13","39.33","14","77","40","40"
"1989","Employed","Not Working","","","","","","","","","","","","","",""
"1989","Employed","Part Time","27.63","25","1046","12","20","39","40","45","26.97","28.29","2","60","26","30"
"1989","Not Employed","Full Time","","","","","","","","","","","","","",""
"1989","Not Employed","Not Working","30.66","38","98","10","20","40","40","40","28.31","33.01","5","50","35","39"
"1989","Not Employed","Part Time","","","","","","","","","","","","","",""
"1990","Employed","Full Time","38.73","38.5","3773","37","37.7","40","40","50","38.62","38.84","13","80","38.5","38.5"
"1990","Employed","Not Working","","","","","","","","","","","","","",""
"1990","Employed","Part Time","26.89","25","1040","12","20","38.5","40","40","26.24","27.54","1.4","54","25","30"
"1990","Not Employed","Full Time","","","","","","","","","","","","","",""
"1990","Not Employed","Not Working","29.53","37","77","10","19","39","40","47.5","26.77","32.29","2","47.5","25","38.5"
"1990","Not Employed","Part Time","","","","","","","","","","","","","",""
"1991","Employed","Full Time","38.6","38.5","3785","37","37.5","39.5","40","50","38.51","38.69","8","74","38.5","38.5"
"1991","Employed","Not Working","","","","","","","","","","","","","",""
"1991","Employed","Part Time","25.43","24","1065","12","19.3","37","39.5","42.5","24.8","26.06","1.5","72","24","25"
"1991","Not Employed","Full Time","","","","","","","","","","","","","",""
"1991","Not Employed","Not Working","29.05","37","102","8","15","39","40","54","26.36","31.74","0.2","60","36","38.5"
"1991","Not Employed","Part Time","","","","","","","","","","","","","",""
"1992","Employed","Full Time","38.89","38.5","5445","37","37.5","40","40","50","38.81","38.97","6","72","38.5","39"
"1992","Employed","Not Working","","","","","","","","","","","","","",""
"1992","Employed","Part Time","26.59","25","1435","12","19.5","37.6","40","44","26.04","27.14","0.6","64","27.5","30"
"1992","Not Employed","Full Time","","","","","","","","","","","","","",""
"1992","Not Employed","Not Working","30.97","37.57","104","8","20","40","40","56","28.72","33.22","0.8","56","37.5","40"
"1992","Not Employed","Part Time","","","","","","","","","","","","","",""
"1993","Employed","Full Time","38.64","38.5","5195","37","37.5","40","40","48","38.56","38.72","0","70","38.5","38.5"
"1993","Employed","Not Working","","","","","","","","","","","","","",""
"1993","Employed","Part Time","26.64","25","1383","12","20","37.5","40","42","26.09","27.19","2","60","27","30"
"1993","Not Employed","Full Time","","","","","","","","","","","","","",""
"1993","Not Employed","Not Working","32.03","37.5","145","15.6","20","40","40","42.5","30.27","33.79","0.8","60","37.5","40"
"1993","Not Employed","Part Time","","","","","","","","","","","","","",""
"1994","Employed","Full Time","38.57","38.5","4961","36.5","37.5","40","40","50","38.48","38.66","0","72","38.5","39"
"1994","Employed","Not Working","","","","","","","","","","","","","",""
"1994","Employed","Part Time","26.18","25","1390","12","19.5","37.5","40","42.5","25.63","26.73","0.8","56","27.5","30"
"1994","Not Employed","Full Time","","","","","","","","","","","","","",""
"1994","Not Employed","Not Working","33.48","37.5","116","18","30","40","40","60","31.22","35.74","0","60","36","38.5"
"1994","Not Employed","Part Time","","","","","","","","","","","","","",""
"1995","Employed","Full Time","38.44","38.5","4986","36","37.5","40","40","50","38.34","38.54","3.5","72","38.5","38.5"
"1995","Employed","Not Working","","","","","","","","","","","","","",""
"1995","Employed","Part Time","26.07","25","1622","10","19.5","37.5","40","41","25.55","26.59","2","60","27","30"
"1995","Not Employed","Full Time","","","","","","","","","","","","","",""
"1995","Not Employed","Not Working","32.41","38.5","140","10","23","40","40","72","30.51","34.31","0.4","72","37.5","38.5"
"1995","Not Employed","Part Time","","","","","","","","","","","","","",""
"1996","Employed","Full Time","38.46","38.5","4727","36","37.5","40","40","50","38.38","38.54","7.5","61","38.5","38.5"
"1996","Employed","Not Working","","","","","","","","","","","","","",""
