"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","East Germany","","","","","","","","","","","","","",""
"1984","Employed","West Germany","37.9","40","6133","25","40","40","41","60","37.7","38.1","1","80","40","40"
"1984","Not Employed","East Germany","","","","","","","","","","","","","",""
"1984","Not Employed","West Germany","34.54","40","151","10","35","40","40","45","32.85","36.23","0","55","40","40"
"1985","Employed","East Germany","","","","","","","","","","","","","",""
"1985","Employed","West Germany","37.32","40","5404","24","40","40","40","50","37.12","37.52","1","74","40","40"
"1985","Not Employed","East Germany","","","","","","","","","","","","","",""
"1985","Not Employed","West Germany","34.11","40","119","15","27","40","40","54","32.13","36.09","2","54","40","40"
"1986","Employed","East Germany","","","","","","","","","","","","","",""
"1986","Employed","West Germany","37.31","40","5237","25","39","40","40","48","37.12","37.5","2","76","40","40"
"1986","Not Employed","East Germany","","","","","","","","","","","","","",""
"1986","Not Employed","West Germany","34.26","40","103","15","32","40","40","56","32.1","36.42","4","60","40","40"
"1987","Employed","East Germany","","","","","","","","","","","","","",""
"1987","Employed","West Germany","37.08","40","5253","25","38","40","40","50","36.89","37.27","2","80","40","40"
"1987","Not Employed","East Germany","","","","","","","","","","","","","",""
"1987","Not Employed","West Germany","32.5","40","78","11","21","40","40","52","29.44","35.56","1","60","38","40"
"1988","Employed","East Germany","","","","","","","","","","","","","",""
"1988","Employed","West Germany","36.79","40","4974","24","38","40","40","48","36.59","36.99","2","72","40","40"
"1988","Not Employed","East Germany","","","","","","","","","","","","","",""
"1988","Not Employed","West Germany","32.52","38","81","17","25","40","40","45","29.83","35.21","2","48","37.5","40"
"1989","Employed","East Germany","","","","","","","","","","","","","",""
"1989","Employed","West Germany","36.68","39","4915","24","37.5","40","40","50","36.48","36.88","2","77","39","39"
"1989","Not Employed","East Germany","","","","","","","","","","","","","",""
"1989","Not Employed","West Germany","30.66","38","98","10","20","40","40","40","28.31","33.01","5","50","35","39"
"1990","Employed","East Germany","","","","","","","","","","","","","",""
"1990","Employed","West Germany","36.06","38.5","4813","22.5","37.5","39","40","48","35.85","36.27","1.4","80","38.5","38.5"
"1990","Not Employed","East Germany","","","","","","","","","","","","","",""
