"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","37.82","40","6284","25","40","40","40","37.62","38.02","40","40"
"1985","37.26","40","5523","24","40","40","40","37.06","37.46","40","40"
"1986","37.25","40","5340","25","39","40","40","37.06","37.44","40","40"
"1987","37.01","40","5331","24","38","40","40","36.81","37.21","40","40"
"1988","36.73","40","5055","24","38","40","40","36.53","36.93","40","40"
"1989","36.56","39","5013","22.5","37.5","40","40","36.35","36.77","39","39"
"1990","37.23","39","8059","25","37.5","40","43.7999992370605","37.07","37.39","39","39.5"
"1991","36.37","38.5","7527","24","37.5","40","40","36.21","36.53","38.5","38.5"
"1992","36.13","38.5","6984","24","37.5","40","40","35.96","36.3","38.5","38.5"
"1993","35.94","38.5","6723","24","37","40","40","35.77","36.11","38.5","38.5"
"1994","35.77","38.5","6467","22","37","40","40","35.59","35.95","38.5","38.5"
"1995","35.3","38.5","6748","20","36","40","40","35.11","35.49","38.5","38.5"
"1996","35.28","38.5","6511","20","35","40","40","35.09","35.47","38.5","38.5"
"1997","35.34","38.5","6166","20","35","40","40","35.15","35.53","38.5","38.5"
"1998","35.11","38.5","6754","20","35","40","40","34.92","35.3","38.5","38.5"
"1999","34.99","38.5","6725","20","35","40","40","34.79","35.19","38.5","38.5"
"2000","34.93","38.5","11165","20","35","40","40","34.77","35.09","38.5","38.5"
"2001","34.48","38","10476","20","35","40","40","34.3","34.66","38","38.5"
"2002","34.52","38.5","10565","20","35","40","40","34.35","34.69","38.5","38.5"
"2003","34.04","38","10297","19.2000007629395","32","40","40","33.86","34.22","38","38.5"
"2004","34.38","38.5","9572","19.7000007629395","35","40","40","34.19","34.57","38.5","38.5"
"2005","34.72","38.5","9105","20","35","40","40","34.53","34.91","38.5","38.5"
"2006","34.5","38.5","9497","20","33.5","40","40","34.31","34.69","38.5","38.5"
"2007","34.55","38.5","9161","19.6000003814697","32","40","40","34.36","34.74","38.5","38.5"
"2008","34.63","38.5","8684","20","32.5","40","40","34.43","34.83","38.5","38.5"
"2009","34.57","38.5","8167","19.8999996185303","33","40","40","34.36","34.78","38.5","39"
"2010","34.11","38.5","11433","18","30","40","40","33.92","34.3","38.5","38.5"
"2011","34.38","39","13866","19.5","30","40","40","34.21","34.55","38","38.5"
"2012","34.35","39","13660","19","30","40","40","34.18","34.52","38.5","38.5"
"2013","34.35","39","15577","19.5","30","40","40","34.19","34.51","38","38.5"
"2014","33.75","38.5","13999","17","30","40","40","33.58","33.92","38","38.5"
"2015","33.95","38.5","13765","18","30","40","40","33.78","34.12","38.5","38.5"
"2016","33.73","38.5","12661","17","30","40","40","33.55","33.91","38","38.5"
"2017","33.81","38.5","14784","18","30","40","40","33.64","33.98","38","38.5"
"2018","33.64","38.5","14706","18","30","40","40","33.47","33.81","38","38.5"
"2019","33.91","38","13977","19","30","40","40","33.74","34.08","38","38"
