"plh0112","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","1-pers.-HH","2","","",""
"Very important","1990","Schleswig-Holstein","(Married) couple without C. ","9","","",""
"Very important","1990","Schleswig-Holstein","Single parent ","","","",""
"Very important","1990","Schleswig-Holstein","Couple + C. LE 16 ","3","","",""
"Very important","1990","Schleswig-Holstein","Couple + C. GT 16 ","8","","",""
"Very important","1990","Schleswig-Holstein","Couple + C. LE and GT 16","3","","",""
"Very important","1990","Hamburg","1-pers.-HH","10","","",""
"Very important","1990","Hamburg","(Married) couple without C. ","9","","",""
"Very important","1990","Hamburg","Single parent ","","","",""
"Very important","1990","Hamburg","Couple + C. LE 16 ","2","","",""
"Very important","1990","Hamburg","Couple + C. GT 16 ","1","","",""
"Very important","1990","Hamburg","Couple + C. LE and GT 16","","","",""
"Very important","1990","Lower Saxony","1-pers.-HH","11","","",""
"Very important","1990","Lower Saxony","(Married) couple without C. ","36","0.136001538885901","0.094807377276874","0.177195700494928"
"Very important","1990","Lower Saxony","Single parent ","5","","",""
"Very important","1990","Lower Saxony","Couple + C. LE 16 ","7","","",""
"Very important","1990","Lower Saxony","Couple + C. GT 16 ","31","0.146821118975009","0.0978923402843239","0.195749897665695"
"Very important","1990","Lower Saxony","Couple + C. LE and GT 16","2","","",""
"Very important","1990","Bremen","1-pers.-HH","4","","",""
"Very important","1990","Bremen","(Married) couple without C. ","8","","",""
"Very important","1990","Bremen","Single parent ","2","","",""
"Very important","1990","Bremen","Couple + C. LE 16 ","4","","",""
"Very important","1990","Bremen","Couple + C. GT 16 ","3","","",""
"Very important","1990","Bremen","Couple + C. LE and GT 16","","","",""
"Very important","1990","North Rhine-Westphalia","1-pers.-HH","38","0.153842707826097","0.107713269317654","0.199972146334541"
"Very important","1990","North Rhine-Westphalia","(Married) couple without C. ","72","0.132892381398355","0.103965154773753","0.161819608022958"
"Very important","1990","North Rhine-Westphalia","Single parent ","18","","",""
"Very important","1990","North Rhine-Westphalia","Couple + C. LE 16 ","27","","",""
"Very important","1990","North Rhine-Westphalia","Couple + C. GT 16 ","74","0.174441739590796","0.138234873680204","0.210648605501388"
"Very important","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","6","","",""
"Very important","1990","Hesse","1-pers.-HH","11","","",""
"Very important","1990","Hesse","(Married) couple without C. ","31","0.139798879750787","0.092212260168075","0.187385499333498"
"Very important","1990","Hesse","Single parent ","4","","",""
"Very important","1990","Hesse","Couple + C. LE 16 ","11","","",""
"Very important","1990","Hesse","Couple + C. GT 16 ","20","","",""
"Very important","1990","Hesse","Couple + C. LE and GT 16","8","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","6","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","13","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Single parent ","5","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","4","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","16","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","4","","",""
"Very important","1990","Baden-Württemberg","1-pers.-HH","11","","",""
"Very important","1990","Baden-Württemberg","(Married) couple without C. ","50","0.159707502956691","0.118459333543919","0.200955672369462"
"Very important","1990","Baden-Württemberg","Single parent ","5","","",""
"Very important","1990","Baden-Württemberg","Couple + C. LE 16 ","12","","",""
"Very important","1990","Baden-Württemberg","Couple + C. GT 16 ","47","0.163421635556109","0.119561006289964","0.207282264822254"
"Very important","1990","Baden-Württemberg","Couple + C. LE and GT 16","18","","",""
"Very important","1990","Bavaria","1-pers.-HH","26","","",""
"Very important","1990","Bavaria","(Married) couple without C. ","33","0.0877064726571714","0.0571408490089238","0.118272096305419"
"Very important","1990","Bavaria","Single parent ","8","","",""
"Very important","1990","Bavaria","Couple + C. LE 16 ","24","","",""
"Very important","1990","Bavaria","Couple + C. GT 16 ","33","0.108615574987366","0.0711524736050515","0.14607867636968"
"Very important","1990","Bavaria","Couple + C. LE and GT 16","8","","",""
"Very important","1990","Berlin","1-pers.-HH","9","","",""
"Very important","1990","Berlin","(Married) couple without C. ","11","","",""
"Very important","1990","Berlin","Single parent ","4","","",""
"Very important","1990","Berlin","Couple + C. LE 16 ","5","","",""
"Very important","1990","Berlin","Couple + C. GT 16 ","5","","",""
"Very important","1990","Berlin","Couple + C. LE and GT 16","2","","",""
"Very important","1990","Brandenburg","1-pers.-HH","","","",""
"Very important","1990","Brandenburg","(Married) couple without C. ","","","",""
"Very important","1990","Brandenburg","Single parent ","","","",""
"Very important","1990","Brandenburg","Couple + C. LE 16 ","","","",""
"Very important","1990","Brandenburg","Couple + C. GT 16 ","","","",""
"Very important","1990","Brandenburg","Couple + C. LE and GT 16","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Very important","1990","Saxony","1-pers.-HH","","","",""
"Very important","1990","Saxony","(Married) couple without C. ","","","",""
"Very important","1990","Saxony","Single parent ","","","",""
"Very important","1990","Saxony","Couple + C. LE 16 ","","","",""
"Very important","1990","Saxony","Couple + C. GT 16 ","","","",""
