"plh0112","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Bremen","28","","","","2"
"Important","1990","North Rhine-Westphalia","812","0.408568955994964","0.38664385033646","0.430494061653467","2"
"Important","1990","Lower Saxony","295","0.331396358354176","0.299658474150942","0.363134242557409","2"
"Important","1990","Hamburg","64","0.461952823892862","0.375584976098284","0.548320671687439","2"
"Important","1990","Baden-Württemberg","429","0.377195915161889","0.349279925555951","0.405111904767826","2"
"Important","1990","Schleswig-Holstein","78","0.327115819793423","0.269418961506522","0.384812678080323","2"
"Important","1990","Hesse","253","0.38831670204456","0.351358042943365","0.425275361145754","2"
"Important","1990","Bavaria","483","0.376651504519968","0.350065194488077","0.40323781455186","2"
"Important","1990","Rhineland-Palatinate,Saarland","189","0.331591252129073","0.292599147928331","0.370583356329814","2"
"Important","1990","Berlin","113","0.476310860803947","0.412455673130637","0.540166048477257","2"
"Important","1990","Brandenburg","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","","","","","2"
"Important","1990","Saxony","","","","","2"
"Important","1990","Saxony-Anhalt","","","","","2"
"Important","1990","Thuringia","","","","","2"
"Less important","1990","Hamburg","33","0.284996013120624","0.206794216591462","0.363197809649786","3"
"Less important","1990","Schleswig-Holstein","116","0.452197715672695","0.390989836133967","0.513405595211422","3"
"Less important","1990","North Rhine-Westphalia","713","0.369670488656179","0.348140283639314","0.391200693673045","3"
"Less important","1990","Lower Saxony","362","0.425844058207111","0.392504490500727","0.459183625913494","3"
"Less important","1990","Bremen","29","","","","3"
"Less important","1990","Hesse","260","0.371884458078144","0.33523364245196","0.408535273704329","3"
"Less important","1990","Baden-Württemberg","464","0.393016969103817","0.364885802854309","0.421148135353326","3"
"Less important","1990","Berlin","73","0.302604450297474","0.243870203861367","0.36133869673358","3"
"Less important","1990","Rhineland-Palatinate,Saarland","214","0.373617238067518","0.333550182434895","0.413684293700141","3"
"Less important","1990","Bavaria","500","0.385296499444704","0.358593925361679","0.41199907352773","3"
"Less important","1990","Brandenburg","","","","","3"
"Less important","1990","Saxony","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","","","","","3"
"Less important","1990","Saxony-Anhalt","","","","","3"
"Less important","1990","Thuringia","","","","","3"
"Quite unimportant","1990","Hamburg","9","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","34","0.12743237625209","0.0864241796638429","0.168440572840336","4"
"Quite unimportant","1990","Lower Saxony","88","0.127654320312934","0.105154357381445","0.150154283244424","4"
