"plh0112","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","Full Time","7","","",""
"Very important","1990","Schleswig-Holstein","Part Time","9","","",""
"Very important","1990","Schleswig-Holstein","Not Working","10","","",""
"Very important","1990","Hamburg","Full Time","11","","",""
"Very important","1990","Hamburg","Part Time","5","","",""
"Very important","1990","Hamburg","Not Working","6","","",""
"Very important","1990","Lower Saxony","Full Time","48","0.134074563750731","0.0992618702491949","0.168887257252266"
"Very important","1990","Lower Saxony","Part Time","18","","",""
"Very important","1990","Lower Saxony","Not Working","34","0.100916458629014","0.0678617164444934","0.133971200813534"
"Very important","1990","Bremen","Full Time","5","","",""
"Very important","1990","Bremen","Part Time","2","","",""
"Very important","1990","Bremen","Not Working","14","","",""
"Very important","1990","North Rhine-Westphalia","Full Time","117","0.145865952371704","0.122052802201338","0.16967910254207"
"Very important","1990","North Rhine-Westphalia","Part Time","48","0.147595152808016","0.109669116615553","0.185521189000479"
"Very important","1990","North Rhine-Westphalia","Not Working","84","0.113216494854383","0.0905548317841593","0.135878157924607"
"Very important","1990","Hesse","Full Time","36","0.132358615057661","0.0928064944452523","0.171910735670069"
"Very important","1990","Hesse","Part Time","20","","",""
"Very important","1990","Hesse","Not Working","30","0.104085750706842","0.0661562366301459","0.142015264783538"
"Very important","1990","Rhineland-Palatinate,Saarland","Full Time","28","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Part Time","10","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","Not Working","21","","",""
"Very important","1990","Baden-Württemberg","Full Time","71","0.128916496612803","0.100961290792038","0.156871702433568"
"Very important","1990","Baden-Württemberg","Part Time","39","0.156422193982888","0.109879456710966","0.20296493125481"
"Very important","1990","Baden-Württemberg","Not Working","39","0.0978997401088765","0.0677005848775059","0.128098895340247"
"Very important","1990","Bavaria","Full Time","77","0.130756552251024","0.103870188814033","0.157642915688014"
"Very important","1990","Bavaria","Part Time","36","0.142585219986549","0.0994153681203741","0.185755071852723"
"Very important","1990","Bavaria","Not Working","28","","",""
"Very important","1990","Berlin","Full Time","19","","",""
"Very important","1990","Berlin","Part Time","8","","",""
"Very important","1990","Berlin","Not Working","9","","",""
"Very important","1990","Brandenburg","Full Time","","","",""
"Very important","1990","Brandenburg","Part Time","","","",""
"Very important","1990","Brandenburg","Not Working","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Very important","1990","Saxony","Full Time","","","",""
"Very important","1990","Saxony","Part Time","","","",""
"Very important","1990","Saxony","Not Working","","","",""
"Very important","1990","Saxony-Anhalt","Full Time","","","",""
"Very important","1990","Saxony-Anhalt","Part Time","","","",""
"Very important","1990","Saxony-Anhalt","Not Working","","","",""
"Very important","1990","Thuringia","Full Time","","","",""
"Very important","1990","Thuringia","Part Time","","","",""
"Very important","1990","Thuringia","Not Working","","","",""
"Important","1990","Schleswig-Holstein","Full Time","35","0.38029500666415","0.286084180027563","0.474505833300736"
"Important","1990","Schleswig-Holstein","Part Time","18","","",""
"Important","1990","Schleswig-Holstein","Not Working","25","","",""
"Important","1990","Hamburg","Full Time","32","0.543040212245743","0.410176556368518","0.675903868122968"
"Important","1990","Hamburg","Part Time","13","","",""
"Important","1990","Hamburg","Not Working","19","","",""
"Important","1990","Lower Saxony","Full Time","141","0.381788751357041","0.332151903126672","0.43142559958741"
"Important","1990","Lower Saxony","Part Time","48","0.301357428686475","0.229810989992557","0.372903867380393"
"Important","1990","Lower Saxony","Not Working","106","0.296846053953208","0.24671075618152","0.346981351724896"
"Important","1990","Bremen","Full Time","12","","",""
