"plh0112","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","Schleswig-Holstein","30","0.377222226940471","0.274182709154496","0.480261744726446","2"
"Important","1990","16-34 y.","Bremen","9","","","","2"
"Important","1990","16-34 y.","North Rhine-Westphalia","311","0.404043650007149","0.368150858390109","0.439936441624189","2"
"Important","1990","16-34 y.","Baden-Württemberg","178","0.414263198098049","0.368649160453516","0.459877235742582","2"
"Important","1990","16-34 y.","Hamburg","17","","","","2"
"Important","1990","16-34 y.","Hesse","93","0.406224421375767","0.342890514199465","0.469558328552069","2"
"Important","1990","16-34 y.","Lower Saxony","115","0.372735356725278","0.318734775731277","0.42673593771928","2"
"Important","1990","16-34 y.","Brandenburg","","","","","2"
"Important","1990","16-34 y.","Rhineland-Palatinate,Saarland","89","0.425218392496177","0.35866999338459","0.491766791607763","2"
"Important","1990","16-34 y.","Bavaria","199","0.404734468401034","0.360960593802867","0.448508342999202","2"
"Important","1990","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"Important","1990","16-34 y.","Saxony","","","","","2"
"Important","1990","35-65 y.","Lower Saxony","147","0.333239993864902","0.288051977226762","0.378428010503042","2"
"Important","1990","35-65 y.","Bremen","9","","","","2"
"Important","1990","35-65 y.","Hesse","133","0.411636683493313","0.358699738054118","0.464573628932508","2"
"Important","1990","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"Important","1990","16-34 y.","Berlin","36","0.52091133518659","0.406313473858689","0.635509196514492","2"
"Important","1990","16-34 y.","Saxony-Anhalt","","","","","2"
"Important","1990","16-34 y.","Thuringia","","","","","2"
"Important","1990","35-65 y.","Schleswig-Holstein","44","0.332949459210583","0.254885135728964","0.411013782692202","2"
"Important","1990","35-65 y.","Hamburg","33","0.607490826111772","0.4795972163646","0.735384435858944","2"
"Important","1990","66 and older","Saxony","","","","","2"
"Important","1990","66 and older","Saxony-Anhalt","","","","","2"
"Important","1990","66 and older","Thuringia","","","","","2"
"Important","1990","35-65 y.","North Rhine-Westphalia","421","0.440332569324385","0.409140291333224","0.471524847315547","2"
"Important","1990","35-65 y.","Rhineland-Palatinate,Saarland","86","0.332248286929043","0.274995016749188","0.389501557108898","2"
"Important","1990","35-65 y.","Baden-Württemberg","210","0.389377366148296","0.348700231522641","0.430054500773951","2"
"Important","1990","35-65 y.","Brandenburg","","","","","2"
"Important","1990","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"Important","1990","66 and older","Hesse","27","","","","2"
"Important","1990","66 and older","Rhineland-Palatinate,Saarland","14","","","","2"
"Important","1990","66 and older","Baden-Württemberg","41","0.26620440272019","0.197289251198733","0.335119554241648","2"
"Important","1990","66 and older","Bavaria","65","0.327650800837146","0.262109049675612","0.39319255199868","2"
"Important","1990","66 and older","Berlin","16","","","","2"
"Important","1990","66 and older","Brandenburg","","","","","2"
"Important","1990","35-65 y.","Bavaria","219","0.379037246718914","0.34008803423989","0.417986459197938","2"
"Important","1990","35-65 y.","Berlin","61","0.462837314305448","0.375775057797137","0.549899570813758","2"
"Important","1990","35-65 y.","Thuringia","","","","","2"
"Important","1990","66 and older","Schleswig-Holstein","4","","","","2"
"Important","1990","66 and older","Hamburg","14","","","","2"
"Important","1990","66 and older","Lower Saxony","33","0.261089674192791","0.182173626560659","0.340005721824923","2"
"Important","1990","66 and older","Bremen","10","","","","2"
"Important","1990","66 and older","North Rhine-Westphalia","80","0.320787705239268","0.261733055646616","0.379842354831921","2"
"Important","1990","35-65 y.","Saxony","","","","","2"
"Important","1990","35-65 y.","Saxony-Anhalt","","","","","2"
"Less important","1990","16-34 y.","Lower Saxony","137","0.44197926821022","0.386516843883027","0.497441692537413","3"
"Less important","1990","16-34 y.","Bavaria","177","0.365248845658485","0.322307989286902","0.408189702030067","3"
"Less important","1990","16-34 y.","Bremen","10","","","","3"
"Less important","1990","16-34 y.","Baden-Württemberg","162","0.34928128608918","0.305135079518916","0.393427492659443","3"
"Less important","1990","66 and older","Hesse","39","0.349802150739934","0.258582701978222","0.441021599501645","3"
"Less important","1990","66 and older","Rhineland-Palatinate,Saarland","32","0.336756668253232","0.238014808394493","0.43549852811197","3"
