"plh0112","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","413","0.165349820573873","0.151132981245858","0.179566659901888"
"Very important","1990","35-65 y.","401","0.117396515012235","0.106711015692389","0.128082014332082"
"Very important","1990","66 and older","75","0.0650185619364596","0.0499830539868495","0.0800540698860697"
"Important","1990","16-34 y.","1077","0.405349427258812","0.386560817406506","0.424138037111117"
"Important","1990","35-65 y.","1363","0.395661501661158","0.379428963682022","0.411894039640294"
"Important","1990","66 and older","304","0.297103841520904","0.269236364687679","0.324971318354129"
"Less important","1990","16-34 y.","1001","0.382579962180011","0.363980498745534","0.401179425614488"
"Less important","1990","35-65 y.","1391","0.391734362837113","0.37553018967248","0.407938536001746"
"Less important","1990","66 and older","372","0.354149309988889","0.324984631428573","0.383313988549205"
"Quite unimportant","1990","16-34 y.","132","0.0467207899873047","0.0386444592558882","0.0547971207187212"
"Quite unimportant","1990","35-65 y.","331","0.0952076204894942","0.0854645751798667","0.104950665799122"
"Quite unimportant","1990","66 and older","282","0.283728286553747","0.256237437815216","0.311219135292278"
"Very important","1991","16-34 y.","","","",""
"Very important","1991","35-65 y.","","","",""
"Very important","1991","66 and older","","","",""
"Important","1991","16-34 y.","","","",""
"Important","1991","35-65 y.","","","",""
"Important","1991","66 and older","","","",""
"Less important","1991","16-34 y.","","","",""
"Less important","1991","35-65 y.","","","",""
"Less important","1991","66 and older","","","",""
"Quite unimportant","1991","16-34 y.","","","",""
"Quite unimportant","1991","35-65 y.","","","",""
"Quite unimportant","1991","66 and older","","","",""
"Very important","1992","16-34 y.","575","0.16005978257776","0.148619550095609","0.17150001505991"
"Very important","1992","35-65 y.","628","0.121071504845418","0.112557286442857","0.12958572324798"
"Very important","1992","66 and older","111","0.0770927313360738","0.0632239978769924","0.0909614647951553"
"Important","1992","16-34 y.","1584","0.401934330392845","0.38663679247223","0.417231868313461"
"Important","1992","35-65 y.","2242","0.395632665031258","0.382869934311004","0.408395395751512"
"Important","1992","66 and older","462","0.310655801042171","0.286595068331176","0.334716533753166"
"Less important","1992","16-34 y.","1571","0.384706831360958","0.369526699418941","0.399886963302975"
"Less important","1992","35-65 y.","2270","0.386789817229586","0.37407853859113","0.399501095868042"
"Less important","1992","66 and older","471","0.334087637878784","0.309563723361052","0.358611552396516"
"Quite unimportant","1992","16-34 y.","216","0.0532990556684365","0.0462903840379446","0.0603077272989284"
"Quite unimportant","1992","35-65 y.","499","0.096506012893738","0.0887989861914011","0.104213039596075"
"Quite unimportant","1992","66 and older","377","0.278163829742971","0.254865719246079","0.301461940239863"
"Very important","1993","16-34 y.","","","",""
"Very important","1993","35-65 y.","","","",""
"Very important","1993","66 and older","","","",""
"Important","1993","16-34 y.","","","",""
"Important","1993","35-65 y.","","","",""
"Important","1993","66 and older","","","",""
"Less important","1993","16-34 y.","","","",""
"Less important","1993","35-65 y.","","","",""
"Less important","1993","66 and older","","","",""
"Quite unimportant","1993","16-34 y.","","","",""
"Quite unimportant","1993","35-65 y.","","","",""
"Quite unimportant","1993","66 and older","","","",""
"Very important","1994","16-34 y.","","","",""
"Very important","1994","35-65 y.","","","",""
"Very important","1994","66 and older","","","",""
"Important","1994","16-34 y.","","","",""
"Important","1994","35-65 y.","","","",""
"Important","1994","66 and older","","","",""
"Less important","1994","16-34 y.","","","",""
"Less important","1994","35-65 y.","","","",""
"Less important","1994","66 and older","","","",""
"Quite unimportant","1994","16-34 y.","","","",""
"Quite unimportant","1994","35-65 y.","","","",""
"Quite unimportant","1994","66 and older","","","",""
"Very important","1995","16-34 y.","478","0.128011752849957","0.117639820349799","0.138383685350115"
"Very important","1995","35-65 y.","464","0.0890716241169979","0.081733321270581","0.0964099269634147"
"Very important","1995","66 and older","116","0.0741343666834315","0.0607460638382767","0.0875226695285863"
"Important","1995","16-34 y.","1612","0.403620369403526","0.388389405725553","0.418851333081499"
"Important","1995","35-65 y.","2116","0.364694081865266","0.352293569259085","0.377094594471447"
"Important","1995","66 and older","429","0.300664389470075","0.277231514618983","0.324097264321166"
"Less important","1995","16-34 y.","1642","0.408510620096476","0.39325061793197","0.423770622260982"
